Monetisation_id,Date_id,Produit_id,Client_id,Campagne_id,CA_total,Marge_nette,Cout_acquisition_client,Taux_reconduction_contrats,Taux_conversion,Panier_moyen
197,76,20,41,8,4300.19,464.78,257.96,82.39,85.0,366.73
198,97,43,83,3,2279.97,983.15,280.29,56.09,18.4,418.38
199,26,40,161,1,4259.56,626.8,221.96,69.25,14.37,453.92
200,39,32,62,5,1012.74,300.55,259.84,55.33,88.72,97.87
201,21,33,158,1,1172.9,131.69,197.65,82.34,45.46,494.0
202,56,25,106,10,581.27,444.86,166.56,59.51,26.5,30.39
203,33,40,79,3,1114.38,70.61,283.95,69.34,28.7,104.8
204,55,34,74,1,4628.31,808.0,82.46,61.74,49.41,401.9
205,1,4,70,4,1645.77,691.65,122.58,91.2,69.96,452.08
206,48,43,132,8,2183.6,546.86,105.46,60.85,75.66,134.96
207,63,31,157,7,4804.38,717.78,222.71,3.29,59.2,346.65
208,14,1,198,6,2950.88,333.5,89.15,47.56,41.04,114.91
209,58,5,136,10,1192.51,202.74,117.99,34.14,42.05,197.75
210,34,39,11,1,389.56,828.59,58.52,49.12,64.88,161.3
211,84,43,194,5,3344.53,727.38,273.08,6.29,55.25,142.47
212,70,4,98,3,3393.32,90.46,277.1,43.87,17.63,464.39
213,68,15,90,7,592.94,257.66,142.83,1.25,43.25,315.79
214,95,28,125,2,2201.12,320.93,20.8,50.33,12.69,456.79
215,90,43,88,8,2929.27,852.61,284.04,36.45,6.15,369.81
216,2,24,150,7,2894.19,520.09,151.82,83.17,24.69,117.03
217,65,16,127,10,358.28,205.2,142.54,31.61,13.59,399.49
218,81,41,92,8,3043.51,282.39,292.18,0.35,38.2,96.43
219,47,50,176,3,1522.49,824.99,34.7,9.32,99.12,388.59
220,29,36,178,5,3983.67,823.92,277.64,81.62,7.55,355.67
221,40,21,10,5,4315.15,87.91,107.3,67.02,27.11,169.81
222,10,40,71,9,591.29,371.58,77.68,76.8,66.54,245.9
223,69,9,163,3,1135.85,185.29,230.54,73.07,60.93,84.15
224,76,1,84,3,4197.51,337.34,247.55,15.19,63.82,245.15
225,30,36,4,8,4623.3,537.13,213.17,45.01,40.78,279.15
226,71,12,94,9,3131.11,583.7,80.2,3.38,25.93,125.23
227,40,28,107,4,992.76,65.25,107.3,72.89,44.5,243.83
228,44,11,108,1,3441.32,210.93,286.8,87.05,74.92,34.73
229,32,36,172,8,245.77,265.72,207.31,82.03,69.96,371.87
230,83,1,141,5,2930.31,720.28,123.04,49.63,95.74,405.03
231,48,41,163,6,1008.38,109.31,132.47,1.46,45.07,355.28
232,75,26,192,6,670.94,611.48,84.19,79.99,80.37,79.6
233,78,38,119,5,795.04,324.52,257.57,37.91,50.27,211.68
234,94,48,2,2,3898.12,160.51,282.68,48.21,42.31,444.07
235,99,21,70,2,4943.69,537.2,96.39,20.48,18.63,134.18
236,19,28,98,2,701.4,914.06,292.95,53.82,48.36,458.86
237,87,13,200,8,326.83,250.27,99.29,22.96,23.7,144.48
238,74,45,73,10,4026.32,765.25,128.1,24.95,21.99,406.09
239,77,26,134,5,3068.36,790.23,32.05,93.93,85.27,132.01
240,40,29,71,9,4353.77,143.96,278.18,4.37,22.09,193.12
241,21,5,122,6,4568.3,71.38,232.53,26.44,0.65,394.3
242,49,24,37,7,2931.4,788.51,236.09,84.48,77.54,241.53
243,55,37,78,9,1845.53,522.15,227.02,20.65,63.07,140.38
244,72,45,181,5,3255.69,314.76,293.17,71.43,8.07,269.09
245,89,42,106,6,1124.2,82.11,89.87,31.87,43.23,201.16
246,53,17,95,7,4972.1,723.28,127.3,66.92,10.65,198.11
247,23,9,66,9,632.32,568.14,242.99,61.07,19.26,324.38
248,29,12,176,9,2807.37,960.21,268.98,58.25,47.54,453.27
249,80,8,8,7,770.66,193.25,201.14,59.62,22.72,201.27
250,46,5,54,1,3058.59,862.31,207.52,60.41,75.76,459.61
251,52,2,55,1,4623.02,729.91,138.4,61.68,60.48,57.18
252,100,23,48,3,672.22,60.18,264.22,31.64,57.56,166.82
253,92,14,157,1,4430.71,374.98,149.21,22.33,28.06,107.41
254,34,16,119,1,1127.13,435.28,91.02,20.72,29.92,30.55
255,74,43,137,8,2795.24,340.63,183.34,10.44,51.89,476.77
256,32,50,62,4,4284.42,841.2,61.85,62.98,90.81,269.45
257,20,17,37,10,3251.91,668.86,85.0,34.93,64.17,95.43
258,82,25,146,3,566.91,190.76,206.46,36.93,77.14,193.99
259,81,12,164,6,3719.87,604.23,74.17,52.25,39.91,457.07
260,83,34,136,9,3243.04,877.64,250.4,23.65,8.44,98.95
261,33,5,104,2,531.35,295.24,295.35,2.57,15.78,323.11
262,74,22,161,2,1545.8,237.88,169.83,38.06,6.57,66.98
263,5,20,120,3,919.22,953.44,239.97,4.06,38.06,362.36
264,4,32,171,3,3099.44,353.33,133.83,42.38,97.01,202.85
265,3,12,32,9,1854.28,179.88,202.71,37.15,62.76,391.4
266,25,40,4,1,2939.26,794.77,87.88,18.78,31.77,194.15
267,41,28,198,1,975.55,994.07,167.18,81.86,2.19,309.52
268,86,14,19,10,2526.17,653.21,190.25,95.05,52.7,160.87
269,47,39,183,10,3812.66,380.81,244.92,66.47,51.93,77.98
270,10,2,167,3,568.48,155.76,85.95,71.98,13.55,467.72
271,77,13,137,8,4409.4,334.66,281.73,72.55,12.49,73.63
272,63,19,12,2,2508.45,445.53,46.87,49.24,3.06,429.66
273,52,24,181,3,3003.37,777.46,168.29,29.33,76.88,195.6
274,37,11,141,6,4305.91,951.88,281.79,42.15,61.04,307.78
275,40,21,178,8,2561.75,987.69,110.62,45.55,64.49,261.63
276,58,35,119,8,4694.65,129.83,229.17,29.89,71.0,172.49
277,8,7,148,9,3316.92,661.54,244.69,97.7,26.22,185.44
278,39,22,179,7,4213.11,981.03,251.43,18.6,76.93,128.77
279,6,39,181,1,4743.23,959.88,175.16,60.73,27.55,239.9
280,48,41,115,3,2299.9,925.43,252.13,26.95,28.46,215.76
281,82,22,63,7,4067.72,294.48,184.07,97.54,7.52,125.88
282,4,28,186,10,1507.42,802.07,58.12,0.7,40.68,265.2
283,66,44,34,10,2526.84,413.13,56.04,17.36,40.16,35.08
284,54,38,65,9,3066.48,128.49,98.22,85.43,56.18,278.82
285,82,49,114,9,1335.29,560.59,62.69,16.14,58.89,400.33
286,35,10,180,5,418.86,274.62,13.03,45.48,5.31,430.6
287,55,43,29,8,2369.67,515.13,112.44,93.67,88.97,102.25
288,73,24,91,10,652.4,990.95,65.7,31.38,37.89,255.69
289,24,33,79,10,3576.38,875.07,91.37,64.73,38.73,262.28
290,1,9,32,8,4337.84,339.03,268.47,72.22,87.07,204.32
291,96,2,128,5,1314.23,467.98,223.73,3.05,27.48,194.89
292,35,5,149,5,4971.44,229.98,222.29,72.34,90.32,112.85
293,11,18,71,8,596.5,181.52,274.29,30.04,73.26,117.6
294,27,4,89,10,588.73,346.64,154.61,13.03,95.83,458.25
295,74,24,119,8,1112.66,470.5,111.03,81.33,98.12,287.49
296,37,47,28,2,3572.06,398.77,30.1,5.46,16.99,229.37
297,30,27,86,2,4679.22,83.4,258.73,30.72,27.58,434.25
298,32,36,189,3,3008.47,602.18,133.08,73.85,24.96,295.55
299,80,11,14,7,1218.06,551.27,261.24,30.26,24.21,386.81
300,63,10,92,5,2803.73,200.17,33.33,17.77,51.06,395.91
301,54,22,87,2,1026.43,665.4,217.05,47.57,58.26,309.31
302,5,7,44,3,4441.61,532.88,85.81,94.45,48.91,248.15
303,36,42,57,2,1529.23,412.35,188.35,2.9,22.78,170.21
304,23,2,154,6,291.11,111.32,83.84,12.62,71.41,461.81
305,73,1,109,10,1008.15,80.08,147.82,65.94,85.17,142.44
306,97,4,164,4,2993.96,414.9,182.31,27.09,38.2,50.92
307,17,3,113,2,3451.86,445.44,109.22,59.23,84.99,66.25
308,26,39,179,10,693.64,522.5,293.15,24.86,56.76,234.5
309,33,31,2,1,3650.48,610.61,231.98,45.54,50.44,409.2
310,15,38,149,7,4962.61,493.95,262.29,52.92,22.75,143.87
311,31,34,126,3,2201.68,578.83,94.77,80.15,10.91,391.8
312,90,20,76,10,811.5,343.87,174.1,21.87,26.91,167.28
313,11,28,17,6,606.36,602.91,179.08,73.28,32.89,76.77
314,53,38,192,10,2653.82,87.83,249.77,64.34,23.84,241.1
315,64,3,96,9,587.2,849.64,105.13,35.96,98.18,477.46
316,89,43,139,2,4573.04,567.11,140.93,11.56,26.9,35.88
317,37,18,14,1,2065.0,887.46,96.93,22.58,70.86,257.12
318,90,37,22,9,2491.0,806.44,75.39,11.5,94.32,63.92
319,17,26,44,6,1753.31,883.87,31.96,28.01,25.32,32.52
320,82,12,42,10,3634.9,148.23,122.25,87.7,51.57,234.43
321,98,23,168,3,4835.78,680.81,186.67,79.83,81.65,24.62
322,61,48,187,4,2904.25,674.08,210.61,68.6,4.77,427.39
323,24,40,150,7,4796.23,252.11,34.21,87.0,3.75,287.88
324,57,9,31,1,107.95,829.83,152.43,32.95,96.93,126.23
325,53,40,166,4,1180.3,261.36,213.75,46.74,46.17,264.62
326,91,40,76,6,1928.93,389.89,25.04,15.38,63.94,323.67
327,77,22,71,8,2581.44,452.83,146.82,13.03,26.09,252.71
328,5,26,94,7,2324.16,366.68,217.94,35.77,37.08,242.4
329,93,18,96,8,3178.28,298.48,56.05,78.53,19.91,139.69
330,85,7,169,1,1019.19,392.32,71.3,49.45,46.85,479.75
331,23,7,10,9,3034.4,613.73,98.36,58.33,27.46,26.04
332,2,41,78,5,303.03,475.63,222.14,52.11,36.25,199.38
333,74,23,168,7,1454.63,789.21,188.0,31.31,63.26,29.54
334,48,45,116,7,1335.74,126.18,177.98,55.16,17.86,288.38
335,96,25,102,1,2793.09,303.43,56.16,97.18,80.81,57.18
336,66,8,129,4,3383.34,492.75,35.41,12.9,96.66,439.6
337,16,42,29,3,1841.74,600.44,98.3,79.52,99.2,482.29
338,64,48,76,5,4722.29,467.0,209.4,32.04,98.66,369.59
339,90,35,21,10,3360.3,932.39,224.54,27.4,76.34,310.32
340,31,1,27,9,934.61,622.33,158.71,58.86,29.28,358.13
341,16,5,178,9,776.61,758.56,228.81,80.77,43.89,436.32
342,2,25,18,4,4167.98,824.91,248.44,89.94,16.01,75.46
343,27,23,12,3,2110.21,791.66,62.53,24.44,21.44,480.43
344,30,29,183,1,2388.06,602.44,101.05,34.66,92.36,31.49
345,69,12,1,6,3374.18,675.77,145.83,32.1,60.12,350.17
346,5,4,40,4,1546.09,713.62,30.61,55.04,13.83,205.16
347,83,45,11,6,4504.64,369.52,173.15,93.57,13.78,405.46
348,53,36,92,5,1337.19,382.96,60.21,24.89,63.86,471.62
349,69,6,83,2,4185.89,319.21,98.67,22.86,20.97,380.36
350,1,1,126,1,2758.27,603.96,144.93,49.95,56.05,91.8
351,58,45,137,2,3312.88,826.96,228.82,62.41,82.53,99.73
352,60,35,111,4,1419.66,474.67,236.84,49.66,68.01,60.53
353,87,49,118,1,969.21,65.66,175.13,48.55,39.57,364.47
354,31,12,6,10,2757.3,103.97,245.71,52.98,9.68,62.35
355,1,1,39,8,3840.67,249.3,28.25,29.06,26.86,434.06
356,2,42,189,10,4455.66,179.38,226.22,12.93,19.11,371.85
357,57,29,94,9,1361.37,286.32,139.89,4.14,73.02,363.28
358,61,21,30,10,4194.98,739.82,65.35,96.7,51.29,24.79
359,46,40,25,10,473.01,89.27,63.37,56.64,29.76,285.17
360,90,49,143,2,3401.39,426.26,241.57,9.38,43.65,91.1
361,22,38,15,4,4236.39,897.33,273.31,96.97,33.54,442.39
362,74,49,17,6,357.11,117.19,125.1,73.41,80.15,430.29
363,74,3,133,10,2299.84,873.3,135.91,93.95,4.01,380.18
364,63,12,110,8,108.41,746.16,229.4,9.11,31.43,337.38
365,26,49,79,5,1443.18,353.76,39.89,40.36,71.09,425.65
366,5,23,191,7,3445.99,968.72,255.73,13.11,13.83,227.4
367,18,48,86,8,3641.26,600.17,81.1,11.29,30.52,70.06
368,24,31,127,10,2622.43,652.52,110.43,56.21,87.03,499.92
369,29,9,157,10,2442.87,916.85,73.56,16.67,55.89,161.56
370,78,1,137,10,2775.2,707.12,140.78,28.75,22.47,377.79
371,93,34,124,6,1570.91,767.09,78.43,34.42,54.62,374.21
372,18,23,52,1,131.91,771.03,130.22,72.3,58.66,281.99
373,54,33,178,5,4063.44,532.17,289.45,37.72,89.3,81.97
374,84,12,188,6,2984.08,764.88,227.32,84.0,70.15,332.02
375,28,30,52,9,997.54,872.59,77.02,8.22,93.46,292.8
376,37,24,179,9,3298.64,690.82,285.97,71.84,3.06,226.85
377,96,50,64,1,3258.83,351.78,13.25,99.24,75.19,43.89
378,95,1,194,10,1933.49,284.38,19.91,8.92,53.25,221.14
379,14,43,92,2,3242.92,620.92,51.18,33.77,70.89,303.43
380,44,4,120,2,3751.49,347.19,212.6,85.43,21.41,253.28
381,4,31,28,9,4960.54,219.85,235.03,1.9,79.33,433.6
382,79,38,162,1,4562.72,167.51,180.86,47.75,61.48,444.04
383,44,21,181,7,3037.27,609.12,67.53,6.17,49.9,77.1
384,84,33,167,10,2828.3,288.31,64.5,13.32,12.48,208.94
385,67,48,8,3,2005.31,754.27,43.25,96.59,45.75,235.12
386,3,36,156,2,1951.74,731.81,183.02,16.02,35.23,31.83
387,9,1,62,8,2546.03,488.46,295.13,30.46,22.34,52.32
388,49,38,129,9,2027.87,140.45,262.51,61.95,94.04,309.5
389,51,1,141,9,3603.37,111.81,191.18,25.93,44.76,216.39
390,23,17,69,7,4191.35,195.36,236.56,99.16,57.89,330.53
391,3,50,94,9,2618.18,55.14,34.18,74.46,38.65,83.29
392,49,2,143,5,1771.32,73.42,16.79,58.91,26.92,488.0
393,42,31,171,5,3420.36,582.3,102.67,30.44,56.42,271.5
394,69,43,65,4,4549.67,620.64,125.4,2.99,29.09,331.0
395,19,47,191,6,2995.82,286.65,165.19,72.17,31.2,314.48
396,56,28,97,7,102.3,421.46,232.38,58.97,57.58,256.23
397,68,39,47,5,1000.57,342.51,231.15,64.1,22.15,128.04
