Veille_id,Date_id,Source_id,Projet_id,type_veille_id,Nb_alerte,Nb_source_pertinente,Nb_verification_fact_checking,Nb_rapport_produit,NB_production_enrichie,Score_Fiabilité,Tendance_detectée,Taux_bruit
117,85,17,83,9,42,9,13,0,6,80.54,Incertitude,7.39
118,85,13,73,14,50,1,11,0,0,92.76,Croissance,17.61
119,15,1,67,18,14,2,9,2,1,78.64,Incertitude,7.17
120,10,40,65,12,29,17,10,7,3,82.35,Transformation,11.17
121,20,11,71,19,49,20,3,4,8,64.14,Croissance,28.36
122,49,28,68,13,37,12,5,3,6,83.27,Déclin,24.0
123,87,15,78,6,38,6,0,9,3,97.08,Transformation,1.96
124,58,26,74,18,49,9,4,5,0,67.23,Croissance,12.72
125,31,49,52,2,6,5,14,7,2,69.65,Déclin,4.08
126,36,12,95,2,8,4,1,3,0,86.78,Croissance,28.14
127,34,35,79,1,42,5,3,5,7,99.07,Transformation,0.09
128,61,24,100,6,21,6,9,8,0,89.42,Incertitude,25.49
129,89,48,27,4,5,13,0,10,6,83.37,Déclin,5.69
130,25,41,8,14,33,19,3,9,1,89.32,Transformation,18.62
131,67,29,42,13,3,16,11,3,3,92.47,Incertitude,11.63
132,94,43,60,6,26,8,7,0,0,95.81,Incertitude,17.35
133,15,41,73,1,9,12,1,1,3,91.81,Croissance,4.99
134,27,24,57,11,49,5,12,4,4,74.71,Stable,10.02
135,36,42,95,10,48,8,5,1,6,70.18,Stable,14.24
136,63,13,88,18,27,2,5,1,7,71.39,Transformation,12.31
137,21,31,83,13,46,10,7,6,5,93.59,Déclin,23.08
138,51,10,80,15,38,3,3,3,8,96.82,Incertitude,10.62
139,91,45,74,16,11,2,9,1,3,66.94,Stable,2.11
140,54,27,98,2,31,15,4,3,6,68.55,Stable,1.04
141,11,12,20,5,24,5,10,7,5,65.69,Transformation,28.51
142,63,26,30,4,11,6,10,3,5,94.59,Déclin,13.11
143,89,19,96,1,36,9,15,6,0,62.44,Stable,6.55
144,33,18,9,19,34,13,9,5,6,78.57,Transformation,5.5
145,51,44,50,7,20,13,0,9,0,77.76,Incertitude,2.41
146,44,27,23,5,2,10,15,6,7,87.29,Incertitude,3.22
147,58,18,34,13,39,5,1,4,3,61.98,Incertitude,15.79
148,46,8,35,18,44,4,11,5,0,61.03,Transformation,16.1
149,86,48,20,15,9,17,3,0,3,78.98,Transformation,7.62
150,46,36,96,14,1,9,15,3,3,86.58,Croissance,3.83
151,50,26,63,12,27,13,3,9,4,89.73,Transformation,11.12
152,73,29,41,19,42,2,0,9,4,66.46,Déclin,5.85
153,75,28,29,1,38,3,13,9,3,88.36,Stable,25.17
154,3,6,68,12,49,4,2,7,4,61.86,Transformation,20.29
155,36,14,11,8,26,14,12,4,1,73.13,Stable,21.16
156,56,46,68,5,14,14,12,1,0,82.82,Incertitude,26.91
157,49,25,98,19,16,5,15,8,0,91.6,Déclin,29.08
158,53,36,75,9,26,5,14,10,5,66.14,Incertitude,11.57
159,18,35,60,19,8,16,2,9,1,77.57,Déclin,9.74
160,84,40,26,14,42,20,4,4,2,94.44,Incertitude,9.65
161,20,46,55,17,29,8,10,10,8,94.33,Transformation,23.15
162,73,35,32,2,34,4,3,3,3,69.93,Stable,4.41
163,57,28,65,8,6,7,2,10,7,72.22,Déclin,27.05
164,12,27,11,17,41,1,11,3,7,73.76,Croissance,27.15
165,16,20,40,7,30,5,6,8,6,86.26,Déclin,1.04
166,4,39,54,13,0,16,12,5,7,93.11,Croissance,16.1
167,65,48,20,15,37,3,10,9,4,60.96,Croissance,20.67
168,93,37,15,2,32,2,14,10,0,99.8,Incertitude,18.0
169,23,46,82,17,15,20,13,5,5,81.44,Transformation,19.45
170,25,50,25,12,17,7,6,0,7,74.7,Déclin,29.04
171,55,38,66,19,48,9,13,9,1,93.59,Déclin,29.37
172,36,48,28,6,0,1,12,0,8,96.13,Stable,5.97
173,46,11,14,15,19,19,2,0,1,91.54,Croissance,16.61
174,31,19,67,12,27,3,15,6,0,90.35,Déclin,29.25
175,89,25,69,3,41,10,2,10,1,93.13,Transformation,12.84
176,16,4,21,14,37,8,6,4,6,70.11,Transformation,3.55
177,75,44,75,5,18,4,10,0,4,85.14,Croissance,21.49
178,62,43,5,10,6,17,1,4,8,69.91,Déclin,10.76
179,26,40,20,6,34,18,12,6,5,93.64,Stable,1.7
180,99,37,20,6,35,8,7,1,1,77.42,Déclin,5.66
181,47,18,12,19,3,1,3,4,7,79.45,Stable,12.07
182,21,26,13,11,8,4,14,9,2,72.88,Déclin,22.94
183,52,23,18,17,29,8,9,10,5,84.97,Croissance,23.95
184,100,46,84,11,12,20,8,4,1,84.48,Stable,15.16
185,47,24,41,6,14,18,8,9,0,81.26,Incertitude,26.35
186,18,44,22,12,48,2,7,3,1,68.5,Stable,2.89
187,77,12,61,3,28,4,6,5,0,90.16,Stable,15.05
188,29,4,1,1,11,12,13,3,2,90.71,Déclin,0.8
189,25,40,88,18,3,4,9,3,2,89.73,Transformation,0.54
190,11,33,23,11,50,2,14,1,0,76.69,Transformation,6.64
191,63,33,39,5,35,17,7,6,0,93.95,Croissance,19.72
192,5,33,82,3,4,11,12,4,6,72.08,Stable,0.04
193,51,20,35,17,8,18,9,6,8,88.65,Stable,4.18
194,45,18,30,19,17,3,11,0,1,88.81,Déclin,19.43
195,52,32,99,6,16,19,15,8,0,98.71,Croissance,22.29
196,96,2,15,18,30,10,0,8,7,70.59,Transformation,5.88
197,60,9,49,8,19,17,12,8,0,93.42,Transformation,22.44
198,79,25,58,9,35,7,0,6,1,89.76,Déclin,25.05
199,85,24,61,8,50,12,0,1,8,76.96,Incertitude,20.72
200,10,27,93,6,49,8,8,5,8,82.31,Croissance,6.0
201,65,6,20,14,48,3,9,5,1,95.59,Incertitude,8.03
202,58,26,96,8,15,7,1,4,6,66.94,Transformation,6.88
203,31,1,29,4,4,1,13,4,8,96.24,Croissance,9.56
204,34,6,84,4,13,15,15,3,5,68.12,Transformation,16.2
205,15,47,15,12,4,7,8,1,1,75.54,Transformation,3.11
206,30,16,84,6,8,13,4,2,5,86.48,Transformation,8.25
207,57,50,3,10,21,16,13,7,7,60.65,Incertitude,18.69
208,93,41,8,15,17,8,14,10,0,71.29,Transformation,6.64
209,89,40,47,2,20,1,9,3,3,79.77,Incertitude,1.24
210,68,19,71,5,10,16,7,9,6,97.54,Incertitude,15.9
211,61,27,76,20,17,4,12,8,6,86.45,Stable,2.42
212,35,50,37,9,34,11,15,3,0,96.64,Incertitude,2.76
213,44,10,37,2,2,1,4,4,5,96.96,Déclin,17.61
214,47,15,93,20,43,15,8,2,1,94.51,Stable,15.56
215,13,39,1,13,15,3,5,8,8,75.48,Croissance,16.9
216,81,32,85,20,50,13,10,6,2,88.73,Déclin,5.31
217,80,12,62,14,3,5,3,9,7,76.8,Incertitude,26.74
218,81,14,20,10,26,1,15,8,7,80.61,Stable,23.25
219,84,10,15,6,10,5,9,0,4,83.27,Transformation,27.24
220,98,1,38,18,0,2,5,7,3,96.63,Croissance,10.17
221,83,1,50,12,31,17,2,3,0,62.64,Transformation,17.8
222,11,1,86,19,7,17,9,3,4,87.98,Transformation,8.1
223,2,6,47,7,42,11,2,7,8,82.36,Croissance,4.58
224,30,40,55,2,9,19,3,6,4,63.4,Incertitude,10.32
225,59,4,30,18,16,4,4,9,2,92.91,Déclin,21.46
226,76,6,14,14,19,18,10,9,4,62.61,Stable,20.54
227,97,37,9,4,18,13,14,9,5,73.91,Incertitude,1.22
228,3,47,80,6,6,19,4,1,7,72.98,Transformation,22.97
229,93,10,61,1,34,8,7,2,5,66.86,Déclin,9.54
230,100,46,8,7,30,2,15,9,5,91.45,Stable,17.08
231,48,39,31,4,42,11,5,8,1,98.65,Stable,14.61
232,95,35,62,12,46,4,9,0,6,82.06,Déclin,22.96
233,91,27,9,4,40,18,3,8,6,75.51,Stable,5.01
234,32,44,24,20,25,19,13,6,7,70.55,Transformation,23.62
235,79,29,39,13,19,12,11,0,1,67.67,Déclin,10.24
236,11,36,46,9,1,20,12,10,0,74.26,Transformation,25.19
237,54,22,34,6,23,16,4,8,2,98.77,Transformation,2.69
238,53,12,78,8,6,7,5,7,6,64.47,Stable,18.49
239,93,30,37,17,38,13,3,1,4,75.26,Transformation,25.34
240,96,25,74,4,25,6,10,4,7,92.82,Croissance,6.83
241,59,14,20,10,6,6,1,9,7,94.25,Croissance,21.12
242,56,45,69,4,40,15,12,9,5,90.91,Stable,7.82
243,69,36,2,15,18,16,3,9,3,68.53,Déclin,6.42
244,10,14,48,3,19,13,4,6,7,69.01,Stable,19.05
245,90,30,1,1,3,8,3,5,2,72.38,Incertitude,22.79
246,100,19,77,15,17,20,12,0,1,95.18,Croissance,14.97
247,70,5,45,1,22,3,13,8,6,97.32,Déclin,23.16
248,14,20,65,5,41,6,9,6,1,95.86,Déclin,19.45
249,35,43,74,8,45,11,8,3,0,78.45,Stable,28.74
250,39,45,32,3,19,3,7,9,6,85.12,Incertitude,23.53
251,74,36,41,18,32,15,3,10,4,83.8,Croissance,8.15
252,80,27,51,10,2,12,15,9,2,87.41,Déclin,26.45
253,94,43,91,10,43,7,15,9,1,97.72,Croissance,3.2
254,10,15,50,10,33,20,8,0,0,70.01,Déclin,20.98
255,96,26,41,19,37,15,1,1,7,68.63,Déclin,27.45
256,92,37,47,20,7,14,5,6,0,66.95,Transformation,16.82
257,9,46,68,6,17,2,12,9,8,76.05,Incertitude,27.96
258,15,39,39,11,33,12,4,8,8,76.79,Transformation,9.39
259,36,42,33,18,48,1,12,8,0,77.46,Transformation,9.8
260,12,12,81,9,31,18,6,1,7,91.84,Croissance,5.47
261,86,47,58,3,46,16,1,1,3,78.1,Transformation,15.64
262,59,24,85,4,4,16,7,1,5,75.21,Stable,26.98
263,11,12,59,20,33,1,12,8,2,70.54,Incertitude,7.9
264,76,23,59,3,16,6,2,5,8,82.85,Transformation,22.8
265,5,36,71,11,18,6,0,9,4,74.58,Stable,7.89
266,65,27,34,17,28,17,5,5,7,72.47,Transformation,28.1
267,57,9,49,15,46,4,5,9,7,82.81,Stable,17.39
268,47,13,7,16,27,17,9,4,0,63.15,Transformation,4.59
269,64,40,33,11,18,13,4,4,5,90.29,Incertitude,16.32
270,62,17,45,10,36,4,3,8,4,77.39,Stable,28.97
271,73,5,30,2,27,5,10,1,3,91.18,Déclin,17.06
272,63,35,20,10,49,6,15,9,2,86.93,Stable,24.5
273,13,11,77,6,33,19,1,5,2,79.86,Stable,16.85
274,54,7,95,3,46,10,14,2,5,83.48,Incertitude,22.66
275,12,24,13,2,41,15,1,1,7,86.01,Incertitude,14.03
276,17,36,20,18,3,8,11,2,8,61.0,Stable,9.1
277,21,10,2,8,1,1,7,6,5,99.06,Incertitude,22.63
278,59,5,52,20,35,10,9,4,6,75.76,Croissance,21.56
279,92,27,93,9,10,10,5,3,6,99.55,Croissance,29.42
280,37,29,86,19,31,20,13,7,7,71.69,Transformation,11.94
281,58,20,72,17,2,6,8,5,6,89.45,Déclin,19.18
282,13,3,18,15,8,12,5,0,2,73.25,Croissance,10.59
283,58,28,52,5,47,16,3,2,7,79.78,Stable,1.54
284,65,30,25,5,34,4,11,4,1,75.41,Déclin,25.03
285,31,9,19,11,43,17,0,9,3,99.6,Incertitude,25.49
286,63,36,39,15,40,1,13,2,7,69.81,Stable,22.44
287,57,4,30,17,42,11,2,8,6,63.06,Stable,0.74
288,49,7,20,11,37,11,4,8,8,72.77,Transformation,13.07
289,55,22,98,2,28,13,7,4,5,88.85,Croissance,25.59
290,4,33,51,8,17,3,14,6,5,61.07,Croissance,9.6
291,53,27,66,17,23,15,4,7,1,87.55,Déclin,4.19
292,65,30,40,11,9,18,6,2,1,75.63,Transformation,16.18
293,71,25,91,9,50,5,9,5,5,77.21,Transformation,6.25
294,36,5,6,20,29,8,5,7,6,88.7,Déclin,11.36
295,66,21,67,14,30,15,0,3,8,92.42,Déclin,13.47
296,98,39,36,10,45,15,6,3,1,84.95,Stable,22.24
297,70,46,13,5,13,18,5,5,7,71.66,Déclin,23.68
298,27,46,55,20,7,6,4,4,5,85.03,Stable,19.8
299,81,45,24,6,29,16,10,10,8,98.18,Déclin,11.22
300,58,30,8,2,19,16,3,7,6,66.83,Transformation,17.73
301,31,26,48,20,39,17,1,9,6,70.79,Transformation,7.72
302,64,45,76,10,22,8,8,1,2,81.04,Stable,9.28
303,69,28,55,12,6,4,7,10,4,61.67,Stable,3.3
304,90,16,73,6,25,6,4,8,0,84.84,Transformation,17.98
305,70,2,4,20,36,17,10,6,4,75.15,Stable,18.59
306,85,22,9,19,22,12,2,7,3,95.86,Stable,4.02
307,77,35,77,19,31,15,6,9,4,66.77,Incertitude,11.06
308,24,25,5,11,35,5,6,2,6,82.27,Incertitude,26.38
309,20,46,34,6,48,10,9,0,8,65.22,Transformation,27.11
310,83,32,72,17,14,12,4,4,6,60.31,Déclin,18.15
311,10,23,50,20,31,11,3,8,3,97.61,Déclin,12.8
312,39,29,18,19,30,6,11,8,8,63.08,Incertitude,21.35
313,27,29,6,13,18,6,3,10,0,81.72,Déclin,23.52
314,53,42,90,4,43,14,13,6,2,71.73,Transformation,3.82
315,84,29,67,7,25,6,14,7,3,91.72,Incertitude,2.85
316,88,7,24,19,31,13,10,10,5,85.81,Croissance,2.62
317,83,13,8,1,31,10,12,8,1,63.1,Transformation,25.01
318,45,35,22,3,2,15,7,0,0,94.53,Déclin,15.52
319,52,26,47,10,30,7,14,2,7,81.09,Croissance,6.51
320,86,12,87,1,13,8,14,0,2,65.99,Incertitude,16.02
321,86,34,24,17,6,13,10,9,5,79.15,Stable,2.8
322,97,2,26,2,1,6,5,6,4,87.92,Croissance,4.84
323,42,14,61,9,10,7,12,9,3,76.71,Transformation,12.58
324,39,41,65,2,20,6,15,10,0,99.55,Déclin,14.63
325,62,36,99,16,6,9,8,3,5,72.76,Incertitude,12.38
326,17,31,29,17,19,18,8,1,4,60.56,Transformation,26.65
327,1,16,95,1,4,5,9,3,4,99.21,Stable,9.67
328,70,17,11,10,42,15,9,5,6,85.79,Incertitude,3.65
329,87,32,57,5,11,8,8,7,7,76.86,Stable,9.25
330,77,43,85,13,39,17,2,4,3,63.2,Déclin,0.71
331,65,5,35,19,14,14,10,3,5,73.23,Incertitude,20.98
332,18,24,7,3,27,7,7,8,6,93.03,Transformation,17.34
333,66,45,43,12,38,19,6,9,1,61.61,Incertitude,21.49
334,33,43,54,10,37,18,15,5,8,99.99,Déclin,3.86
335,76,23,88,5,31,5,0,0,3,74.04,Transformation,22.91
336,55,23,69,5,5,19,9,8,8,82.7,Déclin,15.95
337,68,49,67,17,49,6,6,0,1,78.69,Déclin,17.95
338,29,20,29,6,8,9,6,2,2,66.28,Déclin,8.97
339,96,32,91,3,8,3,8,9,1,81.68,Croissance,29.11
340,66,25,30,20,36,8,1,0,6,75.69,Déclin,21.57
341,76,34,89,9,31,6,11,0,1,68.98,Déclin,11.21
342,73,26,9,12,40,1,12,5,1,86.08,Transformation,19.37
343,15,30,96,5,17,3,3,10,1,69.84,Croissance,0.51
344,47,22,64,5,49,19,4,5,0,95.06,Stable,22.15
345,24,11,21,13,17,17,12,0,2,66.27,Stable,0.4
346,35,14,41,10,11,3,10,2,8,85.56,Incertitude,29.23
347,11,39,16,12,47,7,3,6,2,98.41,Déclin,11.2
348,58,18,56,2,43,4,15,6,4,64.22,Incertitude,12.53
349,91,37,14,20,41,7,7,7,5,76.47,Stable,17.76
350,65,33,49,12,35,2,5,0,8,94.64,Transformation,6.21
351,82,25,47,8,2,7,5,10,7,86.49,Stable,17.35
352,66,47,67,8,0,14,2,9,1,99.24,Déclin,8.42
353,26,47,8,9,0,2,9,6,3,79.75,Transformation,23.61
354,57,19,63,19,11,1,15,2,5,68.21,Incertitude,10.31
355,63,9,86,17,1,3,8,1,6,86.74,Stable,17.56
356,82,14,13,10,43,11,15,9,0,77.48,Incertitude,13.32
357,62,29,63,9,8,7,13,8,0,85.55,Déclin,26.87
358,75,32,97,16,15,13,8,3,0,72.74,Incertitude,5.88
359,19,36,15,12,40,7,7,2,3,84.09,Stable,15.77
360,90,7,31,17,9,3,10,4,2,73.87,Incertitude,3.15
361,63,20,74,1,42,18,7,1,6,97.31,Stable,29.13
362,81,32,10,20,5,11,12,6,6,65.42,Déclin,16.78
363,40,16,19,7,25,10,8,0,8,80.46,Déclin,5.53
364,62,44,1,16,3,11,10,8,6,73.03,Croissance,12.2
365,14,13,33,13,25,20,6,8,4,71.22,Incertitude,22.62
366,82,21,80,16,7,8,6,1,5,92.73,Croissance,22.75
367,14,16,53,8,4,6,9,9,2,91.24,Stable,24.86
368,1,25,54,19,35,19,7,7,7,96.66,Croissance,2.62
369,1,20,30,3,3,2,13,1,3,91.58,Croissance,28.46
370,36,43,40,20,39,19,8,3,6,74.71,Stable,12.44
371,29,40,66,14,50,20,8,1,2,74.88,Stable,13.79
372,69,5,67,5,13,2,7,1,5,63.1,Déclin,26.29
373,56,3,3,15,45,10,11,8,5,96.74,Croissance,7.71
374,99,28,21,3,8,6,3,6,3,86.55,Transformation,21.37
375,24,2,9,7,21,2,2,10,5,71.44,Incertitude,4.33
376,81,43,15,1,46,20,6,5,0,72.25,Incertitude,24.79
377,36,33,77,2,12,9,1,1,0,80.07,Incertitude,11.48
378,87,31,6,4,49,4,13,7,8,76.87,Transformation,15.26
379,7,36,60,8,46,1,3,3,4,69.78,Stable,9.87
380,75,18,50,13,28,19,3,3,5,65.29,Déclin,11.24
381,28,9,53,7,36,9,3,5,1,61.53,Croissance,1.51
382,9,48,96,2,1,9,15,9,6,74.83,Stable,23.19
383,78,1,80,11,20,16,12,4,6,73.35,Incertitude,29.13
384,77,30,87,2,34,3,0,10,3,75.27,Déclin,6.4
385,45,4,69,6,7,10,10,8,7,84.93,Transformation,7.69
386,16,15,31,4,44,12,3,2,5,69.42,Transformation,23.96
387,61,16,98,12,26,6,3,3,3,81.43,Transformation,15.8
388,53,9,17,17,25,15,9,6,6,98.27,Incertitude,15.32
389,52,8,9,20,23,14,2,0,6,61.62,Transformation,12.05
390,33,42,54,7,48,11,4,7,6,82.66,Transformation,0.4
391,20,8,94,6,47,10,9,2,8,82.28,Stable,19.76
392,18,44,76,16,35,18,9,0,8,85.14,Stable,3.98
393,46,15,59,16,10,15,11,0,3,63.31,Stable,10.21
394,13,50,61,17,22,18,7,5,2,72.51,Stable,0.66
395,12,15,21,11,10,19,5,6,2,90.63,Croissance,26.76
396,6,45,54,10,21,17,5,3,0,72.63,Incertitude,11.54
397,23,15,7,18,12,2,0,2,4,68.15,Transformation,21.55
398,88,17,87,13,22,1,4,5,0,76.79,Croissance,22.52
399,85,30,1,13,49,5,11,3,6,62.32,Déclin,5.4
400,24,30,56,16,35,8,14,7,4,84.61,Stable,8.55
401,52,49,37,11,3,19,7,8,5,61.32,Transformation,3.01
402,74,45,40,2,30,4,5,9,7,93.49,Incertitude,22.3
403,40,26,71,2,48,10,14,6,3,95.45,Transformation,2.07
404,11,7,25,15,27,6,8,7,7,87.75,Transformation,21.33
405,52,35,2,17,34,4,1,5,1,78.89,Déclin,8.17
406,48,6,69,10,38,9,14,1,6,72.42,Stable,3.73
407,19,9,30,13,10,1,7,3,5,77.79,Transformation,26.04
408,87,49,76,7,23,1,3,5,4,93.75,Incertitude,28.81
409,33,47,24,19,45,16,12,2,2,79.99,Déclin,26.66
410,99,31,56,2,12,13,3,2,3,90.4,Croissance,22.11
411,63,33,17,11,7,12,12,0,6,99.43,Incertitude,21.72
412,92,42,23,13,39,6,10,2,8,71.06,Déclin,1.81
413,22,10,74,19,41,2,11,2,2,74.29,Croissance,13.93
414,11,44,100,6,42,19,7,5,5,63.79,Croissance,1.79
415,77,2,61,15,46,6,4,10,1,73.03,Transformation,14.37
416,10,2,62,1,50,18,9,1,0,83.98,Incertitude,3.22
417,88,31,86,9,8,15,2,4,2,93.84,Incertitude,26.47
