Finance_id,Date_id,Budget_id,Fournisseur_id,Budget_consommé_vs_engagé,Délai_paiement_fournisseurs,Taux_fiabilité_prévisions
118,16,25,36,60494.98,47,84.45
119,9,3,46,35589.11,82,83.05
120,48,25,37,55488.8,77,77.01
121,18,2,44,19405.37,37,90.02
122,59,1,16,37166.98,18,76.96
123,59,23,26,69483.71,41,72.43
124,55,20,19,81208.75,17,72.76
125,40,1,37,14807.37,14,97.27
126,10,4,16,65172.8,68,71.87
127,15,8,16,79255.45,49,78.06
128,97,11,13,85068.05,54,81.17
129,99,11,26,94648.22,27,75.76
130,76,29,49,19714.03,61,91.46
131,15,17,20,57468.53,21,82.66
132,59,18,17,48754.36,10,78.41
133,23,17,8,33033.05,54,88.45
134,17,20,5,83937.05,50,99.35
135,8,30,37,33179.73,30,75.95
136,39,14,10,38579.15,88,71.12
137,45,14,50,35791.75,16,83.25
138,42,21,25,44116.05,25,83.84
139,40,22,44,45891.33,69,76.27
140,47,30,39,80498.84,12,85.77
141,28,26,50,7674.24,29,93.45
142,98,1,24,19221.63,60,84.92
143,88,23,45,87731.63,78,90.35
144,25,11,39,62936.69,83,74.91
145,53,13,24,54838.06,22,76.51
146,23,20,49,99238.77,58,78.19
147,21,14,43,84958.38,49,73.5
148,2,12,33,62152.06,60,76.11
149,32,23,8,72209.67,78,95.01
150,99,10,47,75903.57,87,73.38
151,24,24,22,44329.79,6,97.87
152,71,30,10,87042.17,68,88.08
153,71,11,13,47342.78,77,83.14
154,83,11,14,20915.32,73,77.33
155,84,10,9,29659.97,41,86.02
156,19,28,6,63230.27,79,74.71
157,51,1,43,39544.7,30,72.57
158,13,16,9,83279.69,60,80.72
159,18,14,17,49612.82,56,97.18
160,21,5,42,34361.88,13,87.45
161,85,9,43,27276.59,6,85.21
162,53,14,41,58866.27,60,78.68
163,45,6,37,14381.35,46,79.61
164,36,4,40,5564.04,32,92.95
165,24,13,7,63681.75,49,93.27
166,58,28,38,19138.8,76,92.09
167,5,10,48,96489.6,48,92.26
168,22,8,20,13050.46,26,84.4
169,17,10,41,19891.3,46,74.23
170,50,19,22,87513.53,45,84.0
171,13,15,43,31193.62,16,84.5
172,19,9,42,91832.01,5,86.4
173,21,25,5,29661.26,55,73.15
174,83,8,11,43618.92,57,92.42
175,36,22,46,19469.68,90,73.37
176,56,22,23,57021.37,69,79.57
177,72,30,19,71015.15,39,81.87
178,46,7,5,92881.28,74,82.85
179,63,20,17,37602.34,13,83.19
180,67,27,39,61984.58,90,94.01
181,24,27,37,54611.64,70,94.56
182,47,14,6,59807.42,47,83.29
183,37,16,22,83647.6,88,86.0
184,64,6,42,86009.42,48,82.36
185,33,15,13,8359.35,80,91.84
186,44,5,35,22524.44,26,95.15
187,62,11,21,63485.53,38,84.35
188,47,29,15,48254.83,20,91.91
189,17,3,18,96545.75,75,89.44
190,47,25,44,24232.34,84,73.4
191,43,30,36,98591.11,11,72.67
192,98,7,48,37607.45,81,74.1
193,90,15,42,37415.84,39,79.49
194,34,21,43,83737.31,57,92.96
195,19,17,4,60495.26,40,82.58
196,12,9,10,52619.96,48,76.71
197,47,28,34,71717.22,27,99.98
198,35,23,10,73779.73,65,72.45
199,49,23,39,84707.34,25,94.81
200,72,20,24,52366.2,31,78.91
201,19,17,27,69662.41,37,89.74
202,81,18,26,38317.95,48,97.13
203,15,6,47,35239.85,24,89.09
204,36,1,3,7777.48,29,88.76
205,28,2,6,78499.95,80,87.28
206,45,14,33,63454.56,19,82.39
207,37,16,19,14766.77,74,82.66
208,21,10,37,33124.04,11,86.81
209,3,8,3,47017.47,76,92.07
210,91,14,23,88145.13,68,83.38
211,73,14,32,23720.84,72,72.87
212,93,2,23,97957.86,67,98.35
213,19,27,1,72092.12,59,83.25
214,57,1,1,41756.48,74,82.26
215,78,16,22,94091.36,53,73.52
216,38,25,11,5192.81,85,71.98
217,56,3,3,93945.73,59,92.54
218,45,14,13,47345.48,77,89.72
219,40,30,42,93451.04,16,82.76
220,88,3,33,44078.44,7,81.68
221,66,3,26,34517.78,25,78.72
222,24,15,42,18338.22,13,94.3
223,5,2,30,91803.43,21,88.7
224,49,16,33,43072.42,8,77.72
225,64,14,18,48767.82,70,81.85
226,82,30,26,22515.21,46,92.55
227,6,8,16,78754.78,49,90.53
228,11,6,17,58184.52,10,80.1
229,46,9,46,83443.98,57,72.86
230,19,28,3,68507.21,51,98.36
231,87,3,14,84309.04,55,82.0
232,89,24,9,25363.92,34,79.97
233,25,20,7,32011.81,88,71.71
234,15,8,20,32459.67,44,74.79
235,32,15,9,30654.32,38,76.22
236,89,6,17,17556.43,75,73.47
237,76,15,8,80626.53,9,91.11
238,59,26,28,25685.55,73,93.62
239,17,15,18,95595.93,62,72.05
240,97,18,26,87707.52,33,95.53
241,87,10,23,76871.7,71,75.36
242,47,15,8,46737.87,57,86.69
243,43,3,22,80643.69,17,92.42
244,44,5,13,20341.49,50,72.52
245,21,18,14,40356.66,11,75.41
246,87,11,47,33987.15,65,90.27
247,49,10,17,56884.76,34,71.07
248,61,30,1,80203.72,73,91.56
249,13,19,16,10554.75,21,82.74
250,40,30,11,94449.06,67,70.14
251,88,22,21,94194.44,12,96.83
252,47,19,4,65436.8,34,87.69
253,11,25,32,27343.32,43,82.84
254,30,13,46,11395.5,56,96.85
255,95,27,30,58150.43,31,72.83
256,80,5,9,57540.22,62,83.5
257,95,21,27,40458.51,52,86.97
258,92,4,29,85331.97,70,90.84
259,88,24,22,40699.96,22,70.21
260,49,8,5,6334.71,27,76.47
261,76,7,45,66462.73,21,71.4
262,13,15,23,99693.39,46,78.74
263,77,29,33,90883.54,71,75.57
264,58,1,22,45826.66,17,79.87
265,18,17,15,85849.53,88,89.65
266,75,21,47,14791.7,38,71.42
267,29,23,45,47747.75,81,94.1
268,71,7,34,55956.3,70,97.92
269,39,23,38,89405.38,31,74.2
270,68,1,12,29456.66,48,92.92
271,95,22,21,58621.02,85,81.99
272,1,5,28,70689.89,24,78.53
273,42,28,3,64235.28,89,90.5
274,67,25,26,73131.59,72,81.37
275,94,15,33,81138.78,42,96.46
276,90,7,4,21276.47,64,86.31
277,17,26,43,98801.89,68,94.15
278,8,7,20,30766.42,81,85.97
279,93,13,38,79782.23,6,89.63
280,20,25,43,64029.48,25,77.96
281,3,25,16,28473.91,74,99.01
282,7,22,19,73458.64,37,81.34
283,89,18,43,60877.91,82,97.81
284,30,14,12,55569.2,81,96.16
285,45,2,28,17634.97,14,70.65
286,41,16,46,99448.07,84,86.17
287,28,29,18,87580.57,24,93.02
288,56,19,34,35458.41,49,95.63
289,25,21,22,95770.37,10,73.38
290,14,16,29,21475.75,32,85.54
291,36,12,5,93764.93,89,85.83
292,91,7,46,85636.41,51,85.73
293,33,9,14,28391.6,16,81.26
294,71,8,12,91929.73,82,99.63
295,47,4,10,58561.7,87,87.24
296,23,18,36,33226.51,27,97.55
297,6,21,8,30826.64,72,84.93
298,71,19,8,44012.31,45,92.2
299,25,28,28,95294.45,79,96.93
300,80,8,22,50987.6,26,86.94
301,84,22,19,13022.8,44,99.82
302,89,12,36,11693.47,88,78.12
303,5,3,15,34591.22,48,77.0
304,4,16,18,44778.98,26,88.84
305,85,9,30,53595.15,55,95.24
306,60,3,33,42090.63,61,76.2
307,13,26,30,46212.26,42,90.83
308,59,24,20,80085.86,84,82.03
309,21,16,17,60877.47,56,79.13
310,79,29,19,59137.58,57,88.93
311,9,6,15,71281.97,24,73.52
312,47,16,6,78010.3,67,72.3
313,20,14,4,58208.71,83,86.22
314,61,8,5,11443.21,12,91.01
315,77,19,40,18500.41,8,85.3
316,73,24,47,51967.58,23,91.53
317,44,6,11,33372.68,39,99.4
318,83,10,9,89815.4,17,73.24
319,67,15,25,18554.73,41,89.12
320,23,15,45,61501.67,18,77.9
321,70,9,42,42540.61,53,86.34
322,12,8,44,99689.85,21,85.19
323,88,2,2,50614.24,58,96.93
324,52,5,49,59618.21,42,98.74
325,62,1,2,49871.91,62,72.99
326,13,14,27,90086.39,51,97.98
327,49,14,1,14440.29,77,90.85
328,75,10,20,53022.38,23,80.0
329,59,24,2,17747.57,57,89.01
330,45,6,19,24381.07,89,96.59
331,90,5,48,25382.34,67,78.8
332,6,22,6,53081.23,81,85.69
333,45,13,7,98776.91,27,87.16
334,90,16,21,81451.17,53,70.57
335,90,28,9,52636.49,89,82.2
336,39,14,30,43457.79,65,78.6
337,48,6,14,86645.37,17,97.3
338,65,20,8,57109.27,27,86.46
339,26,15,13,88121.44,73,94.95
340,3,21,45,13797.54,55,76.78
341,70,2,15,52329.25,74,98.0
342,59,19,21,21177.06,59,84.66
343,65,17,33,6825.98,49,72.32
344,76,28,49,58624.54,66,96.47
345,39,25,42,63090.12,23,91.51
346,90,8,23,70058.3,33,79.51
347,79,1,32,31020.18,86,95.14
348,16,27,34,79870.03,50,97.28
349,53,3,35,59059.0,35,83.67
350,44,26,38,7856.79,69,74.09
351,23,18,3,49887.58,32,87.1
352,27,14,32,94481.54,44,71.97
353,52,23,23,62944.41,86,89.22
354,74,30,40,88058.37,85,90.03
355,7,14,28,29066.83,47,74.08
356,80,16,27,14464.06,31,85.81
357,59,10,2,6052.5,51,92.88
358,66,9,14,11645.73,41,91.2
359,9,22,44,92247.57,42,75.21
360,20,4,33,16515.25,17,87.52
361,84,6,10,47074.86,76,73.87
362,24,3,2,63672.88,59,75.72
363,56,13,37,51977.94,22,72.85
364,81,29,45,27463.83,38,94.64
365,15,29,16,70493.07,33,92.39
366,7,10,26,10917.01,82,97.49
367,28,22,21,98753.11,40,91.67
368,44,26,22,95675.92,20,77.45
369,29,16,23,59471.01,57,70.32
370,1,12,38,50438.01,12,91.35
371,10,23,47,39407.26,25,85.84
372,3,6,10,82986.56,26,77.54
373,13,10,9,63943.93,64,84.21
374,52,7,23,98373.52,7,75.94
375,81,27,45,28472.61,66,79.04
376,46,3,19,16469.63,19,89.26
377,59,1,47,24328.33,8,78.13
378,95,6,19,55268.6,90,83.56
379,79,26,40,47863.01,34,82.32
380,92,24,3,62619.14,82,78.54
381,79,16,9,52028.01,55,92.53
382,62,19,35,35790.72,5,80.48
383,12,7,30,9788.74,18,76.61
384,62,29,38,28435.46,6,78.61
385,60,6,5,21174.19,12,94.7
386,19,15,22,35186.92,83,83.96
387,93,7,19,48227.67,63,82.65
388,39,19,2,72199.37,15,72.2
389,30,8,44,89463.66,54,74.88
390,16,21,32,12970.13,71,76.54
391,77,3,47,32392.02,86,97.87
392,21,5,50,75378.84,26,96.71
393,72,4,22,16779.02,15,84.36
394,76,6,1,60243.92,16,85.53
395,29,12,7,92846.61,61,87.26
396,97,24,3,75323.33,60,82.96
397,49,28,37,41683.8,64,89.46
398,2,24,19,18551.82,40,87.16
399,59,17,48,93279.21,61,88.35
400,38,24,27,70867.62,79,86.72
401,46,14,3,97934.11,81,73.5
402,97,10,35,88993.62,89,78.03
403,49,13,38,31697.16,19,71.69
404,42,4,14,42223.83,72,74.25
405,48,22,15,17192.26,81,87.54
406,33,16,20,49595.09,35,72.18
407,51,4,28,24851.68,74,75.42
408,37,18,18,12512.44,28,91.02
409,7,30,40,43048.51,8,88.71
410,16,30,40,54229.95,66,81.15
411,18,20,16,27506.87,70,72.24
412,39,1,30,56737.89,88,93.45
413,7,25,23,7051.28,33,82.25
414,25,23,47,49131.67,40,98.18
415,15,21,47,31801.9,44,89.1
416,56,25,16,76253.87,46,78.61
417,19,21,10,89101.32,21,72.78
418,31,3,31,98728.68,84,79.85
419,3,1,37,31671.05,25,80.08
420,54,2,41,33535.26,72,83.68
421,13,19,9,93505.16,69,91.9
422,62,10,28,16368.5,71,90.7
423,16,30,8,23286.67,80,81.57
424,50,17,48,54085.37,8,73.99
425,67,20,29,20942.73,67,83.44
426,10,13,5,70519.62,73,90.45
427,46,29,44,68472.79,25,89.57
428,92,11,22,43579.01,51,75.57
429,63,5,31,23483.27,30,93.26
430,42,13,6,62772.39,60,73.8
431,72,6,43,26657.93,90,88.21
432,91,26,18,65426.27,86,93.56
433,41,29,34,30189.73,84,72.21
434,48,21,14,31899.41,6,80.19
435,15,30,35,80125.47,67,72.34
436,40,25,47,36248.13,12,70.75
437,55,27,21,45512.66,42,79.41
438,10,25,48,15699.13,14,86.89
439,75,17,14,96912.41,57,92.34
440,45,19,15,17317.12,53,91.68
441,84,17,11,5336.62,57,83.1
442,4,20,18,96081.98,76,90.34
443,53,30,42,41512.26,85,83.92
444,67,7,13,18704.14,33,88.87
445,87,28,24,49524.54,78,84.2
446,61,21,7,35606.25,18,85.95
447,14,14,20,74846.48,45,91.86
448,88,8,30,15023.17,42,70.41
449,42,4,23,47014.86,43,76.96
450,17,6,26,97689.63,33,97.4
451,83,3,20,78870.31,40,84.87
452,99,2,5,38076.96,79,78.3
453,75,18,24,37396.54,65,76.2
454,63,10,37,48785.18,81,86.92
455,62,4,4,31950.48,28,88.11
456,28,21,29,27581.17,72,77.8
457,87,5,16,51689.29,67,94.59
458,6,16,22,72735.68,66,80.49
459,49,30,24,62953.29,45,80.99
460,85,14,8,76092.92,69,80.45
461,34,12,33,95126.31,15,82.61
462,47,11,4,25636.98,42,72.13
463,29,20,15,92391.4,62,92.04
464,27,6,12,29912.97,24,71.8
465,49,3,44,58872.51,67,81.0
466,36,23,35,75847.52,59,75.21
467,90,25,36,29030.09,72,98.88
468,40,8,27,81099.38,19,74.62
469,79,25,36,24890.19,52,88.32
470,2,25,26,89381.19,83,83.49
471,23,29,30,58650.28,28,82.85
472,12,19,44,65051.52,88,81.67
473,89,24,40,57463.9,12,99.02
474,91,25,15,87945.87,52,91.28
475,23,19,49,88946.29,29,87.39
476,75,19,3,19300.65,9,85.95
477,51,1,8,99388.74,47,78.1
478,44,6,8,76191.53,20,76.01
479,19,25,3,92391.54,77,73.69
480,90,17,37,96325.69,74,95.81
481,72,13,32,99903.94,58,94.82
482,39,4,12,9707.5,11,76.07
483,35,5,34,18706.49,33,72.16
484,55,18,48,11560.89,75,99.92
485,87,14,32,70720.88,66,78.48
486,42,30,6,7172.05,73,73.25
487,88,19,1,20420.26,85,89.5
488,11,2,17,69256.03,56,84.78
489,40,11,19,86089.16,5,78.04
490,58,17,11,92409.52,41,94.92
491,54,26,36,28936.88,17,92.86
492,21,28,15,49619.65,84,98.4
493,81,4,8,35739.58,90,79.62
494,19,1,12,88096.6,73,72.52
495,4,15,29,55008.81,55,97.4
496,98,19,40,20366.01,80,81.75
497,82,4,22,52548.97,47,79.92
498,91,8,18,12151.48,43,83.34
499,49,7,41,34297.85,47,82.23
500,43,20,5,71439.88,31,94.84
501,64,28,19,94359.86,35,79.41
502,32,29,4,72897.42,15,82.41
503,65,16,16,90384.84,5,71.99
504,79,18,45,79981.42,82,86.55
505,70,11,13,65053.68,75,73.24
506,4,16,21,46311.67,66,92.04
507,21,22,38,74709.66,41,75.67
508,46,4,7,61990.2,79,97.5
509,75,26,9,9156.39,53,72.73
510,86,2,26,88398.36,8,94.15
511,82,8,36,65164.42,85,91.71
512,12,16,47,71513.81,61,82.81
513,21,3,10,49938.41,20,79.42
514,40,12,26,10664.57,88,73.07
515,76,20,10,10136.8,73,73.83
516,6,14,39,44671.97,86,94.46
517,32,20,30,29008.13,10,93.03
518,10,7,23,55007.22,6,91.09
519,81,30,19,55422.67,8,84.63
520,16,26,1,55642.25,12,89.41
521,47,3,40,73240.68,51,90.7
522,67,23,29,46992.48,38,82.17
523,50,4,38,35741.09,73,90.56
524,10,11,47,47906.67,35,89.38
525,17,12,3,49175.25,43,84.75
526,31,27,46,42105.52,31,85.2
527,20,1,45,55190.92,16,96.53
528,46,11,8,6740.73,74,96.29
529,86,28,28,85272.61,5,85.63
530,66,17,44,78997.07,83,98.36
531,35,21,13,59023.35,87,98.79
532,7,10,42,73915.65,47,84.77
533,19,21,16,81373.53,28,85.25
534,42,22,48,31434.27,86,79.01
535,69,4,24,16995.38,23,92.86
536,61,21,6,97884.44,33,94.59
537,46,30,24,7721.9,78,73.08
538,28,18,31,68281.26,48,87.18
539,45,23,19,8501.88,32,73.46
540,47,17,18,68753.2,70,92.21
541,99,30,35,36547.0,10,91.29
542,15,24,34,23906.3,53,79.08
543,5,20,47,16563.4,52,84.86
544,2,15,6,43383.13,83,96.26
545,94,23,42,59922.91,59,72.0
546,44,7,47,78457.83,6,81.25
547,5,11,29,94634.79,74,88.0
548,16,9,43,95548.11,16,75.23
549,10,15,12,67669.82,58,75.54
550,69,29,24,58469.29,58,91.37
551,25,16,48,71962.38,66,76.13
552,7,29,21,36546.55,40,70.46
553,69,2,43,52906.92,72,96.75
554,70,30,8,81013.67,6,99.73
555,99,25,29,46146.01,11,95.56
556,17,1,32,70396.53,82,79.48
557,21,19,32,67823.54,8,92.98
558,23,30,43,55327.23,16,91.6
559,38,27,43,24424.56,51,91.62
560,88,8,28,40150.11,86,91.76
561,74,3,4,74792.85,27,75.55
562,34,8,2,76115.56,31,85.91
563,17,16,14,78871.37,59,86.13
564,22,3,34,98335.71,66,93.18
565,71,28,21,8047.49,48,77.48
566,95,30,26,21327.96,75,78.79
567,69,19,17,78831.14,50,87.44
568,29,14,46,45583.63,5,97.73
569,53,1,13,54064.34,87,74.65
570,84,5,3,61609.12,73,96.39
571,12,19,37,6076.52,13,79.54
572,59,22,41,24892.0,56,84.6
573,45,8,11,9072.71,83,84.86
574,88,26,37,40321.17,37,92.85
575,16,25,30,20709.94,61,90.02
576,62,12,7,82926.93,49,84.51
577,11,6,44,79324.36,28,96.76
578,70,11,4,31766.76,5,75.99
579,37,6,24,99882.42,20,88.37
580,48,19,11,32045.19,23,73.01
581,20,14,5,81819.89,8,77.61
582,36,25,48,32040.83,36,99.41
583,64,21,16,60403.34,38,93.11
584,17,10,4,76553.22,63,79.01
585,46,3,20,69110.22,57,89.6
586,9,27,15,71168.19,90,94.63
587,73,16,10,90453.23,47,78.82
588,36,23,24,84089.65,90,76.46
589,74,22,15,12381.51,8,78.03
590,63,3,31,31223.55,25,76.0
591,29,9,6,15525.75,29,91.13
592,63,27,27,60150.83,14,76.96
593,64,27,36,56023.2,80,76.35
594,50,13,32,34785.62,86,87.13
595,44,9,20,78131.28,62,95.32
596,11,11,11,10723.77,37,77.62
597,61,17,21,57818.98,60,94.05
598,31,29,45,47456.35,17,91.22
599,95,26,48,64821.48,7,86.16
600,63,12,5,70835.93,34,98.64
601,54,18,29,94059.86,43,79.76
602,48,22,45,46405.76,12,70.77
603,60,23,9,50392.2,86,99.22
604,8,13,15,8948.63,56,94.34
605,12,2,12,24378.54,85,72.95
606,27,9,3,92689.13,88,94.78
607,73,27,25,17548.93,32,92.9
608,25,7,15,76202.66,46,96.35
609,67,24,17,79469.42,32,74.01
610,39,16,9,26848.85,7,90.16
611,79,28,11,44634.24,59,80.3
612,90,11,47,59180.06,30,82.25
613,77,30,23,10737.44,45,95.5
614,85,29,19,56148.09,27,80.91
615,2,5,24,73415.61,37,92.66
616,77,17,43,33915.19,84,84.13
617,80,25,37,27507.92,72,81.57
618,64,27,16,76588.46,34,85.24
619,74,22,45,11319.0,81,95.05
620,92,13,49,66970.58,76,73.99
621,57,27,28,75014.72,6,88.42
622,68,26,34,16211.47,61,78.78
623,47,15,22,26869.63,81,85.88
624,90,5,14,10933.47,16,99.35
625,78,4,36,97022.97,33,84.32
626,50,23,32,46210.29,6,85.44
627,43,24,41,89205.79,32,82.48
628,23,9,47,48224.85,74,78.75
629,20,13,47,94078.04,50,76.29
630,2,1,48,65899.65,81,88.45
631,15,26,9,80830.35,13,89.14
632,44,24,36,52355.05,41,92.95
633,93,20,28,90195.65,80,80.9
634,26,14,2,57692.94,40,78.64
635,92,1,49,21795.17,90,77.54
636,71,10,38,48939.99,12,96.13
637,11,9,32,95502.89,76,77.76
638,27,24,17,44365.4,47,86.9
639,69,8,45,65229.28,73,73.59
640,73,3,44,11698.08,90,83.51
641,1,29,16,18803.81,13,89.54
642,81,28,13,87218.97,34,81.29
643,18,28,15,17941.24,81,93.07
644,66,29,34,12504.32,56,73.69
645,39,27,30,50741.49,47,86.02
646,85,16,34,24394.1,7,76.44
647,67,28,5,51606.48,7,81.79
648,4,8,3,16672.44,56,91.91
649,14,7,46,32967.77,47,98.18
650,24,15,45,91294.46,19,87.97
651,19,4,10,47324.92,61,97.68
652,7,1,2,82735.83,69,81.13
653,1,10,45,15736.73,52,75.48
654,45,28,18,74330.89,32,73.65
655,35,21,23,32327.05,32,96.69
656,52,14,34,23534.71,79,80.8
657,63,8,22,24039.66,86,85.45
658,26,30,11,49547.26,32,87.65
659,16,30,45,60454.66,63,97.38
660,83,27,6,30802.21,72,74.61
661,64,10,44,83429.4,27,79.04
662,75,10,40,43129.84,62,86.0
663,56,7,14,34977.67,68,97.45
664,5,17,33,9615.92,87,71.69
665,98,3,20,25682.12,8,94.69
666,16,8,23,68210.76,5,75.19
667,46,16,34,71390.83,19,81.38
668,2,26,36,42048.63,28,88.28
669,43,2,29,24128.09,35,94.71
670,93,13,34,39842.8,55,74.98
671,2,19,12,87224.19,5,70.1
672,48,6,28,91126.51,40,78.23
673,22,5,33,16086.61,13,81.88
674,31,11,45,97147.68,52,93.0
675,54,15,23,51343.53,24,93.47
676,4,5,41,18606.11,56,75.42
677,60,26,2,84858.86,44,74.03
678,64,17,2,87189.77,18,85.18
679,23,7,48,90719.98,80,94.47
680,90,10,49,98170.33,15,74.87
681,41,19,2,67673.48,6,95.87
682,12,20,4,59706.55,40,99.8
683,34,8,43,96936.37,22,84.5
684,78,18,25,77773.08,23,95.21
685,52,18,45,38875.41,79,94.32
686,58,17,5,34633.0,33,74.94
687,73,16,26,71864.34,89,93.38
688,30,22,39,78648.54,59,83.82
689,45,15,18,67672.7,27,91.54
690,88,15,27,47389.24,40,92.19
691,92,15,1,6684.17,13,93.06
692,86,13,11,41230.21,76,94.05
693,42,29,21,57057.21,75,87.8
694,97,4,45,30640.14,25,75.85
695,79,26,37,97311.05,89,86.62
696,46,1,20,44932.17,46,81.96
697,37,7,8,5875.19,69,70.82
698,18,16,29,97117.0,62,94.22
699,57,13,28,68956.32,39,94.36
700,28,25,13,37340.07,11,92.26
701,43,18,43,58796.15,52,71.46
702,43,8,44,27168.18,37,84.85
703,17,12,26,73531.73,5,90.26
704,42,12,27,62139.94,67,99.3
705,7,29,18,89524.96,73,89.9
706,1,27,48,95284.38,64,92.73
707,7,1,32,56503.07,87,81.63
708,53,6,17,95537.07,66,75.4
709,57,30,40,24678.36,10,97.69
710,32,9,39,66694.01,43,86.22
711,65,7,42,14789.75,56,75.86
712,79,11,45,22078.9,16,83.25
713,35,11,39,22893.42,13,71.64
714,75,30,13,26185.7,35,86.16
715,63,27,17,9333.33,10,72.33
716,42,16,41,59415.24,8,95.24
717,55,15,43,16095.73,54,97.11
718,91,11,45,9850.71,26,79.43
719,75,2,7,18562.18,68,71.47
720,7,1,12,70907.3,24,81.28
721,71,26,8,24674.12,30,87.75
722,88,22,43,31717.67,82,83.13
723,10,12,48,23138.76,8,80.83
724,24,22,41,18327.86,88,94.89
725,38,18,49,95386.62,70,95.22
726,86,30,4,60712.75,23,86.1
727,94,19,30,27606.23,64,94.64
728,38,14,4,34108.35,32,93.81
729,40,30,17,52695.3,6,83.8
