Archivage_id,Date_id,Document_id,Media_id,Client_id,Produit_id,Nb_documents_archivés,Taux_digitalisation,Temps_moyen_acces_documents,Taux_indexation_correcte,Nb_consultations_archives,Nb_telechargement
59,85,32,4,19,42,422,88.1,2.86,85.25,242,169
60,59,23,2,98,9,271,76.62,14.7,99.01,405,209
61,10,5,10,51,36,455,67.02,10.55,89.49,314,68
62,7,19,4,142,15,414,60.48,4.07,97.62,106,34
63,68,12,2,172,26,105,51.73,3.0,86.99,133,15
64,48,31,10,47,23,943,65.96,15.21,92.55,211,99
65,66,11,11,21,28,613,91.84,6.57,85.4,227,180
66,74,15,6,101,43,180,54.63,14.05,82.21,164,209
67,94,13,6,53,40,983,85.57,18.11,95.65,107,51
68,50,2,10,95,12,66,75.5,1.81,86.84,388,7
69,94,65,7,126,33,168,87.33,19.85,81.1,85,7
70,53,26,11,145,2,583,73.33,4.36,81.33,351,24
71,91,37,3,31,16,880,75.45,5.51,87.75,257,59
72,71,79,3,128,27,914,63.77,12.5,81.08,442,100
73,10,37,9,175,28,167,84.58,4.62,92.87,41,31
74,42,73,8,107,34,573,67.46,11.48,92.78,278,253
75,96,32,10,44,4,795,90.57,3.79,81.85,407,38
76,59,2,10,99,13,144,86.0,4.08,94.5,180,290
77,9,73,3,163,41,559,60.73,14.23,93.96,67,255
78,89,45,7,12,24,536,68.69,4.99,93.1,41,270
79,22,31,2,106,33,380,82.0,17.17,98.6,362,5
80,67,31,7,62,9,28,98.15,1.37,88.18,92,155
81,91,54,5,142,18,110,62.76,14.52,83.22,185,51
82,11,75,10,200,45,996,76.16,8.64,86.83,383,59
83,45,52,3,146,49,319,86.68,8.29,82.88,262,265
84,41,35,3,37,25,557,57.87,5.94,80.28,78,242
85,81,18,5,189,43,660,70.26,10.79,80.83,486,197
86,85,61,7,181,41,167,78.28,7.69,82.14,183,141
87,38,13,3,130,39,184,74.71,3.91,82.57,171,139
88,74,62,3,10,6,30,55.96,14.75,80.94,181,111
89,45,67,3,119,8,57,98.44,9.25,82.37,122,72
90,34,54,9,7,42,148,81.38,17.53,83.95,213,208
91,45,37,3,140,6,431,91.69,18.44,98.17,175,97
92,58,58,10,171,31,996,59.94,8.55,90.26,71,29
93,40,11,9,95,25,43,57.28,9.02,83.92,70,194
94,66,54,3,166,35,775,53.97,6.14,84.55,353,81
95,65,61,3,39,23,378,90.96,8.22,97.6,421,250
96,48,58,10,32,45,53,69.85,19.27,94.63,453,139
97,25,49,11,25,28,111,78.73,7.26,80.7,44,96
98,14,75,7,136,5,963,70.39,3.13,84.77,340,244
99,91,4,6,84,36,348,97.43,18.19,84.46,147,46
100,68,19,4,50,12,566,97.79,13.35,94.56,369,300
101,59,11,3,73,33,660,85.47,9.65,82.82,298,92
102,8,46,4,32,3,863,83.19,18.53,92.16,300,76
103,54,46,5,6,29,420,84.67,11.33,90.03,494,46
104,84,78,7,153,8,922,67.51,7.07,86.83,17,263
105,83,66,6,110,48,257,65.41,7.09,88.21,322,78
106,82,15,10,136,33,481,57.93,14.57,83.54,46,214
107,82,69,11,41,1,476,94.22,3.43,83.94,32,169
108,36,35,2,36,17,114,76.16,10.96,89.16,298,296
109,97,75,3,30,27,380,57.97,1.56,85.28,305,220
110,77,68,3,97,8,446,71.56,2.1,90.58,38,191
111,31,40,7,74,38,475,84.85,15.68,99.81,209,98
112,65,36,7,11,37,797,71.0,11.79,99.45,152,37
113,40,2,10,99,44,771,91.51,11.98,86.15,349,125
114,7,76,11,5,12,266,60.76,8.28,80.51,339,279
115,76,32,5,186,11,491,76.65,17.34,88.96,346,145
116,19,16,11,69,7,595,97.74,18.11,92.39,386,209
117,82,10,5,25,20,328,71.58,14.0,95.04,261,127
118,73,36,5,63,46,434,99.99,15.82,80.09,135,194
119,73,77,8,50,41,696,52.44,15.72,80.23,172,170
120,5,50,5,75,10,495,73.33,6.38,88.78,430,87
121,17,18,9,15,50,925,51.42,10.64,82.44,319,130
122,9,35,11,159,47,52,57.88,16.99,87.42,227,31
123,53,31,9,66,14,210,99.64,1.58,89.33,446,88
124,1,49,9,195,7,662,88.57,15.63,83.8,199,136
125,39,41,10,8,2,184,99.03,3.71,95.86,184,173
126,82,60,7,155,21,548,96.74,14.01,92.35,164,58
127,99,70,9,117,50,57,64.86,14.99,95.85,118,222
128,90,49,5,91,25,761,89.04,0.62,94.36,302,252
129,72,69,11,9,49,722,58.62,3.25,92.69,307,124
130,16,63,2,42,20,351,64.09,12.97,95.23,114,15
131,63,57,11,67,24,753,99.21,9.85,87.53,451,300
132,36,14,11,85,39,606,60.3,3.61,83.04,330,145
133,14,8,8,190,36,213,53.2,1.51,89.74,459,150
134,69,68,2,171,18,206,53.85,3.44,97.42,471,37
135,35,15,2,33,42,186,62.72,9.74,83.1,168,134
136,49,64,11,48,50,543,92.51,11.28,83.64,85,180
137,95,33,11,72,37,118,61.86,12.11,96.63,276,48
138,28,59,11,171,4,76,92.13,5.11,97.25,352,73
139,17,70,2,183,26,841,87.79,15.89,92.1,50,0
140,29,76,2,182,41,233,84.2,7.27,98.77,69,280
141,47,55,6,64,36,197,89.77,3.04,93.37,347,199
142,61,3,10,36,13,186,88.5,8.1,80.48,345,263
143,56,50,2,194,13,62,60.11,19.86,91.43,151,68
144,51,45,5,131,41,856,96.06,12.92,86.67,279,28
145,70,57,10,1,9,589,82.13,18.74,80.65,36,3
146,28,45,7,157,36,572,86.57,9.73,90.43,464,187
147,14,17,10,154,12,225,72.66,17.01,91.03,26,147
148,2,68,3,80,10,971,50.52,10.19,82.07,326,30
149,87,72,3,71,47,864,89.66,10.02,86.35,409,278
150,42,63,11,168,22,65,76.28,12.31,83.42,271,148
151,64,45,6,63,22,250,84.59,2.25,92.43,179,181
152,68,49,10,16,33,507,58.27,18.32,80.72,130,103
153,40,72,4,187,1,249,76.4,5.34,98.68,176,66
154,17,37,4,193,18,252,66.35,16.78,86.53,317,118
155,1,18,6,182,3,445,70.33,7.64,80.96,398,12
156,30,21,10,168,8,52,56.1,16.51,81.65,395,231
157,78,45,11,118,37,476,95.76,7.12,86.84,2,208
158,54,58,10,181,1,29,94.3,12.25,98.85,418,37
159,85,50,7,125,5,439,62.72,1.78,97.12,123,31
160,74,12,9,93,33,620,82.89,10.51,95.62,427,12
161,95,55,10,104,39,21,50.14,6.71,90.97,171,23
162,29,40,2,128,22,687,83.82,15.86,95.28,58,118
163,74,37,11,42,33,971,82.5,9.28,85.93,252,246
164,67,71,10,18,37,605,52.96,8.57,87.18,168,29
165,99,40,9,183,29,865,51.22,5.89,89.03,497,121
166,3,69,10,140,29,120,84.6,7.69,82.55,254,204
167,20,31,8,105,15,661,78.3,14.7,84.81,445,3
168,90,62,11,66,26,545,69.13,17.63,83.4,348,282
169,82,72,8,176,23,29,72.39,5.08,87.72,71,0
170,2,38,7,43,49,665,74.53,8.36,88.81,304,138
171,97,69,6,116,19,959,59.72,16.59,82.53,50,20
172,68,52,9,89,9,729,99.84,4.82,84.55,363,193
173,56,33,2,91,4,945,89.22,17.42,83.2,91,161
174,58,8,4,134,3,598,97.36,15.23,89.72,498,82
175,26,44,5,179,14,344,50.93,2.58,99.85,8,4
176,47,67,10,35,29,166,77.85,10.6,95.96,16,67
177,45,15,10,87,19,332,75.91,4.26,87.54,377,211
178,78,50,4,97,30,112,82.74,17.88,93.6,355,150
179,72,6,5,122,29,46,58.9,13.5,85.79,239,196
180,53,25,7,128,22,149,65.2,0.69,91.95,221,297
181,75,48,11,64,22,29,98.93,14.63,80.89,385,196
182,5,67,4,119,43,381,59.38,5.09,96.91,217,187
183,58,24,5,71,42,440,85.24,16.31,93.22,395,75
184,18,53,9,123,50,322,56.76,10.06,89.78,104,179
185,6,40,4,119,42,256,80.3,18.23,96.83,394,269
186,10,39,5,40,38,315,75.84,11.39,87.15,364,104
187,75,56,6,6,16,781,79.6,11.29,81.33,493,12
188,46,6,11,90,47,521,97.95,5.8,93.23,417,93
189,80,59,5,185,33,689,92.02,10.84,83.73,476,182
190,81,79,3,165,29,89,82.17,12.9,88.74,24,110
191,91,38,3,100,31,718,86.64,18.37,90.51,273,184
192,33,74,2,184,15,828,79.62,5.82,83.11,42,50
193,51,29,10,140,50,456,63.82,0.74,95.84,493,207
194,99,53,5,86,43,530,99.87,18.19,91.66,266,236
195,45,1,8,47,19,48,56.97,16.51,84.17,473,131
196,41,75,9,115,21,757,57.38,17.6,84.32,265,189
197,42,75,8,164,2,522,66.44,2.83,96.32,283,183
198,1,22,8,176,19,154,81.81,18.47,82.4,190,132
199,26,75,10,75,36,713,67.93,1.62,88.33,406,28
200,14,80,4,4,33,261,63.15,15.38,86.18,139,118
201,54,3,8,127,34,44,77.44,11.61,92.35,464,108
202,55,61,10,188,48,386,95.35,15.11,87.2,470,8
203,3,53,9,117,47,241,63.35,7.07,85.03,44,205
204,68,74,6,25,20,496,59.74,3.22,84.18,136,28
205,32,9,9,98,14,884,78.74,13.33,96.24,60,122
206,37,56,5,48,14,866,80.84,3.4,88.4,307,39
207,5,73,4,127,8,183,69.87,16.49,96.43,356,27
208,91,59,3,66,11,260,79.53,3.69,95.31,181,80
209,74,51,2,75,11,250,75.44,3.81,92.66,473,62
210,95,14,2,9,32,694,74.16,3.66,86.32,254,220
211,85,46,5,15,12,338,80.31,3.91,98.56,500,73
212,47,13,10,22,12,790,87.13,11.53,92.19,115,104
213,54,59,10,176,24,428,95.7,6.05,92.71,84,211
214,84,49,3,25,32,575,89.8,18.14,98.96,379,279
215,77,65,4,59,18,756,71.27,17.59,90.19,21,21
216,31,59,2,48,21,117,88.17,14.57,88.51,49,88
217,97,70,10,152,38,374,91.95,2.65,80.67,411,134
218,1,5,8,45,34,529,85.3,18.18,83.41,195,118
219,93,7,2,56,8,44,93.88,4.4,90.39,330,12
220,34,41,4,80,50,164,58.32,8.56,82.31,399,152
221,16,64,2,51,47,185,74.92,5.05,84.21,164,80
222,56,31,11,161,42,150,85.54,5.7,94.79,232,282
223,58,59,3,185,9,234,95.34,11.72,84.08,322,261
224,83,25,6,48,17,866,88.21,4.36,84.44,174,23
225,68,76,4,40,16,502,79.61,3.87,86.61,210,228
226,80,20,8,28,31,418,92.11,8.75,89.41,399,144
227,10,39,2,35,30,789,96.56,2.15,88.99,120,12
228,37,25,4,4,18,189,75.61,5.61,80.89,371,288
229,48,71,3,95,16,999,85.57,6.29,95.14,98,67
230,65,3,10,137,6,511,88.02,2.01,99.08,391,289
231,67,45,9,109,15,697,60.16,19.61,83.38,320,64
232,89,5,2,69,14,940,53.24,16.83,87.17,341,21
233,19,45,5,53,31,339,83.14,16.4,98.23,380,23
234,30,46,8,114,1,197,95.34,12.29,94.16,21,215
235,13,47,6,147,38,28,67.72,19.89,91.81,405,93
236,2,29,9,87,17,142,99.88,0.8,80.71,51,264
237,5,67,6,144,44,362,99.57,14.2,96.88,67,13
238,52,70,4,21,49,647,62.32,10.88,88.61,24,68
239,34,34,2,174,22,608,69.27,7.36,82.69,246,211
240,87,15,9,178,42,664,82.09,3.55,98.47,144,298
241,47,14,2,95,27,122,93.45,12.79,90.14,118,116
242,29,58,4,149,30,656,51.83,5.71,99.42,243,216
243,67,25,5,70,31,903,90.94,13.45,97.14,57,54
244,69,28,11,147,9,635,77.21,13.92,94.55,498,96
245,32,31,4,12,43,319,69.61,9.8,91.59,394,222
246,71,13,5,185,41,449,52.48,5.69,86.47,488,52
247,61,13,3,85,41,578,82.93,13.64,95.54,25,132
248,76,33,7,45,42,446,65.93,3.04,99.69,293,46
249,35,20,10,139,9,513,75.68,18.53,91.34,248,192
250,60,17,7,179,37,337,75.62,14.31,96.71,468,75
251,70,38,4,25,23,837,94.39,15.54,84.12,416,264
252,47,34,5,128,1,978,92.41,1.75,82.89,71,210
253,32,60,4,111,32,888,57.2,6.71,85.76,452,1
254,4,20,9,165,20,367,78.67,11.49,88.39,217,126
255,1,35,3,99,21,122,88.9,18.55,89.59,239,174
256,14,51,11,118,16,462,81.51,17.58,94.83,493,158
257,77,30,3,110,43,289,77.35,6.83,95.57,237,124
258,66,40,11,27,39,175,50.97,12.13,82.55,224,106
259,71,3,7,38,4,447,58.8,4.06,83.67,261,248
260,48,15,2,120,31,622,52.64,2.35,97.43,476,3
261,45,50,2,196,4,168,86.92,12.18,86.94,180,93
262,35,39,3,65,44,845,97.53,5.11,91.22,436,253
263,76,61,3,86,28,734,84.26,19.56,91.98,378,37
264,47,18,8,187,25,214,87.48,10.96,87.6,356,179
265,53,60,5,37,32,744,69.64,16.51,97.09,355,192
266,68,66,7,108,6,73,79.2,13.01,92.02,288,255
267,68,27,9,6,42,922,95.65,5.51,98.98,246,274
268,61,14,10,107,6,45,65.44,10.93,98.02,78,104
269,20,64,11,108,23,247,57.12,17.18,82.73,331,125
270,100,47,5,137,3,185,78.31,8.88,93.2,206,34
271,84,16,11,3,42,263,70.96,18.44,88.73,87,244
272,74,67,4,73,1,278,98.2,9.36,86.12,395,180
273,81,67,3,63,28,687,88.98,2.81,88.28,480,273
274,99,13,7,75,46,804,77.82,8.98,87.43,346,106
275,91,9,6,93,17,650,56.13,5.74,83.44,56,218
276,15,36,6,54,47,421,69.23,3.46,92.14,171,208
277,77,42,5,191,4,39,74.02,12.65,94.32,359,130
278,32,60,2,163,24,556,53.84,18.11,96.35,482,222
279,87,63,10,157,17,80,80.53,3.68,90.21,482,300
280,16,20,11,13,14,266,86.06,10.67,86.89,249,34
281,55,64,3,88,44,851,89.24,15.38,99.7,220,282
282,19,80,3,45,9,868,52.02,8.16,88.06,347,75
283,14,34,7,68,41,38,94.45,9.08,84.0,398,230
284,10,49,2,116,24,227,62.72,9.6,91.43,400,292
285,55,25,6,112,24,603,95.57,12.62,95.67,432,267
286,65,70,9,189,35,554,94.8,1.38,87.05,173,291
287,19,2,11,108,6,698,99.48,14.09,82.86,59,199
288,65,20,10,194,6,798,60.96,10.69,90.82,28,145
289,55,37,4,178,50,865,70.16,19.78,93.28,126,284
290,29,48,11,98,32,427,82.07,7.23,82.99,209,248
291,71,2,7,200,17,683,93.29,4.14,90.45,385,235
292,89,36,6,10,31,242,88.69,17.53,97.51,93,198
293,59,56,7,104,19,650,62.4,5.8,86.35,465,19
294,89,70,6,52,36,441,62.66,0.74,92.59,22,103
295,45,67,7,122,7,305,77.38,10.4,90.23,108,107
296,56,1,5,116,36,620,94.74,6.42,99.81,318,228
297,49,7,10,77,38,617,68.93,19.32,85.03,62,148
298,88,37,6,73,45,487,77.58,9.87,86.49,59,90
299,62,70,11,180,15,302,61.61,4.47,96.63,500,47
300,16,68,10,22,48,33,75.44,11.7,99.69,124,232
301,86,47,7,28,2,573,56.87,15.29,97.16,272,236
302,29,25,4,127,15,241,98.89,7.32,88.44,302,257
303,50,17,10,128,39,828,62.14,1.32,89.17,355,154
304,33,62,6,32,3,890,73.92,12.0,93.43,164,238
305,21,74,5,66,7,572,79.43,0.9,84.86,403,269
306,95,24,2,179,37,374,74.24,4.57,86.64,311,276
307,74,71,4,157,5,306,90.75,6.45,97.81,220,191
308,68,30,5,126,11,849,93.06,3.27,85.21,351,112
309,92,75,10,22,28,535,87.67,12.15,92.2,216,299
310,94,8,8,8,8,673,81.11,9.29,95.72,174,294
311,76,63,10,86,2,185,79.35,10.39,85.93,125,195
312,7,19,11,41,5,610,62.69,13.88,80.02,233,240
313,3,59,9,111,46,43,83.54,12.32,85.77,436,50
314,3,56,4,30,25,493,59.22,10.3,95.52,431,161
315,46,4,3,7,32,379,55.96,16.19,99.7,260,52
316,25,20,3,8,46,160,91.8,4.51,82.17,271,189
317,23,48,10,29,22,819,57.09,8.62,88.4,457,148
318,91,19,2,116,6,424,64.68,12.48,90.46,23,227
319,15,70,7,82,6,318,56.02,17.16,99.31,207,128
320,44,31,11,120,42,945,64.09,14.63,80.3,483,235
321,10,37,2,164,19,669,60.48,1.5,97.99,114,44
322,39,13,6,77,4,383,91.66,18.97,87.53,466,164
323,89,78,6,112,18,645,67.22,2.4,98.44,27,76
324,14,6,2,33,32,43,94.04,2.66,96.92,311,270
325,28,1,10,5,14,349,93.71,2.7,91.76,188,212
326,70,57,7,43,8,91,61.87,19.43,82.0,452,36
327,25,44,5,185,9,345,86.3,1.39,81.96,65,102
328,100,35,7,168,47,665,96.43,13.64,86.73,205,6
329,61,41,4,133,3,879,82.04,8.94,94.44,305,206
330,8,69,9,153,10,290,68.03,12.65,93.81,383,178
331,27,64,2,138,48,165,84.32,4.34,93.53,43,229
332,34,80,9,178,8,271,73.88,13.32,87.22,354,72
333,77,35,11,67,45,17,52.4,1.67,85.9,277,174
334,36,15,11,96,47,700,99.65,8.23,92.64,159,132
335,11,48,8,62,23,801,70.74,7.99,91.88,167,161
336,1,50,8,145,28,119,71.89,17.95,95.57,106,256
337,53,78,4,191,27,517,82.73,12.81,88.08,341,255
338,63,15,3,1,45,581,58.55,17.91,99.47,455,169
339,75,63,3,49,48,291,95.56,8.49,84.97,239,80
340,23,22,9,75,23,282,85.92,8.83,91.08,90,77
341,75,13,9,63,12,422,82.86,8.94,88.07,84,185
342,97,53,7,174,26,250,59.19,16.71,91.91,272,28
343,87,33,6,97,20,836,95.66,15.41,92.19,458,100
344,41,49,7,145,10,542,93.04,0.54,85.9,315,197
345,58,66,6,62,23,858,84.71,6.96,83.53,445,205
346,53,20,4,11,19,539,98.85,12.12,82.8,184,275
347,30,23,2,198,29,192,95.06,1.55,95.66,247,124
348,16,18,10,79,45,730,66.77,5.01,93.65,323,246
349,26,20,11,8,22,923,57.44,9.23,87.61,149,211
350,53,5,2,142,37,440,61.39,6.84,82.63,106,80
351,29,34,2,1,2,394,84.32,1.63,99.25,358,55
352,98,4,3,22,46,154,94.56,2.1,84.02,90,180
353,45,61,2,153,11,955,56.75,13.84,99.67,453,66
354,73,55,7,156,31,68,61.68,18.28,82.89,80,25
355,73,21,6,139,22,376,51.13,17.21,84.07,419,103
356,40,6,9,177,17,868,71.44,9.76,80.51,344,227
357,20,21,7,33,19,36,61.72,0.75,82.51,14,54
358,69,44,5,131,44,509,67.59,17.29,93.6,439,67
359,32,71,7,102,19,334,83.08,15.49,93.24,352,135
360,87,18,8,103,35,139,59.62,8.99,92.36,435,140
361,44,1,6,109,42,767,90.08,16.95,83.57,360,300
362,84,77,4,59,36,289,59.41,4.61,84.98,121,12
363,66,4,4,165,45,188,93.64,6.09,94.66,307,3
364,68,13,3,95,29,91,73.89,19.62,99.37,342,81
365,15,79,10,61,6,466,85.21,1.15,81.75,201,44
366,86,65,3,157,20,838,97.89,10.21,85.87,51,63
367,59,46,11,63,21,354,64.21,3.46,96.27,253,175
368,81,79,4,116,38,469,99.8,7.41,93.17,369,204
369,67,80,5,65,9,707,81.09,13.81,91.04,353,3
370,13,23,3,3,26,519,99.99,9.88,84.11,36,173
371,56,55,3,156,47,806,99.11,9.81,87.11,480,22
372,42,16,5,183,48,70,50.09,19.22,94.31,22,233
373,55,3,7,113,4,740,68.2,10.04,99.02,492,34
374,35,10,3,39,7,598,92.73,11.75,99.94,348,258
375,44,51,5,80,22,696,98.38,9.51,99.31,396,264
376,97,24,4,98,26,64,96.68,2.2,83.17,480,259
377,72,68,8,137,18,129,87.33,12.05,97.2,161,168
378,32,4,6,91,18,738,58.3,7.68,95.97,291,50
379,58,56,8,173,4,308,76.74,8.68,80.8,9,254
380,80,72,2,76,46,518,58.78,15.76,96.4,445,99
381,15,45,2,7,36,36,92.36,2.8,87.54,192,21
382,26,19,6,172,49,670,96.27,4.93,97.27,186,60
383,67,32,8,3,10,349,68.29,19.9,89.94,176,155
384,38,21,11,55,19,649,53.79,2.57,82.77,473,144
385,70,60,11,152,4,175,58.0,15.36,92.06,500,292
386,67,34,3,82,28,881,76.62,13.23,80.32,448,263
387,99,63,7,25,16,353,78.38,17.47,96.69,1,28
388,84,23,7,4,49,972,87.52,10.76,94.47,339,188
389,15,51,6,126,11,453,80.01,5.69,94.81,248,153
390,58,18,11,18,17,238,51.74,6.07,82.35,97,17
391,35,43,9,114,1,196,73.73,8.18,93.54,286,121
392,88,24,11,95,19,5,61.67,8.12,82.81,19,253
393,93,40,8,186,18,771,87.15,5.26,92.9,459,177
394,92,55,8,121,25,156,85.84,8.93,86.85,333,227
395,65,63,9,60,47,296,83.59,14.03,98.46,194,257
396,77,69,3,66,22,473,80.04,1.59,86.4,122,147
397,15,2,8,96,45,11,63.95,8.59,99.22,18,18
398,71,42,6,177,28,397,93.6,14.46,90.65,252,69
399,42,39,10,88,39,502,61.95,14.9,85.69,8,284
400,37,75,6,123,21,19,51.67,1.93,86.39,179,297
401,40,3,7,78,36,286,85.77,8.51,83.79,221,184
402,14,28,3,180,25,399,83.88,8.84,82.47,464,10
403,89,68,9,8,30,638,89.68,11.8,84.51,418,229
404,53,63,7,112,43,813,70.8,11.04,91.28,222,30
405,34,40,2,31,48,11,91.96,8.55,92.47,461,102
406,24,23,2,116,37,553,73.24,4.38,98.07,164,295
407,92,46,11,113,4,47,88.26,2.26,82.67,380,79
408,5,23,8,126,31,611,80.35,0.76,94.77,41,218
409,57,71,2,88,11,30,67.19,0.5,83.38,333,180
410,34,36,5,11,23,313,84.85,15.25,97.98,326,283
411,64,30,10,70,40,83,95.31,6.78,96.19,38,256
412,67,6,4,93,13,806,56.7,10.77,88.59,393,122
413,85,43,3,43,7,792,96.81,19.95,90.54,5,203
414,44,9,8,174,47,606,83.37,10.96,94.3,358,59
415,21,71,11,88,28,225,75.38,7.25,99.09,152,56
416,75,47,8,198,14,887,56.44,10.76,92.79,492,51
417,24,28,11,195,29,943,73.67,11.93,93.35,77,113
418,27,45,4,13,30,968,67.21,3.27,95.02,228,74
419,34,29,7,64,45,193,50.05,9.99,84.1,184,41
420,31,41,6,66,6,93,83.67,7.65,84.32,345,117
421,77,33,9,188,3,986,56.9,18.0,98.11,445,43
422,59,22,8,62,42,633,93.42,19.15,99.95,325,206
423,65,8,11,195,16,503,62.89,10.71,89.42,377,30
424,17,75,8,195,10,666,79.6,9.47,94.09,201,22
425,68,75,2,95,24,868,65.15,13.89,84.46,337,153
426,69,79,7,175,48,825,88.19,15.52,94.85,105,249
427,47,56,9,147,8,324,74.32,12.65,94.54,232,26
428,37,58,2,181,40,180,50.97,0.76,88.11,279,209
429,68,6,6,197,23,120,98.16,10.28,96.85,468,151
430,60,31,9,105,21,168,68.92,17.57,93.62,428,181
431,44,79,11,156,25,478,95.92,3.04,80.23,83,197
432,39,14,4,142,30,388,60.57,16.75,83.62,236,78
433,54,13,2,142,40,913,84.24,14.43,87.07,286,286
434,16,69,7,171,10,272,64.07,17.82,97.53,311,51
435,87,23,8,71,3,522,55.74,13.56,91.89,487,228
436,29,53,3,141,40,816,92.58,3.98,88.24,326,136
437,28,64,6,39,21,16,65.32,9.39,86.0,151,150
438,13,21,10,72,30,822,78.14,10.21,83.82,324,286
439,53,53,11,119,30,612,78.12,4.07,84.4,101,270
440,18,45,5,10,38,248,73.66,4.84,97.72,468,195
441,7,17,5,135,25,951,67.67,16.89,87.47,20,24
442,41,15,2,34,23,669,59.42,2.04,87.83,420,94
443,62,40,9,65,29,531,79.12,15.11,94.24,58,267
444,18,50,9,184,11,191,87.98,10.56,90.91,305,15
445,35,62,9,5,17,425,81.81,18.04,89.23,149,136
446,50,44,10,105,28,22,73.09,2.9,92.18,108,192
447,21,11,10,41,22,771,52.99,0.85,97.49,216,37
448,81,39,7,43,49,153,71.57,4.61,92.8,269,154
449,97,55,5,15,27,197,58.22,9.12,82.9,222,292
450,87,56,7,60,28,266,72.18,12.39,83.35,79,48
451,4,11,9,192,37,2,92.97,1.88,81.56,173,154
452,78,33,9,128,45,425,62.81,3.35,89.16,77,184
453,26,28,11,75,8,906,69.13,18.52,99.91,350,89
454,89,28,2,22,31,570,59.82,13.54,85.45,164,270
455,10,58,2,79,4,526,64.07,18.1,94.19,99,134
456,60,18,8,148,11,369,87.1,18.4,88.36,341,117
457,55,65,10,165,5,266,90.02,1.17,80.35,27,201
458,58,50,8,31,25,967,52.46,12.01,80.92,172,79
459,93,3,11,137,1,806,84.39,10.83,80.59,232,230
460,94,71,3,116,29,825,57.78,13.1,98.27,272,38
