Audience_id,Date_id,Canal_id,Plateforme_id,campagne_id,Nb_visiteurs_uniques,Nb_pages_vues,Taux_rebond,Nb_abonnes_reseaux_sociaux,Taux_interaction_RS,Nb_abandons_lecture,Duree_session
84,25,5,2,9,1239,17134,67.51,3992,8.8,334,8.47
85,26,2,1,8,1564,7808,68.52,3349,0.3,176,6.04
86,14,1,4,4,3160,5478,42.47,583,4.29,297,9.71
87,78,1,5,6,1449,7354,50.83,1668,6.5,137,6.69
88,17,1,4,3,9967,6103,72.38,4970,2.66,372,7.51
89,58,2,5,10,6902,14963,70.81,2533,4.23,244,5.52
90,8,5,1,4,5107,1484,51.27,806,4.71,142,3.67
91,88,5,3,9,5812,565,52.62,3083,4.23,327,2.97
92,35,3,3,9,8042,18852,71.78,2105,0.82,242,9.66
93,64,3,4,7,9744,8843,42.84,1397,9.89,276,7.77
94,7,1,5,2,3531,9243,82.37,1711,0.72,82,8.14
95,25,3,3,10,6882,16902,85.82,3237,3.21,191,5.6
96,28,2,1,7,1475,19707,51.52,1654,4.7,169,3.98
97,69,3,1,10,3664,11190,74.18,2097,2.82,103,5.67
98,6,2,3,4,9616,441,85.43,1582,5.82,291,1.61
99,47,1,2,5,951,7875,57.07,454,0.29,417,2.41
100,37,4,4,2,1070,14535,17.37,1758,5.54,419,2.69
101,89,2,5,1,8184,9529,14.96,408,9.32,495,4.31
102,95,5,2,5,4740,2964,37.43,2769,8.48,148,3.96
103,16,4,4,1,2099,6323,16.44,268,1.38,301,1.04
104,87,5,4,7,2389,5297,19.48,4452,1.09,129,5.41
105,100,3,1,9,4527,1324,67.41,891,9.73,28,7.14
106,74,3,2,9,1426,5205,61.77,2301,9.37,176,6.54
107,82,2,3,1,9813,7246,75.69,2520,8.43,307,6.8
108,64,4,2,8,6181,1162,78.03,2874,5.05,21,4.84
109,59,5,1,4,7406,5115,42.03,1876,8.92,1,9.52
110,84,3,2,6,7747,7816,53.79,3617,5.36,214,7.9
111,70,1,1,5,6786,12531,64.01,4769,9.97,320,6.46
112,45,1,4,7,9920,8270,64.34,952,7.56,203,7.67
113,41,5,1,5,7359,14337,82.78,1017,1.9,400,8.48
114,80,3,4,9,8902,1762,48.83,1310,4.22,305,9.45
115,58,4,2,2,5130,15624,35.9,4014,7.22,140,4.43
116,60,3,1,9,7316,7411,75.02,2884,3.84,142,4.65
117,27,4,4,2,6622,9182,44.57,1534,4.02,206,5.65
118,91,2,5,2,7268,658,83.9,1864,8.16,80,9.05
119,99,3,2,1,3644,1828,51.75,2131,2.98,491,3.91
120,99,5,4,3,630,10615,70.85,3341,0.81,284,2.99
121,48,4,5,3,1552,2138,47.5,3,8.26,443,4.1
122,30,2,5,2,9720,11087,26.1,4454,3.25,336,1.07
123,27,2,2,3,6734,14651,79.07,4989,4.23,288,1.44
124,84,5,4,10,1663,295,56.97,1173,6.78,321,6.44
125,36,5,5,2,4740,4845,20.57,4816,7.03,106,7.21
126,1,2,5,10,6101,9819,66.39,3521,4.85,36,9.28
127,37,3,2,4,7582,4624,86.75,1716,1.49,453,6.62
128,30,5,5,8,4992,147,18.3,801,2.82,318,2.85
129,50,3,3,3,1826,10077,26.74,988,0.93,471,5.01
130,20,2,1,8,7072,2167,42.91,248,4.59,38,9.49
131,92,2,5,4,7742,14826,54.74,4766,3.35,459,1.23
132,81,5,4,7,3293,10374,81.09,2874,8.9,480,9.49
133,86,5,4,7,4740,7185,26.42,2542,8.9,59,4.64
134,100,3,3,8,6476,9024,60.24,3217,5.86,464,1.27
135,4,3,3,6,6956,9120,69.57,739,3.84,120,9.64
136,31,5,3,7,6049,678,43.48,2707,4.35,373,3.46
137,72,1,3,4,4320,895,62.0,2092,1.38,363,9.8
138,26,2,1,1,2630,10657,40.39,1856,8.08,277,5.75
139,23,4,1,1,2114,16724,32.76,3659,8.4,293,0.54
140,48,5,4,8,4213,6504,78.07,1072,9.79,362,6.74
141,93,5,5,3,1754,1026,86.28,2198,9.74,36,8.12
142,52,2,4,10,9919,11030,10.9,1518,7.83,382,4.06
143,3,4,3,1,6409,306,89.08,3694,5.97,186,7.32
144,81,2,1,9,2284,19486,21.23,4487,2.07,246,3.13
145,79,2,4,10,1611,16820,75.91,2722,2.74,108,6.05
146,79,1,2,1,821,16376,87.95,3064,7.32,415,1.72
147,95,2,1,5,641,3715,65.2,3885,8.86,449,1.25
148,76,2,5,3,2110,9593,46.77,3776,3.79,46,9.4
149,66,4,1,6,196,16932,68.83,4415,6.37,86,7.42
150,31,2,5,8,696,7211,69.3,338,5.78,115,8.04
151,22,4,5,7,909,14564,63.71,1159,8.67,485,3.46
152,53,3,4,8,4263,1809,14.52,3652,5.3,67,2.75
153,29,3,2,8,1938,18959,37.16,1387,0.7,115,7.23
154,95,3,2,2,9854,14317,60.28,1913,1.29,470,8.37
155,36,1,2,3,2056,14925,87.42,2634,2.4,56,1.27
156,33,1,4,1,1844,11353,87.26,3691,0.03,425,8.3
157,9,3,5,8,9398,10313,86.89,3478,9.69,310,6.38
158,26,2,2,4,3508,7037,32.59,4377,6.25,39,6.49
159,25,4,1,3,5223,14791,15.39,3450,4.93,390,8.64
160,60,4,3,5,9216,14022,27.47,418,5.95,76,5.26
161,31,4,4,8,4661,16572,38.38,2233,9.24,134,4.6
162,64,5,4,5,7255,13113,14.97,4994,5.65,99,9.84
163,20,4,2,5,2793,14000,75.67,852,3.32,75,1.12
164,26,2,4,6,926,3826,41.65,2329,7.03,143,4.78
165,86,2,1,10,3624,14011,75.46,1791,3.89,6,5.45
166,54,1,3,7,5008,19651,66.11,3788,3.72,235,4.06
167,81,3,4,4,3512,12570,59.2,3585,5.9,358,5.12
168,8,5,4,4,9808,15138,25.61,453,2.61,438,7.42
169,1,4,2,6,3553,9632,56.88,3222,7.52,26,0.56
170,72,4,3,1,6783,19738,45.94,1620,8.13,241,9.23
171,57,4,3,8,558,14946,24.92,160,1.83,426,5.58
172,88,5,1,5,6213,8424,24.98,2161,7.45,111,2.95
173,62,1,3,1,9660,11073,87.66,4736,8.21,279,4.86
174,56,1,3,6,3443,12035,43.78,1286,2.15,43,2.18
175,76,2,2,8,1078,16604,88.66,240,4.0,63,1.18
176,71,5,1,6,6405,1289,30.56,4597,1.86,18,3.2
177,15,5,2,4,1642,2237,73.87,1772,3.19,196,9.01
178,71,2,5,8,4215,3977,14.25,1018,7.94,417,7.05
179,27,5,5,5,1858,4278,71.82,4470,4.47,418,7.15
180,59,4,4,8,9394,13886,15.68,4156,3.3,110,5.53
181,47,2,5,7,6872,18945,19.01,2821,1.75,454,6.39
182,46,4,1,1,1870,18125,51.09,2642,6.59,62,5.51
183,25,5,3,2,8559,12801,47.41,1947,6.11,201,6.24
184,13,3,3,9,5973,1342,62.22,1086,6.18,199,0.7
185,52,2,1,5,2519,16139,45.18,1360,8.58,189,5.61
186,67,3,5,6,1040,17347,49.61,4012,0.36,298,4.54
187,81,4,2,5,2928,4620,68.69,2966,6.78,183,5.37
188,100,3,2,3,183,14004,78.46,4336,8.66,410,4.41
189,54,1,5,2,4047,14960,62.55,346,9.07,369,8.71
190,48,4,1,10,3435,9648,20.79,3572,6.81,215,9.2
191,75,5,5,9,886,4476,38.53,1982,5.92,244,9.94
192,50,3,4,4,9978,15480,56.0,2794,8.25,495,1.1
193,22,3,5,5,325,7986,10.57,4734,1.57,407,6.76
194,39,1,1,8,101,11652,66.68,344,0.76,293,9.77
195,74,4,1,6,7769,15317,54.25,2674,2.19,434,3.41
196,75,5,3,9,2031,6876,24.88,2204,2.13,32,2.28
197,72,4,4,8,9536,11199,65.84,1536,2.72,246,0.51
198,27,1,2,10,2411,12878,73.35,2355,2.23,235,9.96
199,52,2,1,2,9759,18680,48.31,1394,0.13,257,6.25
200,74,4,4,2,715,14455,18.4,2070,4.56,467,7.92
201,38,2,3,8,7007,12728,29.18,321,6.72,64,9.19
202,88,5,3,5,9596,243,12.9,1250,9.89,137,4.51
203,35,1,1,4,162,11946,13.82,4232,6.54,182,6.99
204,1,4,1,8,8348,16095,88.69,4361,6.3,346,1.21
205,17,4,2,6,3257,4842,25.27,1603,8.63,464,4.51
206,88,2,4,5,4973,5224,17.18,481,1.03,2,1.92
207,74,2,2,2,2244,5476,48.24,2312,6.42,87,9.51
208,54,3,4,7,5466,9393,74.9,701,9.13,128,4.75
209,66,4,4,1,9304,18414,66.96,470,6.04,213,0.51
210,68,5,2,6,652,7509,60.04,3842,6.79,353,3.18
211,87,2,3,4,3553,10535,70.98,4915,5.09,174,7.4
212,47,3,5,10,7163,103,77.43,1776,1.63,193,3.13
213,57,3,1,8,3515,10609,27.05,2080,9.47,54,2.19
214,89,3,4,1,8124,19212,63.13,2594,9.31,122,1.65
215,46,4,4,5,335,16884,15.45,2746,8.19,416,4.24
216,62,2,3,9,9132,10459,36.4,3500,2.67,470,4.31
217,25,3,4,7,8893,11207,77.49,1627,5.36,178,0.76
218,38,2,3,5,5625,649,59.15,221,7.08,25,7.21
219,33,3,2,9,7394,9128,55.83,2929,9.42,248,5.84
220,54,5,2,4,9607,2549,25.39,2456,5.8,284,7.26
221,72,5,5,9,3667,6630,55.28,184,8.81,166,6.92
222,99,3,3,6,8136,1174,41.98,4264,4.58,302,3.17
223,76,3,3,6,1810,2957,30.97,1572,8.04,348,5.74
224,41,5,5,1,8703,15257,78.4,1670,2.63,178,9.46
225,31,2,4,4,7062,12258,58.63,4611,7.4,343,6.25
226,49,5,2,3,3534,8601,60.11,1945,7.5,204,1.9
227,87,4,1,9,5971,10312,20.22,2589,5.38,334,9.31
228,97,3,5,9,6821,6509,81.62,3562,0.14,265,8.02
229,41,5,1,6,2761,5652,73.36,1919,5.03,63,3.74
230,55,3,2,9,8708,5971,62.63,1357,5.12,371,1.57
231,46,1,4,10,4989,15442,16.07,4722,4.5,460,9.86
232,26,3,2,5,4205,1446,55.98,1455,9.31,325,2.85
233,32,1,3,10,8238,1213,44.64,2576,4.96,210,8.66
234,87,4,5,10,3144,14702,30.93,2922,8.01,288,6.59
235,38,3,2,1,7639,10374,42.49,1557,3.0,290,6.32
236,76,5,4,9,8401,15817,62.92,84,3.41,35,7.18
237,34,5,1,8,7416,10954,58.54,3017,1.2,474,7.43
238,82,2,5,10,1970,17526,14.37,2687,4.29,48,3.89
239,74,1,5,3,4596,14372,26.92,2217,6.6,80,6.81
240,2,1,1,1,6478,4586,81.0,519,4.06,327,0.59
241,23,4,4,6,4585,17837,40.78,1770,5.71,373,1.52
242,19,3,2,7,4263,9242,67.99,1975,5.71,338,7.2
243,100,5,5,10,3827,16186,35.16,3873,8.57,411,1.14
244,79,2,3,3,5408,18171,39.77,1938,1.81,167,5.73
245,71,5,4,9,7319,6738,42.89,3380,0.65,161,4.65
246,7,2,3,3,6717,12951,48.84,4930,9.57,154,8.39
247,64,3,5,8,6810,12313,19.3,3620,2.6,74,7.94
248,40,3,3,9,8369,1324,46.93,3178,3.12,218,4.85
249,78,3,4,3,6748,7631,23.6,12,3.39,390,9.5
250,87,1,1,2,7176,5980,73.01,4978,0.75,136,3.88
251,60,4,4,1,9266,9896,85.04,3685,9.18,407,8.58
252,58,5,3,3,1764,14594,83.66,2750,4.48,132,2.92
253,44,1,2,5,9991,2664,62.67,469,8.41,232,8.97
254,26,4,4,2,4276,16773,45.64,110,3.32,288,2.5
255,45,5,5,8,1040,13759,75.85,931,5.91,182,5.21
256,25,1,3,8,8815,12955,26.39,2157,6.06,220,5.7
257,43,1,2,8,4925,6373,43.57,160,2.8,321,9.82
258,16,3,4,9,6328,4279,78.09,123,5.18,160,8.59
259,94,1,3,1,6675,7283,87.54,346,1.22,348,2.5
260,82,1,2,8,3899,8776,29.61,4344,3.02,164,4.61
261,57,3,3,5,9826,10029,50.35,3423,3.29,30,4.52
262,94,2,1,1,6064,13314,17.23,2590,6.6,210,8.9
263,36,5,5,6,7299,17761,80.6,4673,8.63,122,7.24
264,54,4,3,2,8106,6973,79.66,1447,1.11,237,2.15
265,87,1,1,2,6472,1405,58.23,2155,4.44,46,0.73
266,33,3,4,8,1065,10630,80.29,3789,5.96,10,1.74
267,76,4,3,8,2757,6775,46.45,55,3.64,141,6.23
268,28,5,5,5,9535,2631,67.59,3145,2.56,439,8.37
269,70,4,4,9,4667,4725,11.2,3775,8.25,168,5.7
270,73,3,4,7,8615,13769,88.44,416,9.78,334,5.49
271,34,1,3,7,7955,4468,77.06,509,0.04,95,7.54
272,87,5,3,9,2383,4412,19.93,2959,8.09,220,3.79
273,75,3,4,2,676,6575,55.99,2021,0.75,269,7.75
274,49,2,5,3,921,17746,73.77,1998,3.97,353,8.6
275,62,4,2,1,7178,8075,22.02,2051,4.93,225,5.07
276,35,3,2,1,1145,18971,43.6,1198,1.85,350,1.39
277,46,1,5,8,9226,5884,77.64,2610,8.83,105,3.64
278,60,3,1,2,8378,1928,15.53,653,2.86,20,4.6
279,52,4,4,8,2656,17497,14.61,4114,1.87,486,7.58
280,62,4,1,5,7385,8362,65.66,3843,9.59,215,4.9
281,97,3,5,1,4134,3332,19.85,3216,0.33,423,1.2
282,52,2,4,9,8894,5075,55.15,1495,5.92,261,1.88
283,30,1,5,10,2949,4794,28.42,84,2.22,161,4.69
284,99,5,3,7,5082,10905,72.54,2523,8.89,492,4.06
285,90,4,5,3,5597,693,61.16,3046,4.2,66,0.9
286,14,1,4,2,7104,12451,25.8,795,6.83,145,0.9
287,10,1,5,1,3518,9812,20.49,329,6.05,118,5.46
288,6,4,5,4,9763,17321,15.4,4323,2.03,23,8.86
289,66,3,1,8,3432,3119,50.8,3491,4.05,19,3.56
290,68,5,2,4,9534,5736,84.79,3189,9.87,59,4.96
291,83,2,4,2,1925,8993,19.13,3966,5.08,402,0.54
292,96,4,5,10,2256,19537,30.66,98,6.61,415,0.57
293,58,4,4,10,6053,19362,42.56,820,6.1,55,4.18
294,14,4,4,7,1980,12157,10.57,153,6.26,438,7.9
295,34,5,5,10,7819,13372,13.7,2600,5.85,394,4.17
296,12,5,3,3,6572,2217,48.41,1032,4.26,21,4.85
297,35,5,2,3,9857,19755,89.73,1908,7.63,258,9.41
298,59,1,3,9,3816,11614,48.85,3254,9.94,85,7.15
299,42,4,4,10,3508,18353,83.55,2086,8.86,190,2.52
300,98,4,5,1,3563,9699,48.25,1886,1.02,262,1.92
301,49,3,3,1,9067,4415,24.5,543,8.41,246,9.13
302,8,4,5,3,9224,12938,37.59,1776,6.94,373,3.22
303,43,1,4,5,3245,12797,21.75,2757,1.65,230,9.89
304,21,1,1,4,7558,18875,28.11,3785,9.22,370,7.16
305,68,5,5,9,1402,9631,21.53,359,6.22,449,6.75
306,53,2,1,8,6414,4669,41.59,998,0.08,181,8.14
307,83,1,5,10,1364,12742,24.66,4369,5.56,51,8.67
308,35,4,5,10,7492,18163,53.34,397,8.74,297,8.39
309,7,4,2,8,4298,8650,31.3,383,5.95,393,7.89
310,95,3,3,8,8769,13700,19.82,4008,8.53,455,5.3
311,42,5,5,2,5894,15367,56.01,2427,7.54,494,7.66
312,34,1,1,4,9219,8483,29.79,1893,5.02,481,7.1
313,36,4,1,1,5101,15148,64.4,1893,8.03,265,6.41
314,35,5,5,8,3024,11321,37.22,2256,6.72,76,7.91
315,5,4,5,8,990,11087,56.08,421,9.19,31,9.74
316,74,1,4,2,6838,12300,68.47,824,7.4,488,0.78
317,85,5,5,9,6651,4791,83.08,940,4.72,428,7.01
318,82,1,1,1,229,1777,85.62,3254,4.12,138,9.33
319,49,1,5,8,4689,6678,46.67,3375,3.09,75,7.41
320,96,2,1,7,984,3121,56.19,116,3.19,388,7.73
321,99,4,1,9,2278,11320,25.8,1517,0.69,102,7.11
322,88,5,2,6,7458,16484,14.34,650,1.5,420,6.37
323,62,2,4,10,6696,6131,31.41,4259,6.0,176,7.4
324,34,3,1,8,3859,16814,72.58,3155,0.75,120,6.31
325,34,2,3,8,8316,8776,25.0,2262,3.02,62,4.03
326,42,1,4,2,6729,6704,24.66,2731,1.01,364,8.64
327,81,3,4,2,9156,11741,72.41,1987,1.91,162,7.89
328,16,3,4,5,5991,17476,49.4,3779,2.86,382,9.13
329,3,4,5,1,9734,5033,33.74,243,2.76,119,0.53
330,7,2,2,8,3063,8512,46.21,1291,1.3,162,8.45
331,54,2,3,8,3655,2379,19.32,1527,6.76,42,0.8
332,65,5,3,5,1065,3414,23.99,4059,7.43,453,7.75
333,5,1,1,10,9957,13707,42.93,2475,0.4,384,4.34
334,20,3,4,1,1603,8010,62.71,4578,5.49,470,3.07
335,61,2,4,6,942,8945,27.15,390,6.58,216,5.97
336,16,5,4,9,7230,1889,50.07,1876,4.99,394,7.86
337,77,3,2,8,8910,5003,81.05,1512,4.1,248,7.7
338,37,5,4,7,416,18120,34.43,857,4.12,412,6.26
339,6,1,1,4,340,19083,48.2,3575,6.27,482,8.33
340,43,2,5,9,1237,8286,47.61,4223,2.51,455,9.14
341,18,5,3,7,1703,1970,33.09,4885,3.22,181,0.53
342,14,2,1,3,542,7510,67.7,4119,6.61,128,2.18
343,47,3,2,4,7788,9344,33.53,3213,6.02,294,1.08
344,88,1,1,10,9732,9277,77.44,862,0.62,42,6.13
345,98,4,4,2,5737,18729,58.92,4564,7.06,494,7.55
346,32,1,2,7,3956,17733,13.52,4818,0.26,146,2.52
347,74,3,3,1,4500,14286,47.24,2739,5.69,462,7.02
348,95,2,3,5,7131,13149,31.34,3995,8.93,177,1.68
349,58,5,2,5,8747,8114,59.03,1073,6.78,44,7.03
350,68,1,4,3,2740,15090,35.54,2779,5.47,364,5.3
351,68,1,2,4,6672,19244,52.05,1786,5.05,24,7.08
352,3,4,5,2,2931,17488,21.63,3741,1.88,389,6.16
353,3,1,2,2,4562,13024,32.23,3974,7.81,441,2.59
354,27,1,1,3,6585,1403,22.6,1617,6.5,126,2.35
355,16,3,4,1,9642,14728,72.14,1689,8.39,342,9.97
356,34,4,5,4,4894,16131,26.69,3029,7.0,283,9.75
357,97,4,2,8,213,316,50.41,3109,2.99,351,7.33
358,88,2,2,10,7569,1075,16.22,4874,9.37,31,9.57
359,54,5,2,1,8062,19560,37.09,361,2.05,286,7.59
360,49,5,4,4,9780,18333,40.65,1984,0.2,382,2.67
361,80,1,3,5,5117,15942,80.52,162,5.74,216,7.08
362,42,2,3,5,933,16931,71.57,1596,5.11,376,1.05
363,39,2,2,2,6428,8306,42.57,1249,5.24,11,7.68
364,93,1,2,10,8513,14089,58.39,2376,6.93,494,4.1
365,58,4,1,10,7641,6151,68.79,4777,9.45,346,9.84
366,82,4,2,10,8398,2316,48.95,4395,4.09,142,6.01
367,74,3,2,3,8153,3929,56.97,458,3.45,353,3.67
368,4,2,2,7,5723,6841,75.14,897,8.34,247,1.87
369,38,4,4,1,6105,10265,43.98,3301,4.68,237,7.98
370,68,4,4,3,3100,14768,73.48,722,0.18,138,1.96
371,40,3,4,8,1894,12573,11.7,1849,1.0,91,5.0
372,45,3,4,9,9500,3864,86.08,757,1.56,232,4.94
373,51,2,5,5,4482,16692,67.5,3741,8.59,305,9.56
374,67,4,4,3,3279,14861,59.78,2049,7.5,483,9.17
375,53,4,1,7,2614,15341,30.17,2484,5.28,252,2.62
376,4,4,3,10,6262,14482,34.6,4682,6.06,211,1.59
377,99,1,3,2,7219,6086,71.05,4379,6.97,6,3.65
378,35,5,5,1,1143,18088,16.91,2736,9.11,167,1.44
379,91,5,2,8,9035,8021,85.09,4951,4.41,339,5.6
380,34,4,2,9,1608,3292,68.46,1994,7.96,466,1.16
381,2,1,1,2,8774,8834,44.99,1747,4.71,225,6.33
382,76,2,4,10,2752,2868,53.65,3795,7.08,6,1.36
383,30,1,1,7,5821,8401,38.63,4564,4.1,107,2.54
384,93,1,1,7,6018,17605,78.07,148,9.51,235,2.95
385,20,2,5,6,4129,18154,78.6,3560,1.01,3,2.27
386,93,1,4,2,218,18218,64.76,913,7.21,46,0.76
387,18,1,3,8,6848,3639,22.06,1587,2.72,322,6.72
388,53,2,5,8,6992,14338,83.12,4638,9.82,56,7.57
389,10,1,2,4,7145,11010,67.05,773,8.3,462,7.38
390,33,4,2,10,7791,16448,22.16,2753,3.21,409,8.9
391,68,1,3,3,4305,4219,17.73,2838,9.96,48,8.29
392,76,5,2,4,8401,15276,28.42,3,5.09,247,8.67
393,36,4,2,5,9646,15637,41.63,4028,5.18,206,9.28
394,100,4,1,9,7480,17978,19.16,2030,8.98,443,7.33
395,77,3,1,2,2784,16722,75.79,2360,0.1,8,9.39
396,79,3,1,9,9064,7039,28.63,4242,5.62,310,5.26
397,36,1,5,6,7494,10448,54.26,1583,8.96,284,4.45
398,16,2,2,4,8788,8544,70.03,3763,3.74,61,8.41
399,75,1,2,7,773,8179,11.0,2644,3.67,390,8.59
400,29,3,1,4,5963,18960,60.02,1332,0.15,315,2.58
401,95,5,5,3,8285,5592,57.49,4498,0.81,198,7.66
402,21,3,5,6,5367,1257,42.4,3675,4.32,382,2.83
403,35,2,5,7,971,2179,65.22,1285,8.29,154,0.72
404,86,2,1,9,8213,927,19.3,1868,7.04,64,3.19
405,28,3,4,3,4910,8188,47.73,4232,6.4,487,6.51
406,98,3,5,1,1735,13659,52.85,4221,7.62,474,3.39
407,34,4,4,4,2428,14566,39.57,2652,0.8,433,8.06
408,69,2,5,3,8370,6199,67.05,1027,9.93,71,5.61
409,98,4,1,3,591,3444,53.39,2070,0.21,373,3.41
410,21,2,1,9,8530,18490,33.12,1007,6.76,479,4.18
411,63,2,1,8,1588,11291,31.69,1233,7.92,374,1.35
412,71,2,3,9,8902,16055,65.59,1339,6.76,230,8.5
413,87,1,1,9,341,3020,34.78,2314,6.69,213,3.57
414,81,4,4,10,9189,8242,80.16,1877,0.86,470,8.04
415,39,4,4,5,8038,10205,29.43,3784,2.78,332,2.58
416,58,4,1,2,1482,17990,48.96,222,5.52,363,5.9
417,94,2,5,2,1288,2063,78.17,3822,9.52,107,1.05
418,43,4,2,9,111,11574,74.72,626,8.42,85,1.95
419,38,3,2,8,5546,15645,14.75,1614,7.63,316,5.06
420,9,2,5,7,3437,857,33.52,431,6.71,500,0.73
421,93,5,4,9,4660,14389,64.11,3711,6.49,484,2.88
422,100,1,3,1,4827,16511,80.11,864,1.45,59,6.53
