Gouvernance_id,Date_id,Direction_id,Employe_id,Systeme_id,Projet_id,Nb_projets_strategiques,Taux_utilisation_BI,Balanced_scorecard,Dashboards_exploités
80,87,3,177,45,70,1,72.81,91,47
81,32,5,167,17,27,0,97.77,96,22
82,51,1,201,45,76,10,59.3,52,19
83,98,9,175,44,20,2,53.93,59,37
84,90,2,125,25,19,0,57.35,46,49
85,78,1,205,38,90,7,64.15,72,2
86,46,3,284,2,45,3,92.58,58,23
87,36,4,117,33,27,6,51.13,39,28
88,10,7,74,33,33,10,76.93,56,20
89,25,6,130,7,52,5,72.63,62,41
90,73,10,297,5,7,8,53.98,23,45
91,47,3,111,25,73,5,72.26,93,26
92,55,2,234,42,75,7,60.06,5,35
93,70,8,244,3,60,2,79.17,33,50
94,10,1,211,25,89,4,59.7,18,36
95,74,4,148,20,59,3,90.4,9,20
96,90,4,231,11,83,3,97.35,91,27
97,77,4,228,19,84,3,59.56,14,28
98,12,4,201,2,55,5,70.65,70,27
99,56,4,121,9,88,10,80.66,38,12
100,57,7,212,11,43,5,54.5,79,24
101,14,2,281,45,78,4,74.59,83,33
102,90,3,148,19,87,0,57.59,35,8
103,49,5,168,7,77,5,80.34,26,37
104,45,5,271,49,51,0,86.31,0,16
105,52,4,61,39,4,0,65.61,58,35
106,66,8,153,37,61,4,75.04,5,18
107,78,9,250,23,82,8,74.15,6,8
108,12,9,159,46,58,4,65.82,9,10
109,84,6,220,23,29,6,98.38,88,36
110,42,5,248,29,17,5,94.58,52,29
111,9,1,288,25,6,4,54.74,0,30
112,71,4,198,31,37,1,64.02,97,0
113,33,2,70,2,15,8,89.64,68,26
114,67,4,139,9,51,6,82.48,3,8
115,18,10,149,14,39,8,61.39,78,48
116,58,1,226,19,17,2,51.42,86,7
117,6,6,251,46,42,1,69.2,20,48
118,70,3,164,3,100,7,72.65,60,46
119,70,8,65,28,36,10,91.58,92,2
120,13,7,118,26,46,1,88.76,71,36
121,91,9,196,49,64,6,71.98,42,41
122,99,9,36,22,55,4,55.92,92,18
123,7,9,52,36,60,7,76.52,76,44
124,79,6,18,30,41,4,58.96,88,36
125,46,6,231,29,80,0,52.61,2,45
126,59,2,202,37,26,10,76.45,57,27
127,95,9,121,28,41,10,83.85,95,5
128,77,1,289,29,95,5,94.57,53,15
129,55,3,267,36,26,10,90.88,29,36
130,27,5,287,11,39,0,83.58,89,8
131,39,2,3,24,28,10,52.63,25,17
132,82,6,195,16,31,2,77.43,30,45
133,26,10,243,46,59,7,99.74,75,8
134,10,2,7,41,81,8,87.85,87,1
135,78,8,234,44,56,3,59.55,44,49
136,74,9,29,50,67,1,95.34,18,34
137,68,1,229,29,79,7,54.21,54,31
138,61,6,7,30,24,6,53.83,17,25
139,67,9,268,40,95,10,60.78,89,19
140,37,9,172,15,36,0,77.17,82,33
141,37,2,27,9,76,1,99.44,73,11
142,96,7,262,24,83,2,69.03,72,20
143,35,9,276,10,81,7,56.12,100,37
144,10,1,258,48,45,2,51.29,29,11
145,61,1,195,36,24,3,85.39,91,16
146,96,8,241,39,33,0,72.04,26,3
147,57,9,65,40,6,10,58.96,91,37
148,50,4,178,4,28,4,63.81,52,24
149,52,2,158,7,75,4,64.92,76,39
150,62,2,264,32,13,8,71.07,54,4
151,80,1,205,37,77,1,93.42,76,11
152,42,1,65,5,5,3,85.02,19,0
153,7,5,84,4,52,5,71.89,6,49
154,58,7,20,43,37,4,55.08,76,41
155,94,5,39,41,37,9,96.34,65,21
156,36,5,73,43,45,1,82.54,33,5
157,53,2,208,22,85,2,77.31,74,24
158,76,7,254,33,14,0,54.35,33,35
159,21,8,291,30,67,8,94.48,33,44
160,27,1,185,5,93,2,60.68,50,31
161,63,3,180,39,89,2,96.11,97,12
162,48,6,35,12,23,5,82.34,10,43
163,46,6,213,2,9,9,65.02,51,2
164,32,3,192,40,70,9,57.3,28,42
165,61,10,150,19,67,4,96.04,40,46
166,78,4,54,9,96,9,92.32,47,8
167,86,10,147,28,100,9,63.09,68,33
168,50,4,9,5,6,10,60.13,2,47
169,35,5,123,33,27,2,90.36,80,43
170,28,6,212,3,9,10,72.95,95,24
171,14,5,61,9,100,5,51.02,36,48
172,39,1,247,37,84,4,78.36,64,31
173,19,5,168,49,100,8,68.85,55,9
174,36,1,20,25,79,5,82.14,89,36
175,25,8,190,18,64,2,84.55,99,38
176,95,5,48,50,68,8,66.94,34,12
177,54,4,242,25,84,0,95.37,97,23
178,63,8,296,10,75,4,87.49,27,33
179,28,5,18,25,15,9,59.99,70,22
180,68,10,271,21,38,6,84.46,62,26
181,78,3,291,14,85,1,79.5,17,2
182,7,7,257,27,27,2,94.67,20,18
183,71,5,256,5,68,8,55.32,60,33
184,38,9,39,25,19,7,88.57,88,1
185,55,8,201,38,40,6,84.13,1,5
186,23,5,78,42,4,3,72.72,91,25
187,92,2,245,47,83,0,96.1,85,2
188,12,1,188,25,66,1,96.97,21,46
189,30,3,225,50,12,10,65.22,59,44
190,79,5,174,14,74,8,63.79,43,12
191,91,6,77,12,64,3,82.58,98,3
192,50,5,212,43,99,10,92.99,4,41
193,19,3,252,39,45,9,59.98,9,0
194,25,10,8,15,79,6,93.06,65,37
195,46,6,49,32,86,0,80.51,66,32
196,27,9,85,1,16,0,81.11,90,16
197,73,6,213,22,57,2,92.99,62,26
198,48,7,176,1,7,10,90.74,54,8
199,18,2,224,7,42,3,72.62,57,16
200,73,4,170,17,11,1,64.22,16,32
201,64,3,201,38,80,5,82.15,48,5
202,97,7,283,26,100,7,59.69,23,16
203,98,1,100,50,4,5,58.62,74,14
204,37,5,90,23,24,3,83.32,32,16
205,3,4,251,34,1,9,67.11,26,14
206,46,1,37,30,47,0,91.24,75,6
207,42,1,273,36,33,9,97.77,5,7
208,10,2,288,34,70,8,97.52,74,3
209,37,7,263,14,71,10,76.79,62,2
210,73,9,45,18,81,9,54.07,98,20
211,96,2,210,27,10,4,64.4,59,12
212,47,4,4,36,98,4,54.03,41,8
213,75,2,270,21,68,7,74.44,37,35
214,83,4,58,27,40,9,63.34,26,26
215,24,1,14,49,95,0,52.15,14,45
216,54,3,220,43,49,9,79.57,1,28
217,43,1,12,1,56,4,73.7,18,19
218,28,2,97,47,1,10,69.56,31,24
219,80,7,49,6,82,3,81.55,22,0
220,68,1,155,19,57,6,80.58,26,30
221,14,4,13,43,13,7,51.16,69,1
222,15,10,119,39,91,8,69.39,54,22
223,3,10,20,39,31,4,72.39,92,14
224,99,3,285,24,10,8,85.95,65,9
225,11,6,54,37,24,5,72.78,21,5
226,64,1,238,6,18,5,56.69,35,23
227,97,5,5,14,43,10,52.04,90,40
228,31,2,191,33,32,9,69.89,38,1
229,9,6,49,35,74,0,81.74,24,7
230,75,9,42,43,43,2,50.11,9,32
231,30,6,280,44,41,6,58.25,56,18
232,70,1,37,1,91,9,71.17,87,25
233,21,8,196,49,63,8,96.84,99,27
234,87,5,92,36,3,5,81.25,20,30
235,20,7,259,21,55,0,61.55,41,19
236,77,6,239,29,54,3,95.09,73,5
237,32,10,22,50,94,3,88.16,56,19
238,78,5,266,19,69,6,52.45,41,41
239,37,1,200,15,58,7,73.34,21,24
240,7,2,220,26,95,8,90.07,82,22
241,3,4,262,31,6,5,54.82,90,24
242,33,7,290,16,86,5,86.97,46,38
243,4,7,298,33,48,9,60.1,3,17
244,44,8,254,29,85,4,59.66,46,10
245,25,5,187,31,24,5,54.99,32,36
246,25,9,156,9,35,10,55.0,87,33
247,11,4,266,14,62,1,68.05,54,20
248,23,3,269,16,77,10,85.16,81,2
249,17,10,15,43,20,7,99.65,79,40
250,2,4,164,43,71,6,83.67,83,20
251,68,7,196,42,99,6,81.62,94,17
252,25,1,91,41,59,5,86.77,45,20
253,69,5,214,5,81,5,81.58,41,20
254,40,8,36,8,49,9,52.79,5,21
255,5,1,238,31,29,4,63.97,71,32
256,11,1,43,22,2,5,63.47,64,13
257,93,4,17,7,30,2,65.42,94,15
258,30,8,92,4,54,6,50.89,44,6
259,23,2,7,10,23,1,70.07,33,8
260,61,10,108,3,76,7,61.85,31,45
261,12,5,81,3,56,5,61.9,82,39
262,64,9,151,7,51,2,93.35,77,5
263,57,5,85,47,11,0,99.33,25,48
264,15,5,22,29,68,3,87.07,69,20
265,10,8,51,10,43,1,95.99,46,37
266,42,2,115,13,76,6,64.8,87,2
267,88,6,116,15,65,9,52.08,87,24
268,7,7,16,2,65,9,81.14,19,21
269,32,1,38,33,83,9,73.92,8,49
270,26,6,177,33,4,5,82.61,31,40
271,69,6,206,14,59,4,55.47,42,4
272,58,3,51,25,41,5,59.47,34,45
273,49,10,241,10,81,9,53.6,55,41
274,86,5,33,10,37,4,97.99,22,21
275,22,4,86,8,42,3,81.91,98,5
276,76,9,117,35,90,8,70.4,18,50
277,88,7,37,14,25,2,98.46,32,46
278,83,6,4,33,20,5,83.06,87,31
279,50,6,18,33,38,1,83.5,14,32
280,22,7,118,3,54,9,72.06,4,48
281,64,1,146,14,7,1,57.03,29,16
282,97,2,51,41,46,5,62.94,24,42
283,77,8,158,2,20,10,71.67,53,22
284,50,1,252,49,14,2,92.12,18,32
285,34,8,171,43,60,1,76.35,79,36
286,27,8,227,47,78,8,68.9,6,16
287,87,10,290,3,34,2,50.46,69,43
288,30,8,250,35,57,8,80.16,4,14
289,62,10,60,25,55,0,66.63,37,48
290,28,6,2,30,53,9,59.07,43,21
291,73,10,107,26,52,10,73.25,78,38
292,44,6,69,48,24,9,69.28,36,2
293,92,4,31,19,41,3,91.49,33,9
294,52,8,195,50,58,4,74.74,99,36
295,5,3,31,23,7,3,60.0,59,32
296,35,10,95,12,36,0,81.8,41,15
297,40,2,115,10,60,9,93.17,77,1
298,40,5,216,28,67,4,62.53,81,46
299,9,1,91,11,66,5,90.72,74,40
300,46,6,36,14,11,7,71.93,73,5
301,85,1,9,47,90,1,97.02,31,44
302,84,6,65,13,68,3,55.62,3,47
303,70,8,150,29,65,10,76.16,83,20
304,38,8,230,29,6,9,78.63,50,14
305,93,8,263,1,31,4,83.88,19,32
306,36,4,213,27,57,1,91.75,54,43
307,3,8,130,1,54,5,53.45,55,8
308,75,1,237,30,74,9,63.54,42,42
309,80,7,224,5,88,7,95.49,82,17
310,49,3,188,36,20,7,96.61,8,25
311,28,9,300,43,50,2,65.5,48,13
312,26,3,240,30,36,3,98.68,98,35
313,4,4,135,8,32,1,69.04,49,36
314,43,3,64,18,5,2,97.19,6,10
315,93,7,72,2,73,3,91.94,0,41
316,35,6,167,9,97,7,64.26,9,13
317,87,3,126,30,18,9,75.87,19,26
318,11,5,135,27,71,9,89.6,44,32
319,46,6,192,50,14,4,54.94,57,40
320,91,1,20,38,64,2,65.78,32,2
321,46,2,266,16,19,5,53.32,31,49
322,66,6,133,44,43,10,77.63,71,8
323,4,7,286,38,11,8,86.27,66,42
324,20,1,146,14,4,8,90.88,3,0
325,42,9,248,15,20,6,76.5,33,40
326,27,1,197,12,34,2,83.09,92,24
327,53,5,248,29,29,1,78.61,56,3
328,58,10,100,45,51,3,51.45,81,6
329,70,8,194,33,81,2,78.82,41,47
330,74,5,27,19,28,3,84.84,7,33
331,47,8,44,20,77,6,56.33,72,46
332,94,10,40,44,82,10,52.08,40,28
333,46,7,170,50,90,5,74.67,54,49
334,19,10,260,45,64,3,57.03,68,7
335,66,5,75,12,49,2,86.68,93,6
336,23,3,159,19,82,9,78.73,44,31
337,36,8,24,49,85,6,70.93,25,14
338,64,7,231,6,33,9,89.7,100,39
339,36,1,104,3,54,10,50.41,81,25
340,40,3,128,48,82,3,55.0,100,50
341,26,1,4,20,76,1,85.33,60,1
342,25,8,295,13,50,5,73.87,44,13
343,29,3,45,37,42,4,59.05,54,25
344,98,2,248,31,97,3,76.7,69,6
345,49,2,74,44,68,7,67.31,52,21
346,63,1,82,42,81,4,57.71,6,27
347,19,4,17,45,100,6,96.89,2,18
348,17,8,289,7,100,6,74.88,6,38
349,91,9,41,43,89,8,62.19,69,45
350,87,3,55,29,89,6,52.63,3,19
351,32,3,176,47,27,9,65.92,48,47
352,35,10,156,36,15,8,99.28,76,17
353,62,5,234,5,84,4,88.65,43,45
354,72,8,5,9,51,5,77.2,19,14
355,25,9,244,13,18,0,82.88,62,42
356,95,7,287,38,93,0,50.64,21,18
357,74,7,265,45,63,4,97.74,93,12
358,11,3,148,20,91,7,63.01,17,9
359,45,1,219,30,71,4,91.82,43,16
360,95,4,259,19,11,2,73.37,40,35
361,29,4,136,22,61,4,97.23,37,36
362,59,3,93,25,1,5,75.79,9,19
363,16,7,190,26,17,9,82.41,39,7
364,5,2,246,34,16,8,83.91,65,8
365,4,10,220,6,83,1,92.3,22,46
366,32,10,235,32,85,7,93.2,51,22
367,83,4,264,38,56,0,60.88,71,7
368,13,2,164,40,7,1,98.82,80,13
369,34,9,261,1,37,0,53.48,18,30
370,53,1,201,23,87,10,57.34,36,46
371,46,7,123,27,57,9,50.19,40,8
372,22,10,183,45,81,6,81.82,66,16
373,66,4,80,16,99,0,76.54,96,36
374,76,4,170,11,47,4,70.88,49,37
375,85,3,22,33,66,6,59.45,56,10
376,31,2,180,47,83,9,62.3,15,13
377,67,7,222,18,44,1,69.07,6,14
378,98,1,76,32,91,5,70.86,46,35
379,2,8,233,4,11,8,67.4,11,32
380,8,3,252,39,65,1,53.35,99,12
381,31,10,73,48,31,6,99.22,62,43
382,40,9,141,40,17,10,51.48,13,0
383,6,9,70,7,47,3,83.55,40,9
384,44,2,180,44,34,5,64.82,49,23
385,69,4,229,25,20,0,96.79,17,13
386,48,1,53,42,36,0,67.67,40,20
387,70,3,106,25,54,1,55.98,55,32
388,89,6,106,27,48,4,53.24,37,35
389,13,9,43,29,22,10,60.72,97,39
390,10,4,37,8,17,4,67.03,36,7
391,17,8,100,29,65,5,76.69,81,0
392,64,2,20,48,58,5,86.34,38,14
393,86,4,129,13,6,6,83.81,57,2
394,20,2,97,6,82,7,79.0,63,49
395,50,8,80,7,89,7,52.72,79,27
396,30,3,272,14,44,4,82.16,11,15
397,30,8,161,27,58,8,87.43,77,42
398,53,2,47,22,31,10,61.32,84,45
399,45,3,189,3,81,1,73.47,49,42
400,52,10,174,45,52,3,88.44,60,49
401,61,7,153,32,15,9,90.5,76,45
402,28,9,220,24,34,7,55.19,88,29
403,3,2,253,40,37,10,71.93,52,10
404,38,7,256,47,52,7,83.94,7,19
405,86,7,80,34,24,7,59.26,71,23
406,42,1,238,12,5,7,51.51,16,48
407,78,6,199,15,70,0,60.8,58,3
408,26,3,179,40,81,1,62.44,80,11
409,2,7,34,20,86,8,82.25,45,0
410,93,9,159,27,93,3,75.74,74,38
411,52,7,120,35,22,6,55.71,69,33
412,97,7,138,48,85,1,61.72,70,42
413,43,4,86,44,84,4,62.31,72,17
414,100,4,108,49,14,8,77.37,6,1
415,79,5,279,11,66,3,94.15,92,24
416,24,3,76,19,11,6,52.46,29,0
417,44,4,222,43,48,2,59.83,22,20
418,2,9,137,16,89,7,80.63,86,34
419,54,5,68,10,94,6,60.09,15,6
420,16,7,63,32,36,3,63.81,17,23
421,4,7,70,26,43,10,85.71,85,28
422,77,8,286,14,68,5,83.04,41,10
423,75,8,295,12,1,3,98.78,50,14
424,25,8,300,13,61,8,82.06,74,19
425,86,10,3,34,53,9,94.61,19,36
426,85,6,175,32,12,4,97.08,22,3
427,78,10,233,8,37,2,55.05,74,20
428,58,8,177,30,80,8,50.47,50,20
429,35,3,153,50,39,10,87.66,0,28
430,14,9,139,13,7,9,79.58,4,38
431,21,1,257,10,11,6,84.78,90,16
432,72,6,75,21,47,2,97.76,11,17
433,60,1,158,12,99,10,71.36,84,33
434,53,9,270,48,70,10,84.5,17,21
435,100,9,235,27,8,0,83.55,93,23
436,76,2,271,18,26,9,53.18,21,0
437,68,5,197,26,18,2,63.52,21,30
438,76,2,145,16,57,10,86.68,20,13
439,16,2,285,29,31,9,74.15,36,10
440,73,10,241,45,81,10,62.01,66,47
441,29,5,14,50,9,10,79.6,64,21
442,47,5,213,47,24,2,92.02,50,10
443,34,2,241,1,59,0,58.31,61,48
444,55,1,66,2,49,1,91.46,23,21
445,14,4,114,13,72,1,56.94,16,24
446,2,10,233,7,17,2,63.26,38,46
447,48,5,209,48,9,0,79.89,68,28
448,88,8,12,44,61,1,63.41,82,11
449,4,6,286,1,98,7,64.7,73,32
450,76,10,22,15,64,8,62.02,72,39
451,22,2,104,37,99,3,55.73,33,25
452,10,1,300,40,87,10,94.16,74,22
453,52,1,147,42,2,10,96.95,21,28
454,24,8,299,36,59,2,67.97,44,35
455,94,7,139,22,38,3,76.18,95,41
456,32,7,3,33,78,8,70.79,89,29
457,41,10,198,23,87,3,74.89,76,5
458,73,9,128,13,43,1,85.45,12,31
459,8,8,97,8,43,10,92.91,100,26
460,59,7,2,10,28,5,90.01,76,32
461,38,9,283,30,39,4,95.0,49,26
462,5,8,240,47,48,6,69.26,99,45
463,68,5,207,10,27,4,77.63,25,34
464,91,10,67,4,94,6,94.91,26,2
465,22,3,278,46,73,5,58.7,14,33
466,3,2,69,33,48,7,71.19,89,1
467,70,5,216,32,70,5,98.58,71,12
468,100,5,53,8,94,8,51.54,49,25
469,83,4,141,45,82,10,83.56,71,14
470,16,1,34,26,47,4,69.6,48,50
471,42,8,194,3,41,7,88.89,85,19
472,7,9,225,43,85,10,82.51,29,30
473,49,9,233,44,89,6,73.92,24,28
474,39,2,71,4,78,3,88.4,97,26
475,72,9,234,30,83,7,61.38,60,46
476,32,1,289,26,44,2,81.23,4,39
477,33,3,111,47,30,2,55.18,51,21
478,29,5,186,25,78,10,92.83,53,20
479,55,10,14,40,63,9,57.4,61,25
480,42,3,183,22,2,1,64.82,14,45
481,99,2,52,30,95,3,89.08,6,50
482,5,4,74,12,33,7,54.27,19,41
483,36,4,187,34,65,7,85.6,48,46
484,83,2,144,33,26,3,90.37,98,9
485,14,9,291,4,21,8,65.99,40,39
486,42,7,211,33,57,3,63.98,82,1
487,6,2,219,38,66,9,75.41,39,45
488,3,4,212,11,25,0,69.25,39,6
489,80,5,40,41,48,1,65.27,37,19
490,99,4,139,10,42,8,63.19,65,20
491,69,9,48,14,4,0,96.62,96,26
492,78,3,25,3,20,8,50.66,62,1
493,70,5,105,18,30,1,78.26,60,44
494,60,6,115,31,19,2,63.86,51,5
495,44,3,159,26,18,6,79.65,78,19
496,36,5,23,40,86,4,83.57,61,7
497,60,7,142,12,93,4,97.74,32,44
498,38,6,82,35,17,0,88.81,56,47
499,56,3,251,27,32,10,80.28,92,7
500,5,9,66,34,42,2,61.35,20,14
501,77,9,36,20,99,3,65.53,16,45
502,87,3,63,20,7,9,55.95,24,15
503,90,7,39,43,90,3,55.7,27,45
504,74,1,70,4,57,8,55.72,11,22
505,21,6,179,50,46,9,70.18,7,23
506,50,7,173,19,76,4,86.54,77,21
507,69,7,257,10,24,9,73.5,96,5
508,70,8,178,3,92,2,75.98,85,10
509,41,3,143,21,47,0,68.34,84,44
510,11,10,251,4,51,3,58.54,52,24
511,34,4,286,16,30,7,89.8,60,44
512,31,2,36,40,76,4,95.87,39,14
513,99,1,295,11,26,0,76.23,69,1
514,25,4,295,28,56,4,98.25,87,46
515,72,6,100,11,77,3,54.29,23,37
516,55,2,150,37,53,8,83.06,29,48
517,25,2,218,2,82,1,99.42,78,45
518,38,10,98,36,70,10,61.28,75,32
519,6,8,299,32,61,9,84.03,65,30
520,59,3,23,15,2,5,53.51,5,43
521,41,3,155,47,5,9,66.76,15,26
522,71,2,276,45,12,1,78.32,25,32
523,52,2,284,9,13,2,59.12,69,33
524,45,5,251,39,94,4,55.52,58,12
525,75,5,123,46,80,4,97.51,49,14
526,35,10,230,22,73,3,71.33,78,34
527,27,1,128,31,88,1,95.56,62,8
528,44,9,75,41,79,8,54.56,39,40
529,10,10,1,21,76,3,69.82,75,25
530,78,3,107,29,88,9,64.77,1,37
531,47,9,276,17,85,4,88.67,81,14
532,98,9,230,30,72,4,74.04,64,46
533,79,7,249,2,33,8,72.34,34,22
534,23,6,32,37,99,1,83.53,100,1
535,40,10,7,49,53,3,77.89,75,27
536,94,9,271,16,84,0,74.57,31,21
537,9,5,139,33,18,10,72.33,52,28
538,42,3,123,33,16,1,83.09,87,0
539,86,1,207,37,98,9,57.12,30,18
540,58,4,241,27,94,10,56.24,64,23
541,20,5,189,35,43,7,66.42,32,49
542,52,5,261,14,96,3,91.11,32,3
543,73,1,65,14,90,1,85.68,93,25
544,96,3,283,44,76,0,81.11,43,20
545,4,2,135,19,51,4,90.55,32,14
546,86,1,123,28,21,6,99.64,32,33
547,52,1,166,7,31,10,75.61,3,19
548,91,8,6,1,90,4,88.67,65,30
549,68,5,124,50,52,6,82.65,14,36
550,22,1,178,5,97,2,64.24,26,22
551,13,2,280,27,34,4,53.49,14,27
552,25,9,96,24,27,0,72.25,82,40
553,32,4,35,15,61,3,95.51,93,20
554,58,8,216,4,6,3,53.17,16,37
555,59,2,260,49,32,5,78.87,69,25
556,81,5,41,35,9,6,68.98,77,23
557,88,3,54,8,29,1,51.97,95,25
558,72,2,143,50,58,9,96.93,84,12
559,22,7,125,4,48,0,83.05,98,10
560,76,10,180,39,3,5,77.33,43,7
561,86,5,12,29,22,3,98.4,12,36
562,7,4,86,17,57,4,96.43,57,23
563,60,7,214,44,95,6,71.43,96,37
564,51,10,276,37,45,1,51.31,29,49
565,45,9,76,28,5,4,57.9,99,30
566,21,1,224,40,54,0,99.04,89,10
567,1,1,104,45,71,8,62.87,51,36
568,88,5,216,3,2,10,51.4,61,3
569,90,2,21,10,52,10,95.93,89,28
570,32,3,48,4,69,2,71.62,92,18
571,24,7,84,40,88,10,83.1,23,50
572,29,3,292,15,67,6,52.45,21,36
573,51,1,103,21,99,5,81.96,35,5
574,94,5,187,39,93,7,89.4,100,23
575,74,7,213,47,85,6,92.47,70,2
576,18,2,200,14,35,9,85.76,37,29
577,23,8,275,36,62,5,64.5,61,46
578,49,1,99,17,9,10,86.98,50,12
579,58,1,61,15,57,1,70.0,37,23
580,51,3,29,24,10,9,95.04,57,20
581,45,5,299,37,7,10,78.99,71,39
582,87,4,273,19,83,8,76.44,34,2
583,7,1,78,41,70,10,50.17,71,13
584,26,4,192,8,77,3,54.93,92,39
585,33,2,78,45,80,1,67.88,51,32
586,63,2,152,2,91,1,91.67,17,49
587,39,6,55,2,84,9,62.16,69,28
588,48,4,45,43,71,1,83.41,67,24
589,45,1,170,5,12,9,94.28,5,41
590,57,3,211,38,81,4,62.39,38,6
591,19,7,188,13,49,2,88.17,44,21
592,95,1,253,26,25,6,87.72,1,12
593,41,7,2,37,4,10,92.02,34,31
594,69,1,9,29,88,0,69.49,82,6
595,5,4,213,1,25,1,97.99,89,49
596,70,3,291,45,48,4,99.43,22,5
597,93,3,83,23,73,1,55.7,65,46
598,10,6,48,22,100,3,73.2,34,43
599,61,5,210,13,83,1,84.88,29,9
600,26,10,268,37,51,1,70.02,90,6
601,81,1,41,38,28,9,85.79,51,22
602,48,6,279,23,40,7,51.96,76,35
603,42,5,38,8,9,7,61.59,53,32
604,12,3,209,35,31,8,85.73,36,14
605,92,6,43,6,13,6,99.33,59,49
606,99,5,12,15,90,8,72.21,67,11
607,66,9,287,32,11,1,79.42,99,13
608,80,7,155,4,50,0,69.9,0,12
609,35,9,184,22,61,9,69.39,50,23
610,85,5,223,11,39,9,69.57,58,6
611,62,2,121,6,78,3,94.87,14,50
612,37,6,171,50,37,7,69.2,95,10
613,66,8,138,23,9,0,98.42,82,21
614,70,7,293,17,45,2,91.34,41,42
615,70,8,240,26,15,9,81.52,24,11
616,46,8,138,42,68,3,52.39,21,43
617,51,1,125,5,97,1,81.58,59,20
618,60,7,230,49,60,7,81.81,95,12
619,42,5,31,44,94,3,78.96,37,27
620,42,1,63,46,84,5,79.82,0,10
621,60,7,209,12,37,7,70.82,43,12
622,17,10,294,36,78,3,96.27,77,25
623,95,4,293,7,47,5,97.33,8,25
624,36,6,93,31,98,8,57.1,52,35
625,78,9,92,8,54,1,76.14,57,27
626,73,8,264,44,57,8,97.94,57,40
627,31,10,264,39,18,7,94.32,96,2
628,54,6,103,28,79,9,91.15,85,39
