Capital_id,Date_id,Employe_id,Service_id,Formation_id,Contrat_id,Effectif_total,Taux_turnover,Nb_recrutements,Taux_satisfaction_agent,Taux_absenteisme,Nb_formation
199,9,212,1,17,3,241,1.21,13,80.65,7.19,3
200,61,117,2,24,1,258,14.71,5,94.37,10.57,4
201,100,183,4,46,5,72,16.97,4,61.44,0.49,2
202,15,60,3,49,1,93,17.56,4,62.05,1.11,9
203,47,161,1,34,2,341,15.7,4,93.68,11.47,5
204,32,91,5,45,3,206,8.68,2,75.54,11.47,7
205,7,222,4,35,1,55,13.05,7,82.12,5.95,4
206,44,255,1,41,5,216,9.59,15,69.04,12.26,3
207,69,58,4,37,3,96,16.42,4,89.29,11.11,8
208,88,120,3,11,5,159,6.96,1,98.05,9.78,7
209,30,68,4,29,1,251,11.57,0,66.99,1.51,7
210,38,258,1,17,4,483,13.52,6,97.51,14.42,6
211,58,266,4,10,2,62,9.61,0,90.19,7.55,9
212,11,226,2,12,5,148,15.73,18,66.81,14.15,1
213,100,118,3,44,5,199,14.11,16,76.09,3.33,3
214,84,186,3,14,1,250,13.05,10,69.61,1.18,2
215,75,39,2,19,3,64,14.13,6,83.49,4.68,3
216,100,248,3,16,5,292,8.38,20,83.7,13.42,2
217,39,262,2,27,4,420,19.9,5,96.52,11.38,0
218,81,194,1,5,3,349,11.49,14,66.99,5.3,10
219,6,7,5,12,2,344,11.77,20,90.91,12.47,8
220,47,281,1,2,5,286,14.78,7,66.13,2.65,9
221,2,281,2,2,3,250,12.81,3,72.82,13.26,3
222,75,275,4,17,1,179,0.2,7,95.44,12.06,5
223,63,16,5,31,5,126,11.62,16,71.13,8.13,6
224,10,252,2,9,3,465,8.45,3,74.31,0.51,6
225,44,18,1,45,2,84,16.95,12,90.04,3.25,10
226,85,98,2,15,1,360,12.26,9,91.55,1.2,9
227,62,79,4,15,3,129,11.95,10,80.61,3.95,6
228,54,156,3,17,2,73,3.63,15,70.94,13.89,5
229,39,181,4,11,2,219,17.94,1,78.93,0.68,6
230,51,140,4,48,4,96,17.76,5,71.31,1.12,2
231,23,120,5,15,1,131,17.77,16,62.71,4.34,3
232,64,296,3,35,2,472,16.5,14,95.4,4.84,6
233,82,108,1,12,4,382,7.12,2,75.82,14.35,8
234,56,101,3,17,3,86,7.77,5,98.14,3.07,1
235,22,84,4,47,5,477,7.45,1,65.62,8.85,10
236,79,113,3,38,5,333,2.24,4,81.78,6.5,4
237,41,252,1,33,5,244,18.28,20,97.3,1.41,0
238,50,166,4,34,4,225,16.31,19,69.85,1.36,4
239,34,12,2,38,4,320,9.13,8,89.47,13.19,4
240,85,151,5,9,5,273,9.76,8,94.03,12.02,10
241,99,173,4,39,2,319,4.89,15,96.8,4.64,8
242,30,293,4,23,4,196,1.79,9,99.9,8.95,6
243,35,279,1,24,2,300,4.97,4,81.78,12.34,8
244,13,33,3,41,1,405,14.13,16,80.74,3.41,0
245,66,148,3,25,3,261,4.59,2,68.58,11.96,7
246,53,149,1,48,1,446,12.31,3,94.06,13.57,3
247,60,215,2,14,2,69,19.76,9,67.09,11.42,7
248,47,97,2,14,2,124,13.89,12,63.56,9.47,6
249,20,189,2,14,5,402,6.53,17,93.77,10.73,3
250,86,100,3,11,4,369,7.88,0,93.24,10.18,2
251,30,196,1,1,2,304,7.61,1,63.51,6.43,10
252,21,135,3,37,5,164,18.45,0,79.98,4.51,8
253,39,299,3,26,1,356,18.71,1,92.23,12.9,4
254,43,59,3,7,4,222,19.93,19,78.85,11.22,1
255,28,61,3,7,1,496,19.05,15,94.73,6.57,2
256,84,24,5,38,2,470,2.55,15,72.76,7.1,6
257,44,17,5,31,2,119,6.81,9,98.13,9.63,1
258,42,285,2,33,5,344,4.32,13,91.84,3.62,0
259,64,122,3,47,3,278,19.94,5,86.05,0.75,3
260,26,233,4,9,4,456,10.0,20,92.12,12.06,8
261,83,143,4,48,4,390,12.77,0,97.25,5.96,6
262,2,34,4,36,5,196,1.09,8,92.83,0.89,5
263,70,257,3,19,1,135,13.02,4,74.2,10.82,6
264,82,89,4,35,2,476,14.71,18,73.05,4.41,10
265,59,257,5,47,5,337,10.79,6,91.75,2.2,10
266,62,102,5,46,3,340,7.59,5,68.01,11.13,0
267,38,227,1,42,1,300,8.84,17,75.72,13.98,4
268,5,261,4,19,1,187,18.61,15,97.66,9.09,9
269,25,153,2,11,1,439,0.01,16,84.34,14.2,3
270,12,194,1,38,3,410,0.91,15,65.26,4.27,6
271,75,204,4,42,5,228,11.85,2,78.45,1.07,2
272,20,3,3,17,5,451,8.17,9,72.81,10.86,8
273,42,183,5,19,4,129,16.3,0,97.65,7.8,9
274,76,39,4,25,2,159,17.56,15,61.02,2.29,7
275,80,227,4,18,1,369,9.95,19,92.79,11.68,10
276,43,35,3,33,3,490,14.86,2,61.59,10.22,9
277,84,9,1,40,4,224,12.96,0,87.54,2.68,6
278,86,31,4,23,1,52,11.59,19,76.34,14.43,3
279,54,3,2,12,3,218,10.57,2,79.2,4.66,5
280,17,254,4,49,1,287,9.63,20,66.66,7.88,1
281,95,292,5,48,1,304,16.37,9,76.96,6.76,4
282,56,223,5,24,3,138,7.12,12,94.33,3.6,10
283,62,189,1,27,3,492,0.97,4,99.74,8.47,1
284,96,110,1,1,3,113,11.74,15,60.62,6.23,1
285,53,28,5,20,5,269,19.19,16,60.05,2.73,0
286,75,19,1,36,4,332,12.29,8,74.31,0.2,1
287,75,45,2,26,1,292,12.85,1,91.07,13.27,10
288,62,162,1,27,3,132,14.41,11,78.47,2.78,5
289,54,109,3,34,3,158,3.72,5,69.49,10.76,4
290,48,228,2,3,4,437,13.88,5,85.8,5.19,5
291,76,112,3,22,3,195,18.88,9,68.62,13.26,10
292,46,73,3,30,2,100,18.49,16,89.34,12.76,5
293,98,229,1,33,2,483,10.94,3,63.06,9.22,0
294,27,262,4,5,1,107,0.55,7,74.29,12.6,5
295,82,270,5,29,3,455,13.84,20,80.09,9.92,0
296,82,187,2,22,3,168,6.58,10,61.27,5.09,4
297,12,186,3,19,2,232,7.37,6,95.25,7.02,7
298,81,256,1,18,5,115,4.91,8,89.69,4.92,3
299,64,242,5,40,3,311,8.9,19,69.27,7.84,5
300,33,130,3,14,1,472,0.33,1,60.22,2.79,9
301,60,27,2,29,1,398,19.03,7,79.66,12.76,8
302,29,102,3,22,4,270,12.13,9,91.57,9.64,7
303,36,215,2,13,4,112,6.55,18,82.18,10.72,8
304,92,50,2,37,5,373,19.61,14,68.64,3.09,4
305,3,177,2,34,3,284,14.93,19,75.57,4.16,0
306,97,181,5,44,4,142,11.4,17,74.12,9.49,6
307,75,142,5,2,5,421,9.97,17,97.92,4.69,9
308,11,267,3,21,4,388,16.19,17,80.4,14.89,6
309,56,179,4,19,2,157,15.53,15,93.91,8.46,3
310,10,153,1,31,4,361,16.99,6,65.48,14.81,9
311,41,296,2,29,3,187,4.31,10,71.31,13.94,0
312,66,140,1,21,2,213,14.01,17,89.1,7.58,9
313,44,5,5,25,2,337,11.65,9,74.09,14.95,4
314,96,104,1,9,3,228,18.55,3,84.59,3.43,4
315,7,84,5,42,5,190,11.7,14,91.87,7.82,3
316,10,37,4,3,3,485,17.39,10,90.2,6.86,10
317,97,34,5,15,2,166,6.29,16,87.75,1.66,7
318,25,190,3,8,3,239,11.49,12,87.55,0.45,0
319,55,40,3,48,1,431,1.9,16,71.54,3.01,3
320,5,93,1,1,1,349,1.73,6,80.06,11.63,6
321,14,220,1,37,4,430,1.89,2,91.62,6.64,6
322,27,121,3,41,5,351,19.45,2,86.16,2.42,1
323,39,107,3,1,3,404,11.13,9,97.85,1.39,6
324,81,153,1,48,5,64,8.64,16,92.67,7.93,1
325,40,32,5,39,1,153,13.25,4,79.4,14.35,10
326,41,65,5,28,4,167,15.14,4,79.83,2.85,6
327,64,58,2,28,3,396,5.95,8,67.34,10.79,8
328,46,206,1,25,4,392,1.77,15,84.87,1.49,10
329,40,66,4,47,2,486,12.83,12,71.05,1.11,1
330,70,161,4,42,1,322,2.83,3,81.95,0.07,10
331,86,96,1,42,1,55,2.83,14,88.74,13.47,2
332,36,125,5,27,5,397,18.98,4,94.64,10.58,2
333,83,61,3,7,1,305,1.2,19,75.96,1.43,4
334,23,253,4,29,3,91,0.25,12,78.21,7.74,9
335,15,169,1,39,1,413,5.21,6,77.95,5.05,8
336,28,123,2,8,3,477,17.02,1,86.07,14.09,8
337,72,239,3,15,2,295,8.27,8,60.41,4.75,2
338,89,186,1,42,5,440,7.06,13,72.37,7.29,0
339,40,110,4,3,2,85,11.23,8,72.81,14.05,3
340,72,280,1,46,4,449,19.07,2,79.57,13.34,10
341,30,92,4,9,4,108,11.08,1,95.18,3.16,6
342,88,104,1,39,2,149,10.55,3,88.89,8.62,7
343,92,110,5,34,3,298,16.04,13,61.66,7.09,2
344,80,61,4,28,5,477,13.11,15,97.94,3.11,9
345,6,270,1,5,4,349,6.05,1,91.55,5.9,7
346,70,210,2,6,2,178,0.93,20,84.15,12.33,1
347,21,221,1,10,2,345,12.97,19,85.09,7.82,8
348,53,138,1,45,4,267,19.78,13,67.02,5.24,1
349,100,17,1,22,1,216,13.45,17,62.99,2.41,9
350,49,239,1,11,2,237,15.28,12,86.71,11.03,8
351,7,282,2,22,1,330,2.94,18,96.71,12.78,3
352,14,145,1,31,4,289,7.71,19,98.69,6.05,7
353,64,154,4,46,3,462,18.22,9,62.6,14.67,3
354,66,149,4,35,5,121,2.34,11,67.86,12.11,6
355,44,41,5,11,4,417,4.56,19,90.56,13.58,2
356,54,27,1,14,1,300,18.39,12,95.66,1.69,3
357,49,51,5,15,1,64,1.49,19,63.46,9.38,7
358,95,232,4,12,5,318,9.07,12,60.24,4.08,0
359,100,183,2,23,3,78,3.06,19,69.81,13.09,3
360,8,148,4,23,3,331,3.26,14,98.26,11.93,3
361,100,91,1,4,3,251,9.83,8,95.97,2.69,2
362,44,246,1,42,5,433,2.54,17,84.21,13.97,2
363,9,253,5,41,3,75,11.55,17,84.8,3.68,9
364,50,118,4,50,4,271,5.75,18,87.98,2.59,2
365,70,189,1,37,3,381,19.29,1,94.22,2.01,0
366,83,129,4,8,2,97,3.71,20,69.13,9.49,4
367,55,278,5,42,5,341,9.59,12,91.36,10.31,2
368,56,159,3,1,3,143,15.51,19,93.13,14.57,9
369,83,270,1,37,2,116,4.42,5,75.36,1.65,4
370,40,222,2,13,3,175,4.1,0,76.88,12.21,2
371,95,42,5,45,2,276,19.85,14,78.24,3.66,5
372,56,278,1,38,5,267,13.14,19,87.47,10.47,0
373,40,125,4,9,3,221,16.47,6,80.25,12.94,10
374,17,287,5,36,5,302,19.74,3,87.98,0.44,2
375,58,111,2,34,1,186,0.37,11,87.11,4.56,10
376,62,181,1,7,2,411,10.53,18,97.76,12.63,5
377,8,266,2,13,1,447,11.96,10,69.94,3.2,1
378,17,192,4,8,3,460,1.31,9,95.2,8.74,9
379,69,127,5,36,2,279,13.92,5,69.41,4.94,3
380,64,230,4,15,1,73,11.21,18,98.63,12.17,5
381,26,199,1,18,5,450,3.19,19,95.04,11.25,1
382,46,300,4,45,5,175,17.39,4,64.65,14.2,9
383,46,199,1,6,3,476,10.13,1,76.57,7.47,9
384,61,2,4,7,3,444,0.81,3,90.37,8.57,7
385,11,95,2,41,4,433,4.0,10,79.64,11.37,1
386,11,152,2,32,3,491,11.55,2,82.51,1.42,1
387,85,250,3,49,5,362,8.08,9,67.96,14.95,8
388,61,30,1,22,5,111,8.34,19,73.57,1.11,10
389,27,229,4,7,4,71,19.87,8,77.97,1.48,2
390,36,53,3,43,4,345,3.89,13,81.8,6.58,0
391,26,89,3,49,4,337,7.09,19,77.81,11.65,2
392,84,74,4,29,1,75,19.02,15,83.33,12.64,4
393,92,218,5,6,4,229,17.71,1,97.18,11.11,6
394,76,236,3,9,1,332,7.02,6,62.35,8.57,9
395,41,1,1,25,1,324,0.46,6,65.48,14.45,0
396,43,209,4,42,1,452,18.56,6,88.02,7.0,3
397,94,81,2,37,4,322,17.1,17,78.32,2.43,6
398,45,20,1,35,2,93,10.45,16,74.83,1.0,4
399,48,214,2,37,4,408,15.53,6,77.62,13.68,2
400,91,235,5,19,4,378,5.68,1,73.62,12.69,5
401,26,85,3,21,1,196,4.86,6,82.08,12.54,7
402,66,136,1,3,1,303,0.32,20,94.34,14.97,7
403,18,284,1,28,2,478,5.68,3,92.8,8.94,5
404,39,100,1,3,2,85,19.18,0,87.54,7.8,2
405,73,8,5,25,2,347,6.56,15,75.62,1.64,1
406,13,292,2,50,2,283,10.89,19,79.18,2.98,6
407,43,108,4,44,3,426,14.65,1,79.88,2.74,10
408,11,107,4,24,5,246,15.67,2,64.74,13.1,10
409,98,251,3,38,3,446,14.04,12,67.95,11.94,5
410,35,77,2,34,3,446,12.28,10,86.61,5.48,9
411,96,92,4,46,4,164,10.94,18,62.54,8.41,9
412,78,126,2,8,3,404,15.97,13,95.45,5.9,7
413,90,211,5,15,1,287,6.89,9,95.75,5.46,0
414,31,294,4,20,3,174,6.09,11,61.31,3.29,9
415,62,290,3,47,3,166,18.03,18,62.65,8.98,3
416,51,32,3,48,1,327,7.2,13,66.28,3.45,10
417,51,125,4,35,5,232,16.36,11,78.59,7.92,4
418,53,109,4,26,3,392,11.72,13,84.6,13.79,7
419,17,236,5,14,4,174,10.04,18,82.75,1.23,7
420,99,188,5,41,3,284,3.05,6,72.62,9.69,2
421,17,79,1,9,2,339,19.19,12,72.24,9.16,3
422,42,87,1,27,5,353,19.17,14,98.49,0.62,4
423,7,175,3,9,5,491,1.12,10,71.24,9.96,8
424,98,248,3,42,3,311,10.78,9,91.47,14.27,3
425,85,104,3,11,3,293,0.59,9,76.78,10.55,6
426,79,211,4,25,2,424,9.2,0,75.46,10.11,9
427,43,200,3,40,1,255,1.88,5,61.95,8.02,9
428,6,26,5,24,4,500,11.45,17,77.61,11.25,5
429,26,285,5,13,4,147,9.84,13,68.57,1.05,7
430,58,157,5,1,4,143,15.26,9,98.47,14.44,0
431,26,271,3,9,2,306,17.68,8,98.32,8.34,5
432,43,128,1,14,5,473,12.61,5,89.23,0.95,1
433,78,121,4,16,3,411,16.83,20,81.13,12.99,1
434,9,78,5,18,3,205,15.84,15,73.07,9.96,3
435,89,268,2,39,5,230,10.57,20,73.95,8.95,10
436,10,266,5,48,4,447,12.49,2,80.97,7.27,6
437,11,169,5,34,3,284,5.9,19,74.81,6.3,6
438,10,92,1,36,1,252,10.3,0,63.12,3.0,7
439,31,34,5,26,5,391,10.17,15,81.4,8.32,1
440,74,199,4,22,4,145,0.07,1,69.93,8.0,9
441,37,227,2,9,5,267,3.57,14,95.95,8.66,3
442,86,91,2,30,4,210,11.24,10,88.85,2.05,8
443,75,151,5,47,4,370,0.85,2,80.95,14.07,1
444,73,140,3,1,3,467,6.1,17,79.61,2.33,9
445,63,39,2,40,4,440,18.5,13,72.94,10.6,3
446,96,300,2,11,1,466,13.2,11,78.07,2.13,5
447,27,241,2,26,5,325,0.12,8,69.09,13.6,3
448,66,92,1,40,1,449,6.24,12,72.21,2.5,8
449,24,163,3,12,1,53,14.33,19,67.72,3.1,3
450,48,11,4,7,2,239,2.43,18,97.58,6.46,9
451,60,45,2,6,4,263,8.5,16,95.22,13.79,5
452,70,125,2,1,2,421,6.79,18,74.96,11.86,6
453,56,221,5,38,2,365,3.77,20,79.54,4.62,1
454,19,125,2,11,5,411,3.14,13,80.9,7.91,5
455,91,244,5,41,4,260,0.37,8,99.88,11.23,3
456,83,56,5,38,3,166,6.85,0,66.62,14.03,2
457,65,245,2,17,5,215,8.53,19,87.15,4.06,5
458,33,124,5,48,4,103,12.08,7,83.46,8.78,10
459,29,21,3,25,2,474,13.37,14,92.44,1.77,4
460,29,31,2,8,5,376,11.46,1,60.36,14.41,0
