Infra_id,Date_id,Systeme_id,Employe_id,Taux_disponibilité_système,Nb_incidents_résolus,Temps_moyen_résolution,Taux_conformité_normes,Taux_reponse_plateforme
235,5,44,261,99.26,20,43.9,88.18,71.7
236,78,28,277,92.23,36,42.39,99.67,98.16
237,60,40,270,85.26,5,1.7,94.84,87.3
238,5,13,90,84.08,13,11.06,74.02,90.47
239,64,6,294,92.39,6,34.85,98.12,78.77
240,31,36,175,85.48,40,38.92,97.45,91.95
241,35,35,227,80.33,26,35.95,94.84,94.04
242,9,8,81,89.74,12,29.23,97.11,91.22
243,84,27,16,97.18,40,20.41,76.21,70.97
244,56,47,74,86.45,37,18.82,86.38,86.48
245,8,46,175,95.98,32,39.54,98.57,85.27
246,24,27,126,98.63,30,28.05,76.19,81.33
247,37,16,87,84.9,23,12.4,76.76,74.82
248,80,13,292,89.26,35,43.99,88.79,81.5
249,79,40,111,88.35,37,37.28,74.05,86.6
250,27,49,170,85.94,11,16.08,88.12,83.36
251,9,7,114,82.79,13,36.03,97.98,95.99
252,40,15,285,83.46,32,16.65,96.5,72.65
253,67,4,120,88.63,34,2.91,90.99,70.41
254,14,3,186,81.18,26,19.86,73.17,99.11
255,25,48,133,92.44,12,45.68,84.4,89.28
256,73,17,24,89.66,48,13.28,71.9,73.12
257,14,38,278,82.87,21,9.75,83.8,70.13
258,97,20,234,82.76,33,43.74,91.84,82.78
259,4,7,37,97.41,10,10.58,95.24,93.72
260,6,18,230,84.69,40,33.7,79.17,82.56
261,12,47,24,82.51,15,37.87,73.25,92.91
262,72,34,207,93.87,11,31.26,83.64,79.23
263,87,46,17,81.59,35,28.04,97.32,73.06
264,63,38,114,95.85,4,32.43,98.31,92.96
265,17,5,199,86.53,38,21.5,70.93,77.89
266,72,7,107,81.28,6,1.81,76.93,97.6
267,37,8,62,83.73,0,35.94,78.16,89.44
268,51,1,94,95.9,8,19.19,97.93,73.87
269,37,9,143,95.9,38,12.39,96.78,94.82
270,19,12,156,92.26,33,38.63,72.47,97.72
271,23,18,170,98.02,17,3.49,70.4,90.36
272,96,19,218,81.35,47,39.88,78.18,75.57
273,49,47,296,82.43,25,17.86,89.23,78.55
274,39,40,16,97.47,31,3.17,99.25,91.9
275,16,11,37,96.43,50,40.36,81.84,86.78
276,68,47,165,90.99,37,23.66,77.71,92.99
277,36,34,175,86.32,14,36.92,86.48,77.69
278,5,41,205,95.2,8,32.44,70.13,72.35
279,19,10,75,89.6,34,3.34,89.44,85.12
280,50,5,104,85.03,5,19.47,75.5,91.21
281,44,6,216,96.76,36,30.63,89.83,91.46
282,76,7,233,92.34,38,16.5,76.73,86.77
283,70,31,26,97.48,45,40.68,78.64,85.52
284,75,10,121,93.43,22,29.21,75.38,70.05
285,15,36,246,90.66,9,22.19,95.18,95.48
286,1,13,101,83.41,6,33.58,91.54,83.07
287,6,5,69,95.0,13,30.31,93.18,89.03
288,27,18,71,96.37,40,25.67,94.9,82.0
289,18,18,62,87.21,17,44.76,85.21,83.72
290,46,45,59,93.51,0,19.75,91.87,91.78
291,5,9,185,83.54,23,19.67,95.43,75.27
292,57,47,166,85.99,44,40.32,96.81,75.78
293,87,28,15,97.67,8,10.09,70.15,76.98
294,9,14,259,80.99,14,7.91,90.15,75.99
295,3,11,49,98.06,20,12.52,86.46,79.82
296,8,17,161,90.81,22,36.61,71.29,70.56
297,56,14,114,82.14,6,1.56,84.75,78.31
298,82,43,245,93.04,33,2.05,93.58,99.63
299,51,27,276,84.98,27,39.65,77.46,97.75
300,87,32,111,85.9,6,3.25,72.95,91.02
301,54,10,153,95.56,10,29.75,94.18,92.0
302,67,10,17,83.15,26,24.76,97.73,77.08
303,16,33,292,86.79,23,38.73,82.46,71.62
304,71,48,226,82.25,47,9.94,89.17,98.21
305,96,29,90,92.92,13,2.79,81.71,89.98
306,10,34,22,82.47,6,25.98,86.56,87.6
307,90,25,146,80.42,28,45.61,86.23,72.87
308,76,50,109,97.74,30,42.72,74.28,85.98
309,55,29,77,92.05,45,42.69,92.87,87.29
310,55,24,247,93.39,1,2.67,77.81,72.41
311,85,44,180,86.86,34,25.74,84.39,85.43
312,46,9,128,86.41,12,45.54,86.26,89.1
313,49,46,123,86.84,17,3.58,93.84,78.14
314,54,22,67,98.63,33,47.79,72.57,78.6
315,52,2,74,97.02,18,10.13,81.45,85.36
316,19,21,169,91.76,6,32.07,75.51,80.96
317,37,46,207,81.23,6,21.48,81.46,71.72
318,7,16,131,86.87,7,43.29,72.52,86.27
319,20,45,124,88.85,34,2.81,97.64,92.09
320,54,34,169,98.09,21,18.74,87.64,71.24
321,2,19,86,90.45,2,13.49,95.31,74.19
322,48,29,6,80.16,17,4.63,89.21,75.94
323,59,43,157,89.33,36,2.89,73.95,75.52
324,82,15,293,94.44,16,33.67,98.29,86.16
325,9,48,146,87.6,10,7.41,87.21,70.03
326,62,12,267,97.09,26,42.44,99.72,73.67
327,89,22,299,96.71,38,16.14,74.28,83.22
328,32,11,193,90.35,40,35.47,82.65,87.88
329,80,6,41,84.73,38,46.05,91.3,72.03
330,87,46,125,84.12,14,9.85,93.03,82.04
331,22,11,153,80.59,38,38.12,79.56,98.12
332,85,20,75,98.75,48,11.25,79.66,97.07
333,60,12,119,97.85,19,24.6,86.66,80.47
334,17,4,253,99.48,33,25.42,71.1,78.6
335,51,31,228,84.63,33,28.73,72.28,80.92
336,58,40,276,93.94,31,17.54,88.64,80.35
337,79,47,208,98.08,2,35.85,88.81,76.34
338,45,47,107,99.21,44,44.44,70.25,77.65
339,30,48,98,99.26,15,29.9,84.47,75.48
340,79,37,183,92.2,39,0.73,70.91,88.61
341,50,8,137,81.63,35,6.4,74.13,84.54
342,42,30,252,99.72,38,8.47,85.59,95.02
343,4,7,270,82.62,35,14.58,91.54,90.33
344,78,12,143,96.52,6,14.25,73.09,70.89
345,75,28,252,97.71,9,15.43,76.85,94.43
346,68,19,220,89.67,15,25.6,78.86,88.96
347,100,19,127,81.98,44,22.66,70.93,77.16
348,62,32,226,84.67,31,45.94,96.18,93.41
349,65,8,220,90.73,4,13.47,86.37,81.7
350,47,5,172,99.75,31,28.57,74.51,76.08
351,84,20,22,80.28,4,21.48,82.43,72.88
352,23,17,143,91.8,1,39.56,71.24,72.2
353,32,36,290,85.19,34,7.77,79.38,84.83
354,78,5,156,94.93,23,11.34,74.33,79.81
355,69,2,264,82.67,47,28.14,98.35,99.91
356,8,31,216,89.94,24,31.19,90.19,79.96
357,8,12,57,82.55,0,16.83,90.65,93.02
358,56,13,298,86.72,2,0.96,75.13,99.12
359,99,8,223,84.74,29,22.14,83.28,90.26
360,18,27,208,92.06,34,38.55,79.55,81.21
361,43,2,276,94.47,1,14.01,94.67,95.66
362,37,48,48,88.78,46,1.64,74.76,77.23
363,98,20,254,89.48,0,23.84,89.83,77.5
364,63,18,87,97.86,17,47.78,89.05,80.44
365,71,13,278,99.5,12,32.53,77.22,78.97
366,11,23,211,94.48,44,7.1,86.52,87.89
367,97,14,282,97.01,30,47.22,89.86,83.81
368,42,34,245,96.92,39,29.48,86.65,70.8
369,9,22,32,95.17,46,40.68,90.07,73.66
370,33,44,65,96.13,29,3.13,78.93,94.55
371,64,46,226,81.01,21,1.94,85.48,98.48
372,62,5,211,88.59,21,10.5,88.33,87.86
373,32,32,121,97.71,35,11.34,98.01,83.24
374,49,38,72,89.86,18,3.09,77.6,92.65
375,96,40,5,86.42,30,16.05,92.26,94.39
376,38,3,208,91.46,37,26.6,83.45,73.66
377,18,17,191,82.79,32,34.8,90.92,93.92
378,55,50,175,95.38,31,8.66,78.07,77.84
379,86,33,102,93.16,31,2.1,73.72,73.88
380,68,23,47,86.12,43,2.65,95.57,88.07
381,57,11,50,83.13,22,31.54,97.95,84.99
382,60,23,279,80.81,33,23.84,91.96,90.38
383,22,25,220,97.22,26,40.98,71.27,90.93
384,18,22,250,91.13,8,42.92,94.62,71.48
385,42,37,61,97.37,35,11.77,73.31,74.17
386,88,34,91,81.2,1,14.03,97.38,92.3
387,12,40,38,97.82,7,2.88,79.58,82.86
388,10,46,11,94.3,7,11.58,83.87,94.47
389,78,49,127,83.04,24,17.03,70.3,72.96
390,87,8,229,80.93,29,29.5,79.46,94.88
391,25,30,34,87.94,1,9.78,80.72,81.52
392,26,41,67,89.52,3,24.27,89.61,95.87
393,27,44,40,82.02,40,31.15,72.35,87.27
394,40,21,212,98.03,17,14.47,73.9,92.62
395,66,12,86,90.13,42,5.16,99.71,93.22
396,32,34,21,93.66,39,2.18,81.26,80.89
397,40,38,53,95.51,24,5.01,82.03,76.09
398,76,20,291,82.71,13,23.13,71.93,81.15
399,41,23,139,95.37,21,31.0,83.4,85.4
400,54,18,175,95.14,22,41.32,76.03,79.57
401,82,10,113,84.04,23,35.39,84.71,85.73
402,56,38,117,95.63,6,23.66,71.02,81.37
403,81,18,167,88.92,22,12.02,83.33,76.02
404,53,14,270,95.03,46,12.51,81.43,75.92
405,31,8,236,89.94,7,9.9,92.76,81.08
406,75,23,35,83.23,10,37.05,71.81,97.97
407,58,43,46,86.58,32,42.6,83.21,78.55
408,52,1,3,82.28,29,16.3,97.02,80.15
409,70,33,251,98.28,26,34.12,96.27,85.93
410,34,44,241,98.98,43,8.16,92.3,91.64
411,75,47,86,81.62,17,20.48,79.39,83.31
412,36,2,42,86.26,39,21.29,83.55,97.31
413,53,45,212,99.5,49,39.31,99.5,89.31
414,100,11,85,83.26,43,36.1,89.26,71.49
415,18,49,234,89.7,44,10.68,88.32,74.2
416,89,20,268,97.99,38,8.65,73.71,80.57
417,23,47,119,90.96,31,45.66,97.85,78.87
418,31,10,167,87.9,22,20.0,89.96,87.25
419,30,5,181,93.23,34,27.8,84.6,79.41
420,30,29,95,80.15,17,31.73,75.64,75.17
421,64,1,249,93.23,39,45.6,91.81,81.01
422,88,24,119,92.12,44,14.94,90.77,98.05
423,32,7,42,83.59,29,5.5,83.36,93.82
424,31,19,5,84.88,21,38.89,79.58,89.12
425,34,21,237,89.55,44,36.5,91.64,92.04
426,89,41,106,81.84,30,33.59,91.94,89.74
427,8,43,269,85.0,4,21.42,88.82,98.05
428,88,47,230,97.54,44,40.22,92.24,79.85
429,62,7,229,98.11,22,34.54,82.13,82.87
430,24,22,225,92.11,36,18.73,81.09,89.3
431,15,50,112,95.75,14,18.22,82.88,89.92
432,1,50,46,93.14,36,13.99,98.3,70.75
433,59,31,203,91.89,47,32.62,72.67,86.48
434,83,43,224,92.81,20,47.68,84.2,73.05
435,38,37,284,82.17,50,31.29,77.44,78.35
436,99,17,260,95.27,18,33.62,86.06,99.52
437,71,33,215,88.08,29,28.52,99.89,99.35
438,93,5,240,86.95,31,32.09,97.84,81.39
439,25,45,220,80.41,49,11.02,86.47,77.34
440,62,12,131,99.4,21,28.59,84.6,82.7
441,68,9,288,97.66,35,47.06,91.7,86.95
442,7,19,12,93.97,22,31.67,97.99,79.82
443,35,45,278,88.12,12,33.49,80.93,78.54
444,83,8,1,90.05,37,42.89,77.83,75.84
445,23,27,23,98.85,7,15.0,73.53,73.65
446,51,4,259,91.7,16,47.92,99.33,89.55
447,31,6,90,97.39,34,19.05,86.81,96.12
448,73,42,259,81.0,32,47.91,78.89,99.67
449,7,19,173,98.21,48,4.32,88.38,87.95
450,7,29,82,84.82,14,1.25,83.0,72.04
451,99,10,223,86.19,21,0.87,76.29,78.58
452,45,3,59,84.44,4,6.73,80.15,87.3
453,14,15,10,83.3,19,42.47,93.03,93.43
454,49,38,220,87.71,34,34.46,71.76,82.8
455,39,3,296,95.57,44,30.76,91.17,97.98
456,44,47,62,95.86,13,2.87,78.87,95.9
457,3,33,154,81.76,24,30.11,84.46,74.54
458,98,3,18,82.56,0,45.7,80.4,93.15
459,84,24,78,80.81,46,35.59,73.35,71.84
460,87,42,164,81.51,16,9.55,94.31,72.96
461,1,39,83,83.84,13,29.31,73.48,83.97
462,68,1,234,82.85,34,12.45,91.71,84.69
463,64,50,154,92.24,36,32.54,96.23,73.73
464,29,45,280,94.94,2,44.47,78.29,81.39
465,21,5,53,91.27,31,30.66,73.89,72.2
466,49,33,46,99.09,41,40.69,75.32,85.76
467,45,15,228,96.24,3,25.54,84.61,75.35
468,11,32,32,91.43,45,36.4,78.19,91.45
469,46,3,250,98.39,6,13.35,80.67,93.14
470,81,33,11,84.35,16,45.96,90.97,85.15
471,20,47,261,98.77,46,22.79,88.82,73.83
472,69,26,61,90.64,44,44.39,81.4,91.1
473,36,45,276,97.33,45,3.75,86.34,80.52
474,98,32,21,91.86,8,30.93,75.99,81.6
475,43,39,147,86.62,7,17.62,78.43,78.95
476,45,14,196,81.06,1,15.78,74.13,81.05
477,14,34,198,82.07,0,21.32,94.0,95.03
478,5,4,112,86.26,40,28.62,74.27,99.81
479,84,27,156,96.76,34,47.73,84.22,71.57
480,99,16,39,89.58,46,18.18,94.35,92.07
481,67,20,79,91.62,44,42.74,97.0,83.06
482,72,10,131,92.75,3,14.32,85.02,90.4
483,71,45,28,93.92,46,39.11,92.03,98.34
484,31,48,127,86.84,41,12.65,97.41,82.4
485,32,36,263,97.0,17,10.72,71.48,79.82
486,74,41,185,93.53,19,46.41,71.35,80.06
487,35,26,136,81.35,27,24.72,76.25,83.95
488,55,28,53,99.01,41,38.23,83.77,78.53
489,49,7,103,90.66,17,36.74,86.23,87.9
490,99,42,277,99.22,18,20.35,71.26,72.27
491,96,29,53,92.12,13,19.72,92.87,73.55
492,87,30,110,91.21,34,42.92,93.09,75.11
493,54,6,288,98.58,2,27.41,92.57,70.89
494,55,13,154,95.4,13,30.84,78.37,93.76
495,64,34,81,99.01,29,26.23,92.15,81.55
496,44,10,24,96.61,49,20.54,89.51,87.81
497,12,37,260,81.26,37,38.06,94.84,91.01
498,51,12,167,86.8,19,35.74,79.3,99.19
499,59,45,170,82.56,44,47.96,98.06,99.21
500,40,39,158,97.08,50,37.95,70.53,91.0
501,81,50,44,87.76,40,5.32,76.44,98.45
502,84,9,282,96.03,29,45.16,77.38,71.87
503,19,15,265,90.71,10,38.02,75.4,85.18
504,42,18,208,80.8,0,25.76,85.94,87.1
505,10,28,131,92.53,47,23.95,82.97,97.42
506,91,31,96,83.26,33,36.29,93.51,86.73
507,97,2,197,96.88,23,7.94,73.8,85.64
508,30,43,300,97.35,42,8.66,91.4,98.83
509,95,16,176,96.73,39,43.32,84.63,80.03
510,5,9,178,80.45,22,37.71,83.1,73.87
511,30,20,122,95.6,3,18.13,80.6,93.91
512,89,40,112,83.66,2,22.33,94.95,74.56
513,73,26,197,97.38,16,12.3,95.02,75.31
514,36,11,211,99.4,39,9.42,75.8,96.2
515,92,31,291,97.9,9,19.25,99.07,90.21
516,33,11,195,96.47,6,14.76,93.93,93.77
517,68,8,149,90.19,22,33.47,94.77,84.01
518,42,14,93,97.24,0,26.19,78.07,87.51
519,99,49,271,91.96,44,30.71,80.71,72.19
520,30,15,254,95.39,7,45.57,90.41,91.71
521,39,48,31,87.35,12,1.95,89.24,79.83
522,16,2,115,88.98,0,15.73,84.2,93.03
523,24,15,163,88.44,48,33.38,90.04,88.73
524,58,8,300,84.34,27,26.23,77.22,91.98
525,17,26,78,89.88,3,25.57,85.59,88.97
526,89,47,45,90.96,10,42.95,71.16,92.42
527,51,5,271,99.81,16,4.49,78.76,84.88
528,26,23,24,86.71,6,2.73,83.28,79.97
529,11,9,285,90.49,10,32.75,98.3,87.66
530,37,24,91,82.26,29,17.39,80.19,86.61
531,26,48,227,87.31,13,12.83,73.59,97.32
532,4,38,128,83.78,29,6.03,80.66,83.16
