Production_id,Date_id,Journaliste_id,Media_id,Thematique_id,NB_Depeches_publiées,NB_articles_multilingues,Taux_respect_délais,Nb_photos_vidéos_produites,Taux_publication_conjointe,Nb_erreurs_corrigées,Nb_relecture
138,32,19,3,16,5,5,64.94,4,0.1,2,1
139,21,11,6,8,4,2,64.02,1,0.6,0,0
140,52,16,10,16,10,0,68.09,1,0.32,1,0
141,93,14,7,11,2,4,88.31,3,0.61,1,1
142,71,4,6,6,9,2,79.1,5,0.89,0,5
143,71,7,2,16,6,4,73.49,3,0.56,2,1
144,26,14,11,13,7,2,81.53,5,0.47,2,5
145,60,19,10,15,8,1,63.29,2,0.98,2,5
146,77,3,2,6,5,1,98.98,8,0.52,1,5
147,95,2,11,15,1,4,81.84,6,0.46,1,1
148,88,2,9,15,4,0,75.95,4,0.92,1,2
149,2,15,3,2,9,0,82.2,1,0.05,1,0
150,13,11,6,8,7,2,77.69,0,0.7,3,4
151,50,7,3,15,9,2,65.41,4,0.75,3,1
152,75,8,9,10,8,5,94.29,1,0.46,0,3
153,71,11,11,14,10,4,77.63,2,0.27,1,1
154,57,5,2,8,7,0,69.64,5,0.36,2,2
155,23,5,4,16,2,5,60.94,8,0.16,1,5
156,19,15,7,9,8,3,96.8,3,0.32,2,2
157,59,18,6,10,7,0,80.12,4,0.57,1,2
158,72,19,5,7,1,4,69.46,1,0.16,0,5
159,27,18,7,14,9,0,69.41,8,0.05,0,0
160,94,13,11,16,4,2,90.44,3,0.16,1,4
161,96,6,3,10,3,2,64.81,6,0.15,3,4
162,79,19,8,13,5,2,89.09,2,1.0,0,4
163,22,8,6,9,5,0,91.39,7,0.5,1,0
164,22,14,8,3,9,0,92.0,3,0.54,3,4
165,32,8,7,12,5,1,64.67,5,0.09,3,1
166,79,1,9,6,8,0,97.48,3,0.05,2,4
167,5,20,8,3,6,1,69.25,8,0.12,3,0
168,53,4,8,15,6,3,86.51,8,0.96,2,4
169,11,1,8,6,3,3,94.23,4,0.47,1,3
170,52,18,7,14,6,3,70.39,5,0.55,3,2
171,54,16,2,14,10,3,91.64,3,0.82,0,2
172,30,18,8,12,10,5,90.23,6,0.84,2,2
173,41,19,9,15,3,4,98.98,1,0.94,2,4
174,77,11,9,15,3,5,90.28,0,0.35,2,5
175,11,1,8,3,7,2,68.5,0,0.75,1,1
176,17,5,10,14,4,1,82.71,4,0.98,3,4
177,44,11,10,2,10,5,65.11,8,0.07,0,3
178,88,13,11,5,6,3,80.32,1,0.38,1,3
179,86,13,10,6,4,3,69.44,3,0.98,2,1
180,34,8,8,5,2,3,84.0,2,0.81,1,0
181,40,11,4,8,4,1,78.37,6,0.24,1,5
182,34,12,9,10,8,4,85.03,5,0.77,0,0
183,37,19,5,14,4,4,68.74,1,0.21,0,4
184,71,6,8,5,5,1,60.24,1,0.36,2,5
185,90,6,5,2,4,4,60.9,3,0.7,2,2
186,79,20,2,14,8,3,64.12,7,0.94,3,5
187,79,11,8,9,6,4,78.82,4,0.31,2,0
188,65,16,4,13,1,1,78.89,7,0.17,1,2
189,53,20,11,15,10,5,91.85,5,0.83,0,4
190,34,7,7,5,5,2,89.88,5,0.93,2,4
191,50,10,7,10,3,5,76.92,1,0.37,0,3
192,47,9,5,11,4,2,65.73,6,0.62,3,0
193,59,13,4,7,2,5,89.34,5,0.54,0,1
194,12,12,10,8,9,3,87.73,3,0.72,3,4
195,73,16,10,9,2,4,80.92,8,0.62,0,5
196,4,12,6,16,10,0,60.07,4,0.03,3,0
197,19,6,10,14,10,2,87.3,5,0.69,3,4
198,95,20,3,13,8,0,86.17,7,0.25,2,2
199,7,3,3,12,4,1,76.75,2,0.74,1,5
200,79,6,10,6,7,0,81.11,5,0.09,3,1
201,51,3,8,8,3,1,97.58,1,0.43,2,2
202,28,15,11,11,3,1,92.44,8,0.27,1,4
203,68,16,6,13,7,4,91.34,6,0.65,0,5
204,16,7,10,11,6,2,96.59,2,0.8,2,4
205,25,2,10,6,4,4,72.18,2,0.98,2,3
206,48,9,11,15,10,0,90.04,1,0.96,3,2
207,47,18,3,15,3,2,66.59,6,0.07,0,0
208,25,10,9,12,1,2,76.3,8,0.92,0,5
209,21,2,4,4,9,3,90.61,2,0.03,1,1
210,4,18,7,7,7,3,65.42,1,0.15,0,4
211,62,10,7,14,4,2,62.79,2,0.62,3,2
212,2,6,2,5,3,4,91.33,8,0.36,1,3
213,39,11,11,10,6,3,87.8,3,0.1,3,4
214,46,3,5,12,4,1,98.02,3,0.94,1,1
215,43,19,8,2,2,5,89.07,7,0.16,3,0
216,75,9,7,7,4,1,67.73,4,0.61,2,5
217,36,3,7,2,5,0,73.66,8,0.68,2,2
218,20,5,10,5,2,5,61.69,5,0.71,1,4
219,88,15,7,12,2,1,66.37,1,0.44,0,0
220,1,8,6,9,1,4,67.97,6,0.07,1,1
221,21,11,10,2,10,5,76.27,4,0.39,0,0
222,59,20,5,11,7,5,86.14,8,0.87,1,4
223,30,19,5,4,4,4,75.74,7,0.24,1,1
224,78,5,7,2,5,1,95.34,6,0.49,0,5
225,32,20,6,5,4,5,76.72,4,0.76,3,5
226,41,17,2,16,6,4,99.25,2,0.41,2,5
227,69,4,2,7,6,4,80.7,7,0.41,0,5
228,86,8,6,11,9,2,76.49,5,0.5,2,5
229,41,6,4,3,2,1,67.19,0,0.92,3,1
230,16,7,6,13,6,2,61.45,8,0.33,0,4
231,61,8,2,13,8,4,81.78,0,0.92,1,2
232,12,12,4,16,5,2,66.62,3,0.76,0,5
233,15,17,2,9,5,5,97.91,1,0.23,2,2
234,99,20,9,10,8,5,69.82,2,0.45,0,2
235,47,15,3,11,10,2,74.79,4,0.78,1,2
236,46,14,6,16,1,1,71.83,0,0.89,3,0
237,79,2,9,7,5,4,84.97,2,0.64,2,4
238,60,12,3,6,3,1,95.08,7,0.4,1,3
239,40,18,2,10,4,4,87.54,6,0.72,3,1
240,22,14,11,6,3,3,85.54,2,0.27,1,0
241,38,14,8,4,1,3,79.34,7,0.57,1,4
242,43,2,5,5,4,1,71.15,2,0.22,3,1
243,85,7,7,4,8,4,76.47,7,0.55,1,3
244,97,8,6,5,9,3,83.04,3,0.1,0,5
245,6,6,4,9,5,3,81.73,8,0.29,3,3
246,61,10,11,15,3,0,91.31,0,0.28,2,5
247,78,12,8,9,9,3,78.15,8,0.13,2,1
248,74,6,3,13,3,2,89.1,1,0.48,2,1
249,80,2,3,11,8,1,74.74,1,0.56,2,2
250,21,17,3,3,6,4,99.86,2,0.93,2,0
251,54,17,8,11,8,2,63.56,8,0.5,2,2
252,20,18,4,7,8,1,89.94,5,0.18,3,3
253,4,10,5,4,7,2,86.68,8,0.27,1,2
254,96,3,8,4,10,4,72.75,5,0.32,1,2
255,14,15,10,15,3,2,74.73,8,0.86,2,0
256,8,14,2,5,2,5,94.22,4,0.54,3,3
257,24,12,10,12,2,0,71.2,1,0.34,1,3
258,11,7,10,6,9,4,70.87,4,0.6,0,5
259,68,1,7,7,10,1,80.25,4,0.75,2,0
260,69,1,8,6,4,1,72.59,8,0.26,1,5
261,8,6,4,8,3,5,75.75,3,0.07,1,3
262,5,12,8,12,1,4,79.6,6,0.13,3,4
263,11,3,4,9,7,3,98.46,7,0.07,3,2
264,34,18,10,4,1,3,84.75,5,0.25,3,2
265,21,10,7,2,10,5,69.35,0,0.29,3,1
266,75,5,4,12,5,2,66.8,0,0.91,3,5
267,36,12,5,4,3,5,61.81,3,0.06,0,2
268,75,18,6,4,10,2,60.16,4,0.4,2,3
269,35,10,3,16,5,1,77.11,3,0.64,2,5
270,85,16,7,6,3,5,61.97,6,0.37,2,0
271,2,1,6,16,4,5,92.41,4,0.09,2,2
272,2,6,11,7,5,1,98.87,0,0.76,2,1
273,31,16,8,16,3,4,62.49,1,0.93,3,2
274,49,16,3,7,3,1,96.61,2,0.93,3,4
275,88,11,8,13,6,2,80.3,1,0.64,2,5
276,59,12,8,9,5,5,61.86,5,0.31,3,1
277,75,13,9,6,1,3,92.39,0,0.06,3,4
278,48,19,10,10,10,5,76.88,1,0.59,2,2
279,98,8,9,5,2,3,82.53,1,0.38,3,0
280,49,12,8,15,5,0,86.31,7,0.68,1,2
281,17,8,8,13,2,4,96.34,6,0.77,2,4
282,16,17,11,14,4,3,78.29,8,0.82,2,2
283,60,15,11,15,10,1,66.4,6,0.62,1,5
284,30,11,11,11,7,3,98.26,6,0.58,1,2
285,25,2,4,7,5,4,91.75,6,0.76,0,2
286,18,13,5,12,10,3,69.63,4,0.05,2,4
287,46,19,8,15,1,5,90.82,2,0.49,2,5
288,13,8,7,16,5,3,80.73,5,0.29,1,3
289,91,8,3,3,1,4,88.95,0,0.89,3,4
290,38,4,4,13,3,4,76.9,5,0.01,3,3
291,21,9,9,14,10,4,82.78,7,0.59,1,5
292,96,19,6,5,4,4,93.93,2,0.52,1,2
293,67,17,10,12,7,2,60.62,6,0.19,3,3
294,74,1,2,8,4,4,87.29,8,0.45,0,2
295,42,13,9,15,9,1,73.21,2,0.08,0,4
296,67,18,6,3,1,0,78.5,3,0.15,3,3
297,42,16,8,6,3,2,78.99,0,0.42,1,1
298,95,1,6,2,8,5,88.28,0,0.47,1,2
299,92,16,4,8,1,1,89.79,6,0.85,0,5
300,14,3,8,6,10,3,87.8,7,0.9,1,1
301,71,19,10,12,9,5,70.73,4,0.74,2,1
302,96,15,11,5,3,5,67.54,7,0.37,3,0
303,21,16,2,13,10,3,96.72,7,0.84,1,0
304,50,6,5,9,2,0,70.63,3,0.0,3,2
305,68,9,2,7,9,4,88.32,4,0.78,2,1
306,95,4,2,14,10,5,63.8,4,0.62,1,4
307,29,1,8,11,4,4,69.7,7,0.53,3,5
308,28,16,4,5,1,4,63.64,0,0.62,2,1
309,67,2,5,8,8,5,71.0,7,0.66,2,1
310,91,17,5,5,3,3,86.99,6,0.27,0,0
311,99,6,6,9,1,4,60.67,8,0.58,0,5
312,77,7,6,7,10,2,97.71,5,0.84,3,0
313,33,4,8,15,4,1,74.24,5,0.43,1,4
314,17,16,4,12,7,1,83.52,5,0.67,1,0
315,30,19,11,11,6,0,97.64,3,0.16,1,2
316,58,17,10,14,7,2,94.17,6,0.93,0,0
317,10,4,7,2,2,3,75.19,1,0.54,0,1
318,72,4,10,8,8,2,75.5,1,0.19,1,4
319,86,15,3,14,6,4,78.87,8,0.88,2,0
320,61,11,11,8,6,5,93.09,3,0.88,2,4
321,42,10,10,12,2,2,67.58,3,0.8,1,2
322,26,17,11,2,3,3,61.39,4,0.06,1,3
323,61,20,7,3,2,2,69.4,6,0.6,2,3
324,85,16,9,8,4,0,98.04,4,0.5,0,5
325,39,8,5,3,10,5,88.61,5,0.51,3,4
326,75,13,10,10,1,2,69.4,6,0.51,3,3
327,56,11,7,10,3,5,76.18,6,0.91,0,5
328,72,6,11,6,4,5,85.3,6,0.19,3,3
329,11,16,6,13,2,0,83.25,7,0.86,2,5
330,98,17,3,5,3,2,94.28,0,0.74,1,4
331,26,13,4,8,8,2,72.32,8,0.72,3,0
332,65,20,5,7,5,1,78.94,7,0.95,3,1
333,41,13,3,8,10,2,78.97,7,0.22,3,1
334,80,15,2,10,6,1,90.22,0,0.73,0,2
335,57,19,7,6,9,4,78.99,7,0.95,2,2
336,47,7,10,4,3,5,86.76,8,0.97,1,3
337,75,19,5,3,4,4,62.37,3,0.73,2,5
338,37,12,5,11,4,1,91.84,0,0.48,0,5
339,10,15,9,2,8,5,92.02,2,0.22,2,0
340,6,6,3,12,2,2,83.5,1,0.15,0,4
341,48,6,11,13,10,4,81.24,7,0.58,3,3
342,12,19,2,7,3,5,87.21,4,0.4,1,0
343,96,12,11,7,5,0,88.9,8,0.45,3,1
344,92,15,2,8,8,3,94.49,5,0.97,3,2
345,34,14,2,16,3,0,67.5,3,0.64,0,5
346,16,3,8,6,10,3,97.8,6,0.3,3,0
347,11,3,7,2,1,2,64.82,4,0.58,3,5
348,38,7,4,11,6,1,70.46,8,0.67,2,4
349,84,16,4,6,3,4,86.97,0,0.5,3,0
350,56,3,7,9,7,4,76.31,5,0.63,3,2
351,39,3,7,5,1,3,95.81,0,0.98,2,2
352,97,18,3,13,4,1,96.72,2,0.22,1,0
353,74,12,5,16,3,0,85.49,0,0.04,2,4
354,92,14,10,10,1,0,83.88,5,0.35,0,2
355,40,20,6,11,10,4,84.17,3,0.31,3,1
356,89,19,9,8,9,1,62.61,2,0.28,2,5
357,72,17,2,10,5,3,74.55,4,0.16,2,5
358,57,20,5,13,9,5,63.26,3,0.37,1,3
359,86,15,4,11,8,1,92.3,7,0.62,0,4
360,51,14,9,5,3,0,70.38,5,0.87,1,2
361,21,14,7,10,4,0,67.5,6,0.61,3,5
362,63,6,6,14,9,1,62.41,4,0.58,3,3
363,10,9,5,11,4,3,98.01,3,0.56,1,5
364,59,19,2,9,2,2,86.5,8,0.11,2,4
365,65,16,11,9,1,4,79.48,7,0.28,1,3
366,15,2,7,12,6,3,72.12,2,0.26,0,0
367,67,9,5,4,10,4,64.75,7,0.71,0,5
368,22,19,8,14,5,3,79.21,0,0.65,3,2
369,89,20,2,16,2,3,61.71,8,0.21,0,5
370,98,14,11,16,10,0,91.92,4,0.97,0,2
371,68,16,8,2,6,3,77.97,1,0.26,1,5
372,18,5,6,11,10,3,98.14,6,0.4,0,0
373,91,14,4,9,9,5,95.93,5,0.47,2,2
374,63,12,3,11,1,1,95.94,4,0.72,1,4
375,37,10,5,15,4,0,71.25,0,0.71,2,5
376,51,8,9,14,9,5,98.47,4,0.71,1,1
377,46,14,5,12,8,3,81.42,7,0.01,2,3
378,68,11,11,7,9,3,89.3,3,0.58,1,4
379,81,4,10,2,9,4,85.09,2,0.81,3,3
380,62,18,2,5,6,4,64.62,5,0.94,2,4
381,79,14,2,8,8,1,63.2,6,0.04,2,1
382,53,13,2,14,6,5,66.9,5,0.48,0,1
383,74,19,2,2,9,2,86.33,0,0.84,1,1
384,95,10,5,15,2,5,83.06,6,0.13,1,3
385,82,8,11,13,8,2,93.34,8,0.73,0,5
386,90,8,10,10,8,5,93.53,3,0.73,2,3
387,55,2,2,13,5,5,77.46,7,0.87,3,0
388,52,1,4,3,8,5,81.67,6,0.22,1,1
389,81,5,6,15,7,0,68.95,6,0.14,2,0
390,55,6,3,12,7,0,92.3,6,0.79,3,2
391,56,11,8,6,7,2,79.09,5,0.55,2,0
392,91,16,11,2,3,5,66.0,5,0.89,3,4
393,53,8,7,4,4,1,76.72,8,0.52,3,0
394,90,9,11,16,9,4,96.53,5,0.01,2,3
395,15,19,6,2,9,5,60.9,2,0.6,0,0
396,52,5,7,4,4,3,79.45,8,0.82,2,5
397,81,12,4,13,10,1,95.51,6,0.02,1,4
398,90,7,9,12,5,2,79.2,6,0.69,1,5
399,3,19,3,7,10,3,78.36,7,0.73,0,1
400,18,12,5,7,1,3,85.63,7,0.3,3,2
401,34,1,11,8,8,3,83.25,2,0.33,1,2
402,27,7,8,15,6,3,76.97,2,0.93,1,1
403,19,14,9,2,4,3,89.42,0,0.83,0,1
404,38,20,2,7,6,4,69.05,2,0.3,0,5
405,57,9,11,6,10,5,62.98,4,0.17,3,2
406,71,4,9,16,9,1,69.02,4,0.55,2,5
407,78,19,2,8,4,3,61.95,2,0.05,1,0
408,3,15,4,10,8,0,89.7,5,0.99,0,5
409,31,6,3,8,2,0,77.6,1,0.28,1,2
410,42,16,2,16,3,2,93.73,5,0.15,2,2
411,89,19,3,12,10,4,68.54,4,0.6,3,2
412,29,6,6,12,4,3,90.77,5,0.95,3,5
413,52,7,11,3,5,3,82.85,2,0.99,1,4
414,60,7,6,11,1,2,95.33,2,0.71,2,5
415,15,3,2,7,7,3,70.46,2,0.3,1,0
416,94,1,9,9,1,2,93.97,1,0.4,0,0
417,45,14,11,4,10,3,93.33,6,0.28,2,4
418,68,19,8,8,4,5,90.76,6,0.59,0,5
419,36,16,10,9,5,5,74.98,5,0.68,2,4
420,62,18,3,11,6,1,65.21,2,0.21,3,1
421,94,13,5,2,2,1,89.73,3,0.26,0,3
422,90,6,6,5,1,5,74.21,3,0.32,1,0
423,17,17,7,2,10,0,74.84,6,0.76,1,4
424,40,13,11,7,2,3,84.52,5,0.48,1,5
425,8,20,10,13,3,0,81.8,1,0.0,1,5
426,94,11,2,11,10,3,75.64,7,0.88,2,0
427,80,20,2,12,6,5,97.41,1,0.96,1,4
428,48,17,10,6,9,0,93.61,4,0.83,0,1
429,58,12,5,7,7,0,60.89,4,0.26,1,4
430,9,10,6,4,2,3,64.49,2,0.66,2,4
431,88,14,5,8,5,5,98.3,4,0.45,0,5
432,50,10,11,8,4,0,60.62,3,0.21,3,2
433,99,19,10,10,1,4,77.73,8,0.64,0,2
434,30,7,8,12,10,5,88.65,1,0.03,1,1
435,73,3,2,2,6,3,63.5,8,0.12,1,1
436,42,6,4,13,4,2,80.85,4,0.13,0,0
437,49,5,4,11,5,5,98.57,1,0.7,3,3
438,47,13,3,6,1,2,96.17,7,0.66,1,1
439,30,20,5,2,10,3,80.31,5,0.3,3,5
440,67,16,9,6,9,2,89.03,4,0.13,3,3
441,81,11,7,5,6,5,88.35,4,0.73,0,3
442,84,8,9,7,7,0,96.91,1,0.61,3,2
443,56,3,4,14,9,1,67.58,7,0.53,0,2
444,9,5,2,15,10,1,86.32,8,0.07,0,3
445,28,5,7,14,7,0,73.12,1,0.77,0,3
446,47,12,4,8,3,2,92.8,2,0.7,2,0
447,96,5,2,6,3,5,60.99,7,0.68,2,4
448,66,18,6,3,5,5,91.35,7,0.63,1,2
449,36,3,7,7,10,3,64.29,6,0.1,0,4
450,87,16,2,13,3,3,81.12,1,0.12,2,3
451,44,17,10,11,9,2,99.68,5,0.03,3,0
452,65,1,4,5,7,1,69.11,2,0.56,2,3
453,44,14,9,8,1,0,92.42,8,0.89,2,5
454,34,4,10,15,1,1,99.73,1,0.75,2,3
455,52,11,2,4,3,4,88.02,1,0.17,0,1
456,35,7,3,14,10,2,90.0,8,0.85,3,5
457,28,17,11,5,7,3,60.61,3,0.55,0,0
458,67,7,7,2,7,0,61.01,3,0.31,1,2
459,15,8,9,8,5,0,84.7,1,0.66,2,0
460,38,5,3,15,8,2,71.91,8,0.38,2,4
461,46,10,11,5,5,5,60.72,2,0.85,1,5
462,77,16,2,12,8,2,87.6,5,0.77,2,0
463,50,19,6,3,8,2,70.84,7,0.06,3,1
464,13,17,5,2,8,4,82.32,5,0.48,2,0
465,17,5,11,8,6,1,74.17,0,0.07,1,4
466,24,12,3,6,4,4,85.82,2,0.75,1,3
467,6,3,7,11,2,1,98.69,6,0.63,1,1
468,18,8,11,11,8,1,72.18,5,0.97,0,0
469,65,11,11,5,7,2,80.41,6,0.64,2,0
470,25,4,8,7,5,1,63.62,3,0.3,2,3
471,13,6,2,2,5,2,82.58,6,0.41,3,1
472,52,12,4,3,1,1,87.6,4,0.08,1,2
473,21,11,11,3,9,4,67.14,2,0.1,3,5
474,94,10,8,4,2,1,88.55,3,0.36,0,1
475,76,9,10,15,3,1,96.29,4,0.13,2,4
476,5,9,10,13,8,4,89.93,5,0.51,2,5
477,65,14,11,5,6,4,68.68,1,0.35,0,1
478,84,7,4,12,8,2,65.47,7,0.85,2,4
479,67,10,11,13,8,3,98.96,3,0.05,3,3
480,81,19,7,3,7,2,76.59,5,0.36,1,4
481,85,5,10,9,10,0,85.73,5,0.9,1,3
482,20,18,4,16,9,2,88.1,5,0.23,2,0
483,74,19,2,12,9,4,91.21,6,0.68,3,3
484,61,3,10,16,5,3,91.4,0,0.26,1,2
485,6,17,2,6,3,1,60.61,6,0.43,3,2
486,96,2,9,13,4,5,78.39,6,0.22,0,3
487,82,3,2,14,1,3,91.73,1,0.53,0,3
488,10,19,8,5,7,5,68.83,7,0.1,1,5
489,95,17,5,10,10,2,81.51,5,0.78,3,2
490,27,16,3,12,1,5,94.99,7,0.29,3,4
491,82,15,7,12,8,3,98.78,3,0.62,2,2
492,1,4,11,8,5,1,80.92,1,0.3,0,1
