Logistique_id,Date_id,Fournisseur_id,Equipement_id,Nb_demandes_traitees,Délai_traitement_incident,Délai_de_livraison,Taux_satisfaction_interne,Taux_digitalisation_processus
60,43,19,76,65,9,23,90.36,65.54
61,3,35,14,59,2,14,84.4,91.66
62,18,7,89,16,14,23,83.52,81.98
63,13,16,80,51,9,23,81.87,71.2
64,66,43,95,21,11,11,92.35,60.46
65,98,35,84,44,10,21,89.31,94.68
66,93,19,39,49,15,5,62.99,99.72
67,10,20,44,78,2,6,89.71,68.55
68,42,48,94,38,12,19,82.51,92.06
69,30,18,66,85,12,30,74.82,40.63
70,95,27,76,11,10,8,89.5,62.27
71,7,5,26,56,3,8,97.9,85.47
72,35,46,98,73,12,11,87.7,40.76
73,97,45,5,57,4,25,65.98,46.97
74,36,37,12,5,8,26,83.28,46.15
75,28,33,24,53,9,30,97.35,48.58
76,94,3,19,5,3,2,89.99,73.51
77,40,22,70,18,7,6,74.37,75.36
78,91,19,90,3,11,24,61.42,98.8
79,47,24,95,34,5,11,96.82,63.71
80,20,48,8,1,10,19,78.65,70.8
81,77,17,87,49,4,19,98.46,67.39
82,33,22,66,39,5,20,76.11,53.76
83,36,39,82,6,3,28,63.56,51.48
84,66,10,71,95,11,28,62.47,49.46
85,6,8,62,24,6,19,82.93,82.11
86,20,47,9,8,5,8,82.85,81.35
87,89,37,32,5,14,6,83.62,92.35
88,46,13,10,12,2,28,95.31,59.19
89,78,33,2,52,4,27,80.31,73.22
90,88,24,19,20,9,12,65.36,84.59
91,91,21,62,1,2,3,76.34,88.28
92,3,49,16,73,5,12,94.03,86.77
93,48,50,17,57,10,21,67.76,73.8
94,35,33,88,29,14,2,96.49,61.13
95,20,33,2,1,2,25,60.63,93.89
96,23,13,87,78,9,15,77.66,81.53
97,36,37,21,50,5,25,72.35,53.99
98,86,24,70,48,14,9,66.73,67.72
99,10,33,28,15,9,26,99.61,68.16
100,72,28,15,66,3,20,73.48,80.77
101,25,43,33,62,10,10,70.22,81.11
102,43,4,39,70,8,10,60.08,56.84
103,68,47,83,63,14,3,80.14,52.28
104,20,45,49,31,9,23,92.88,49.09
105,53,34,83,2,10,21,97.46,66.06
106,82,43,16,73,1,6,68.02,40.72
107,79,34,13,76,13,1,90.07,89.51
108,60,17,30,13,3,26,93.99,89.82
109,46,35,79,26,7,5,84.02,71.67
110,1,46,45,9,13,20,65.39,96.44
111,75,6,66,90,7,23,64.31,83.01
112,13,19,3,81,3,24,63.58,63.02
113,30,11,77,61,13,27,85.25,92.77
114,31,29,55,40,13,6,87.05,95.6
115,80,34,98,25,4,18,76.91,49.55
116,17,37,74,10,12,9,90.1,75.72
117,33,41,59,57,1,10,69.03,87.35
118,59,42,56,31,7,20,90.52,54.77
119,92,1,30,89,13,17,90.12,84.35
120,9,18,4,10,8,21,92.35,79.05
121,15,10,68,89,14,17,90.25,53.01
122,7,30,35,88,10,16,85.5,71.32
123,28,28,41,77,11,24,89.45,56.74
124,6,27,59,35,10,19,98.66,63.03
125,6,45,63,56,1,7,98.06,76.08
126,49,34,87,97,14,2,97.1,42.5
127,19,47,53,80,13,26,82.94,87.17
128,17,11,89,1,13,2,65.49,48.49
129,14,36,6,40,15,22,89.59,58.24
130,49,38,71,87,10,16,93.66,58.22
131,14,39,24,52,11,23,63.61,81.23
132,11,2,38,90,9,3,75.33,88.98
133,60,7,61,38,3,11,80.08,67.96
134,95,44,10,60,1,23,73.84,69.08
135,14,24,2,18,13,12,74.29,94.85
136,48,25,12,35,10,28,63.29,56.61
137,14,34,45,15,6,30,65.15,74.39
138,37,4,61,70,15,22,90.69,79.14
139,49,21,41,33,8,26,63.94,42.61
140,15,8,22,89,4,13,86.67,60.52
141,57,2,55,51,8,22,67.9,87.89
142,86,42,17,43,12,6,92.23,62.56
143,68,41,85,85,13,16,98.76,67.61
144,90,1,20,79,4,10,82.38,92.19
145,38,27,51,34,15,26,61.04,40.79
146,47,40,72,13,13,17,91.19,59.79
147,25,41,94,81,2,28,96.3,92.71
148,52,37,8,97,9,19,74.47,73.21
149,98,3,36,73,12,27,87.51,80.28
150,3,27,80,32,8,12,71.36,53.24
151,37,14,8,97,15,24,93.37,87.51
152,18,17,7,42,4,13,87.85,77.19
153,98,50,79,12,3,29,91.5,88.1
154,72,20,14,84,14,20,90.66,76.47
155,19,23,5,0,4,11,90.33,93.87
156,65,38,43,54,4,30,99.97,69.55
157,75,33,96,35,6,21,66.6,84.58
158,5,9,8,44,15,10,78.78,79.29
159,56,27,49,73,14,26,99.67,83.36
160,45,36,88,73,5,26,72.99,93.36
161,75,8,44,11,2,20,79.54,45.28
162,74,48,40,60,5,19,97.27,96.92
163,76,47,86,18,15,29,75.91,42.61
164,6,36,79,43,1,13,66.97,99.05
165,53,9,44,13,2,6,67.63,57.94
166,32,9,27,68,11,19,68.98,76.87
167,92,32,5,43,10,22,92.5,67.66
168,30,49,27,33,11,1,68.84,71.67
169,74,32,85,44,11,4,62.33,70.93
170,5,36,40,0,15,17,93.83,72.05
171,36,24,80,72,1,12,73.17,68.23
172,91,11,90,28,11,19,62.93,46.28
173,30,3,94,11,8,7,86.0,73.94
174,31,18,62,57,2,27,60.87,83.65
175,3,31,35,89,8,1,78.26,66.26
176,91,14,99,30,13,29,70.53,62.22
177,16,29,83,14,4,12,60.11,42.6
178,82,15,34,75,6,6,97.76,53.99
179,33,43,81,80,15,9,62.73,42.74
180,91,24,33,32,1,1,89.72,60.77
181,61,1,60,51,8,17,61.34,81.5
182,71,27,29,92,2,11,86.06,67.78
183,1,20,80,65,5,25,92.24,78.31
184,7,42,45,35,5,5,93.71,98.9
185,50,32,39,61,11,3,98.07,63.53
186,41,46,19,83,14,2,93.96,61.74
187,77,32,56,40,11,2,74.07,89.65
188,53,37,42,62,9,2,88.65,42.38
189,48,37,32,70,14,26,77.12,80.32
190,65,40,73,31,5,16,75.03,95.13
191,22,50,37,68,2,3,64.08,97.54
192,53,18,47,91,7,16,61.52,86.14
193,71,26,96,17,8,26,95.47,80.34
194,71,21,41,3,5,14,68.23,76.72
195,76,17,40,92,15,8,89.0,89.75
196,73,1,5,28,10,5,60.0,96.56
197,40,39,5,22,10,2,72.37,57.51
198,29,7,91,3,2,28,61.88,56.93
199,19,7,67,71,2,18,63.53,41.04
200,98,15,95,94,13,22,91.79,62.52
201,8,10,49,89,7,10,87.75,48.33
202,25,32,27,7,13,26,62.66,85.75
203,34,30,22,70,1,10,77.74,58.5
204,98,28,27,63,4,28,94.07,93.24
205,34,50,87,74,1,23,89.6,68.68
206,8,46,9,4,2,26,72.37,99.98
207,72,34,3,0,6,11,95.39,47.42
208,38,6,57,62,13,6,87.36,60.6
209,43,48,94,3,15,27,62.56,80.2
210,91,26,55,83,14,1,87.16,95.36
211,5,27,50,27,6,25,65.52,63.65
212,96,22,85,1,10,15,89.73,57.94
213,12,42,28,6,3,27,92.98,45.8
214,33,2,52,53,15,10,82.15,52.13
215,39,1,85,17,7,21,90.6,68.89
216,52,18,72,37,3,4,80.76,90.95
217,69,30,31,29,2,5,87.87,92.05
218,11,6,49,55,10,19,99.63,60.51
219,28,37,28,53,3,2,96.9,73.63
220,5,20,52,61,12,16,88.94,72.31
221,30,28,90,31,1,2,71.4,45.4
222,34,45,24,95,15,30,75.78,57.75
223,90,10,68,46,3,23,66.09,82.33
224,46,35,37,98,2,15,62.53,93.71
225,61,21,68,87,11,17,83.64,79.02
226,12,7,75,69,9,6,84.21,66.29
227,47,39,35,0,7,9,69.5,67.07
228,59,5,86,7,14,16,75.39,55.4
229,32,40,71,84,10,18,99.86,93.78
230,44,27,69,48,2,30,96.42,89.94
231,28,39,38,17,5,13,66.61,50.75
232,66,18,34,13,9,24,86.21,92.36
233,15,7,86,97,4,7,94.36,93.07
234,87,50,40,68,15,11,68.05,82.13
235,32,6,92,26,6,14,64.62,93.32
236,53,19,66,1,3,11,84.28,72.22
237,36,23,40,62,6,29,62.76,42.58
238,11,3,23,93,9,7,79.84,86.1
239,57,39,68,97,3,19,84.1,56.98
240,28,15,29,62,15,27,78.15,89.47
241,44,28,11,32,11,13,64.22,87.65
242,56,31,2,83,2,16,64.05,59.24
243,73,45,17,75,3,21,77.91,61.48
244,4,31,57,41,5,9,92.42,98.33
245,8,16,88,88,3,5,63.2,59.58
246,42,42,14,76,11,6,79.67,47.18
247,69,24,3,61,9,28,91.7,89.12
248,56,15,48,64,13,14,79.03,95.55
249,13,12,49,93,2,9,99.51,49.3
250,83,23,51,66,1,6,83.15,65.78
251,43,44,45,40,11,6,75.64,70.82
252,68,13,93,20,11,19,71.75,99.12
253,97,44,22,17,3,5,74.3,85.44
254,74,3,31,89,9,10,74.74,88.68
255,89,43,28,85,3,16,98.29,46.33
256,51,43,93,32,10,25,62.08,84.15
257,42,6,88,11,5,1,83.91,86.31
258,61,47,55,2,6,24,89.8,50.42
259,53,44,6,48,4,2,64.56,66.75
260,2,15,65,64,14,2,96.24,81.87
261,29,35,39,31,4,27,87.73,44.81
262,91,44,29,48,11,17,72.93,42.71
263,46,4,51,99,13,29,87.13,58.65
264,55,49,95,10,7,2,74.08,65.45
265,35,6,28,90,10,17,96.93,72.71
266,41,44,13,57,12,25,88.17,44.56
267,84,37,55,18,9,9,90.82,40.07
268,83,15,65,12,15,17,82.65,60.11
269,58,40,71,8,5,13,95.72,97.67
270,3,15,17,89,10,6,96.93,91.35
271,34,13,59,81,13,2,75.31,96.83
272,25,16,42,49,12,6,68.07,61.32
273,68,16,99,73,9,9,61.34,78.55
274,72,42,25,24,13,21,66.0,97.12
275,49,21,79,85,7,2,98.95,89.27
276,68,40,94,21,7,20,87.23,58.47
277,51,5,66,20,5,13,76.77,57.34
278,94,6,52,96,1,5,67.4,51.06
279,7,33,15,67,13,18,73.69,54.68
280,72,16,77,0,15,16,76.02,97.86
281,26,29,81,49,11,10,62.32,47.78
282,32,26,82,33,12,13,93.19,52.99
283,47,28,93,38,13,12,93.39,67.68
284,74,7,50,36,6,29,72.46,56.41
285,47,43,48,73,14,7,87.22,82.9
286,56,16,30,92,12,3,68.21,40.89
287,48,17,24,17,11,23,72.26,80.08
288,80,7,39,98,11,8,73.77,64.51
289,70,2,49,54,2,26,86.63,57.21
290,39,32,26,63,1,21,92.75,84.4
291,24,49,47,10,9,18,99.88,65.1
292,34,23,24,6,1,21,74.86,77.08
293,85,1,34,67,7,24,76.33,70.04
294,45,12,58,0,13,12,75.75,48.45
295,92,21,62,86,8,10,63.87,87.03
296,49,11,40,73,5,22,71.05,46.46
297,4,16,5,13,8,7,73.52,89.17
298,23,25,57,72,1,27,73.49,54.76
299,50,5,55,38,4,30,79.27,40.8
300,74,3,71,22,8,26,72.61,77.11
301,75,44,61,99,2,30,65.67,51.35
302,96,40,55,78,15,29,95.24,97.35
303,68,37,55,20,3,15,86.1,58.98
304,3,1,15,13,12,16,61.99,96.22
305,82,35,22,2,12,6,86.97,91.62
306,11,3,86,82,8,16,74.04,76.31
307,31,17,53,48,1,18,90.62,61.92
308,47,15,47,13,1,25,94.55,76.15
309,93,39,14,86,12,14,64.56,90.82
310,61,28,90,87,6,15,96.12,87.22
311,16,30,35,11,1,24,67.61,86.91
312,65,43,91,83,11,14,66.0,74.55
313,10,2,49,8,11,13,67.61,77.18
314,65,37,23,84,1,6,92.12,44.78
315,72,26,87,16,4,11,87.89,88.09
316,67,22,26,71,14,5,84.19,67.81
317,39,38,83,56,11,28,65.91,40.67
318,75,16,46,26,15,3,62.14,72.62
319,54,24,89,4,1,29,69.87,63.34
320,73,24,76,48,2,20,91.21,95.41
321,40,50,70,47,11,23,70.06,62.05
322,54,26,92,19,8,3,79.84,93.51
323,21,17,47,95,11,24,82.33,57.93
324,11,11,91,38,3,19,71.1,49.09
325,76,30,26,63,4,30,71.91,49.06
326,6,14,92,54,12,26,70.14,90.74
327,29,15,26,54,12,20,89.55,68.97
328,58,47,18,46,10,10,82.23,82.28
329,42,49,3,84,2,17,81.69,60.76
330,14,32,18,1,7,10,83.82,42.42
331,22,29,98,79,15,20,90.35,94.46
332,76,34,9,32,15,18,79.85,84.47
333,79,15,67,35,15,13,62.39,72.04
334,17,42,44,66,12,21,87.69,57.94
335,46,3,26,56,4,21,75.8,89.14
336,66,3,10,32,14,27,92.41,56.46
337,93,33,17,89,2,19,83.47,60.64
338,41,25,66,61,3,6,65.71,41.75
339,64,42,51,77,7,19,83.58,79.4
340,5,44,100,48,13,11,67.0,59.94
341,33,42,79,60,8,18,84.86,53.09
342,100,21,45,57,12,4,76.43,86.9
343,1,30,47,86,2,25,77.13,98.89
344,44,18,25,47,11,28,98.42,55.82
345,61,37,33,61,3,1,72.03,88.07
346,74,26,76,77,9,24,81.37,44.59
347,11,6,55,9,14,18,81.83,71.49
348,98,14,20,74,13,12,61.18,48.77
349,87,26,25,77,11,20,79.53,59.49
350,52,20,59,48,5,6,69.7,57.84
351,71,41,82,42,6,3,64.58,43.51
352,12,3,68,77,6,1,73.75,53.91
353,13,47,26,29,14,21,63.77,99.09
354,39,23,74,22,9,5,73.53,61.91
355,11,40,29,0,15,15,95.99,84.0
356,87,44,29,81,11,29,78.87,92.13
357,52,3,89,96,9,17,62.83,99.8
358,24,1,70,50,1,15,75.15,42.14
359,100,41,61,8,13,21,75.22,50.71
360,77,48,92,85,11,5,71.96,91.57
361,4,1,21,54,15,17,74.83,65.72
362,52,3,9,57,12,10,88.98,60.45
363,45,15,9,59,14,16,76.05,70.54
364,95,39,55,42,2,21,71.7,64.56
365,17,16,24,46,15,5,97.03,43.56
366,82,5,45,58,12,8,93.1,52.19
367,25,39,38,40,2,18,88.2,67.81
368,79,4,1,72,5,6,76.92,63.06
369,87,17,63,60,8,17,65.82,69.82
370,60,36,9,1,5,30,89.3,46.49
371,66,27,55,47,13,18,64.0,40.76
372,53,23,15,54,9,21,94.5,85.33
373,2,36,89,30,1,20,80.27,74.95
374,19,25,89,7,1,10,60.15,53.34
375,92,49,61,16,7,25,89.45,40.83
376,3,4,78,3,1,16,72.68,98.84
377,44,47,32,84,11,15,86.86,79.23
378,33,22,100,85,14,27,84.85,60.65
379,62,1,89,84,1,13,77.04,87.57
380,72,13,23,25,11,24,60.97,99.49
381,93,17,87,29,12,6,77.45,42.93
382,74,23,8,81,6,13,63.99,72.83
383,62,28,77,65,3,2,79.75,70.29
384,59,50,100,63,11,26,66.08,60.61
385,74,28,37,96,9,20,64.59,69.04
386,25,11,48,89,6,13,99.96,68.21
387,92,31,49,77,13,24,95.86,76.85
388,8,38,14,47,13,8,78.77,51.48
389,79,28,77,95,10,14,96.66,43.52
390,36,43,54,23,11,28,84.91,41.57
391,72,7,20,100,3,11,77.09,95.75
392,18,16,12,11,1,9,67.68,53.09
393,71,49,68,22,2,17,80.34,82.92
394,30,18,7,23,5,17,97.4,71.17
395,32,29,30,38,6,15,99.56,58.22
396,3,11,42,100,8,28,71.74,40.36
397,86,30,18,97,9,23,93.89,41.01
398,90,21,63,45,8,5,78.42,99.33
399,48,23,46,65,11,16,89.58,52.59
400,74,7,66,32,14,23,72.17,80.42
401,42,42,53,23,5,8,99.26,96.89
402,35,36,44,64,4,27,89.12,74.48
403,45,24,60,6,14,13,67.89,57.54
404,32,16,35,46,7,16,68.88,87.85
405,23,41,26,85,12,4,94.92,59.52
406,66,26,50,23,10,14,76.73,76.41
407,18,19,96,100,4,2,97.97,45.46
408,1,43,18,6,12,13,87.46,91.52
409,42,14,65,18,4,25,90.05,64.7
410,12,33,3,84,6,19,70.55,86.26
411,79,14,14,12,5,14,65.18,60.88
412,7,4,9,60,2,25,68.04,42.02
413,85,14,43,33,15,7,82.2,44.24
414,22,40,71,93,9,27,79.62,62.76
415,63,24,13,31,4,17,86.43,72.69
416,93,26,1,7,1,10,93.97,88.13
417,21,27,84,3,5,23,64.95,48.09
418,14,22,63,27,4,24,86.24,45.25
419,20,8,61,27,13,20,94.38,55.94
420,84,43,15,54,2,13,93.46,60.86
421,23,8,4,5,9,2,76.91,88.36
422,77,17,67,2,9,1,75.59,60.77
423,62,39,94,22,14,26,82.45,65.14
424,39,4,57,49,13,17,87.29,43.87
425,8,30,41,57,9,21,81.8,77.48
426,83,12,29,32,8,1,84.57,74.07
427,15,3,47,78,13,21,65.88,93.87
428,90,50,56,79,10,6,98.94,67.53
429,68,27,75,31,14,18,84.03,82.46
430,58,48,64,77,14,18,92.35,86.81
431,54,21,94,38,11,5,90.75,55.39
432,49,41,31,0,6,11,83.16,79.59
433,57,4,32,8,10,13,84.78,51.34
434,56,1,95,61,1,3,67.22,67.41
435,37,16,16,3,15,30,66.58,70.12
436,69,7,45,51,12,13,82.2,97.82
437,15,28,99,96,6,27,66.92,73.31
438,49,9,14,71,6,12,74.64,88.02
439,57,43,36,10,13,7,61.65,92.88
440,17,43,100,57,13,7,88.09,61.54
441,89,39,94,68,8,21,73.46,95.74
442,89,48,37,21,5,29,68.82,87.77
443,54,4,27,61,5,2,64.65,93.29
444,88,37,16,71,2,8,83.46,92.05
445,99,3,71,24,13,3,68.7,96.9
446,61,23,97,53,5,11,88.11,57.84
447,56,30,32,89,6,29,96.55,48.63
448,43,7,72,55,15,5,93.32,66.9
449,51,14,30,33,3,17,90.71,75.89
450,48,7,15,51,14,30,83.45,91.26
451,53,47,36,87,8,7,99.22,97.18
452,83,35,28,80,11,7,62.84,68.21
453,96,44,84,32,9,7,64.27,78.93
454,67,47,34,30,11,19,65.84,69.12
455,37,38,20,78,9,30,82.05,64.98
456,66,19,87,78,6,2,62.04,92.27
457,96,24,61,45,14,3,61.33,74.8
458,47,3,4,45,4,16,79.76,90.65
459,44,13,81,78,14,2,87.93,85.83
460,6,7,47,1,15,30,79.74,49.57
461,5,26,10,80,4,21,74.71,60.98
462,81,8,56,79,7,1,69.89,69.11
463,39,23,47,64,13,4,81.08,51.95
464,58,23,7,38,14,23,71.81,45.69
465,82,1,88,11,11,20,66.46,69.42
466,80,19,98,8,4,19,71.6,72.35
467,62,41,91,63,13,27,85.68,41.81
468,49,16,5,1,4,21,65.93,81.33
469,62,17,71,72,1,14,60.47,45.2
470,41,2,95,95,12,10,65.22,70.33
471,26,38,17,32,9,7,66.91,52.63
472,57,28,23,35,2,28,77.87,61.21
473,5,38,94,91,6,25,83.63,73.28
474,3,4,30,26,8,22,89.01,90.02
475,27,16,90,83,2,14,62.67,76.99
476,90,18,76,33,11,17,75.62,91.78
477,66,25,18,93,5,28,74.5,51.97
478,87,7,90,21,11,22,89.74,61.26
479,11,19,100,57,3,12,72.97,86.41
480,65,33,68,57,2,27,92.33,84.35
481,28,29,44,30,7,27,63.7,99.96
482,39,9,68,80,13,13,66.4,42.59
483,71,46,25,54,12,29,72.51,56.96
484,83,14,49,47,6,12,72.69,52.04
485,59,32,96,61,4,13,85.15,42.59
486,69,25,77,79,12,1,90.47,97.12
487,94,41,19,68,12,9,61.36,72.44
488,69,33,91,93,3,13,81.99,59.62
489,45,30,43,66,8,7,68.39,92.66
490,97,43,75,0,15,3,80.23,43.84
491,69,7,80,31,15,30,93.7,98.29
492,64,47,13,6,9,13,94.15,61.76
493,9,20,36,14,10,20,71.87,47.24
494,10,10,74,23,11,19,91.69,43.24
495,25,1,31,99,13,24,65.11,75.34
496,97,27,100,55,3,8,94.97,95.24
497,88,25,38,36,15,5,96.03,85.64
498,61,20,44,31,8,8,66.23,52.53
499,88,40,79,4,8,13,89.61,93.44
500,3,6,79,27,15,22,61.19,91.65
501,22,12,19,4,9,26,62.62,51.29
502,26,40,3,38,3,19,66.53,50.27
503,47,15,21,73,6,16,77.89,92.76
504,37,7,84,18,10,13,87.61,65.17
505,76,28,8,36,6,2,66.99,96.17
506,20,12,84,79,15,3,84.23,73.83
507,36,1,9,1,8,9,92.3,51.93
508,18,10,92,60,11,14,95.41,95.57
509,42,44,61,54,1,26,72.46,92.47
510,96,26,71,81,9,24,65.98,85.79
511,45,45,62,15,2,22,84.93,94.82
512,28,38,11,45,15,12,69.9,55.39
513,13,10,22,19,2,15,76.19,62.01
514,56,10,70,76,13,29,68.01,89.43
515,62,44,53,8,12,10,94.9,56.6
516,50,30,27,53,1,28,85.43,77.13
517,7,17,90,49,3,28,62.26,91.42
518,27,41,68,47,9,16,86.02,45.39
519,53,23,4,79,8,5,82.63,55.24
520,31,49,14,40,12,24,81.08,53.86
521,21,38,4,48,8,13,74.26,61.11
522,21,32,79,22,1,7,76.37,40.78
523,49,4,75,29,14,5,63.99,40.08
524,81,27,65,58,8,11,94.5,55.67
525,57,48,76,78,8,4,93.07,47.42
526,17,22,1,27,15,9,88.51,65.76
527,22,34,52,69,1,4,91.87,52.54
528,49,30,59,52,4,26,82.93,85.09
529,89,41,84,55,15,5,75.83,51.87
530,43,32,54,25,15,29,95.58,48.68
531,5,50,82,47,12,21,70.2,87.33
532,12,38,57,76,4,18,94.23,57.15
533,70,21,2,39,8,2,96.57,93.29
534,67,21,2,67,2,15,73.44,66.45
535,53,35,47,18,2,9,81.21,41.2
536,2,29,74,62,3,25,90.24,59.79
537,1,12,25,57,3,29,71.79,67.41
538,73,41,67,91,10,20,83.68,72.38
539,39,31,57,98,8,10,74.28,48.38
540,71,43,7,38,2,24,64.85,54.34
541,32,18,79,7,9,13,62.22,63.03
542,76,17,37,55,5,28,60.81,53.49
543,57,27,93,2,14,19,83.32,69.3
544,79,50,27,63,1,20,72.11,41.36
545,42,34,50,57,11,30,63.98,61.7
546,17,3,62,26,1,1,73.75,78.29
547,65,9,67,75,5,22,80.59,88.78
548,15,25,78,54,11,15,87.86,83.19
549,2,22,67,62,3,14,95.14,40.32
550,2,17,8,17,7,8,89.32,85.57
551,84,3,6,94,13,18,63.08,41.53
552,49,3,40,82,7,10,61.03,74.54
553,16,47,33,80,14,2,66.52,69.58
554,71,30,47,55,14,7,92.62,89.32
555,25,5,56,45,6,12,89.36,76.41
556,94,28,95,94,6,21,83.56,56.02
557,94,19,51,70,1,5,75.31,83.19
558,97,19,11,99,6,15,94.81,73.8
559,39,41,88,41,13,25,60.01,74.01
560,30,6,55,90,3,3,73.79,96.59
561,17,15,13,98,6,15,97.34,67.29
562,24,15,94,28,12,26,74.98,47.03
563,33,24,62,26,9,4,70.71,72.83
564,18,48,80,46,13,22,73.85,99.87
565,51,41,95,69,12,6,90.18,71.89
566,86,16,80,19,13,1,78.76,52.62
567,93,16,5,34,3,21,98.57,99.58
568,84,48,31,75,4,10,77.79,65.95
569,2,7,87,84,1,16,81.12,75.8
570,31,24,11,52,13,9,77.03,77.25
571,88,42,2,43,11,30,62.88,43.2
572,87,7,96,94,14,4,74.08,59.15
573,59,50,49,76,1,23,73.3,79.62
574,12,10,94,65,8,17,69.14,97.03
575,46,33,21,83,8,4,84.87,53.44
576,27,42,75,65,7,7,81.9,47.56
577,13,12,4,89,15,27,69.97,96.74
578,84,37,56,37,13,25,69.57,75.52
579,50,15,77,40,7,15,99.45,81.51
580,75,35,42,73,9,3,97.66,57.88
581,43,8,39,66,10,27,95.77,64.0
582,83,31,29,94,10,8,89.26,73.16
583,8,6,62,14,6,21,68.68,74.34
584,24,47,19,76,12,7,70.05,54.59
585,40,45,19,69,3,26,76.74,61.13
586,34,20,12,72,8,21,77.38,66.89
587,58,18,1,43,14,11,60.97,79.88
588,5,43,17,90,10,17,60.29,48.12
589,25,19,29,40,9,2,61.46,59.3
590,1,14,84,60,5,9,86.17,94.16
591,8,35,21,9,11,17,81.15,87.39
592,85,43,70,34,3,21,66.11,76.24
593,51,19,11,63,6,24,87.05,73.47
594,47,19,1,97,15,25,91.65,51.02
595,57,41,49,72,15,11,73.37,76.7
596,9,7,61,10,12,6,69.37,45.93
597,100,10,10,89,7,2,92.13,70.37
598,11,21,12,26,10,27,82.94,80.23
599,44,38,49,62,5,12,77.23,81.35
600,97,23,27,84,9,9,96.39,84.16
601,31,50,44,18,12,8,73.74,51.49
602,29,2,73,10,14,24,72.72,61.0
603,38,15,50,51,3,30,89.16,46.52
604,53,11,63,22,3,10,80.59,77.37
605,21,37,24,1,4,14,85.97,62.48
606,95,44,64,81,11,14,99.27,79.76
607,74,32,15,2,5,28,76.48,85.07
608,71,20,20,85,6,28,64.59,89.12
609,85,24,47,77,5,14,62.75,56.01
610,19,13,52,8,2,28,62.41,42.52
611,25,27,60,100,10,1,75.02,46.27
612,57,12,21,98,1,18,62.45,99.62
613,17,17,89,26,14,21,92.77,82.72
614,93,38,31,66,5,20,79.85,89.45
615,96,44,72,31,4,1,95.98,78.15
616,99,33,9,97,10,15,67.07,74.7
617,94,45,49,32,2,15,61.5,62.93
618,85,45,62,78,5,27,91.0,50.16
619,84,49,62,47,14,9,62.0,94.26
620,99,40,71,36,8,3,78.69,58.5
621,42,34,30,90,2,27,63.48,97.21
622,34,45,63,33,11,10,74.72,78.61
623,62,19,74,10,8,19,74.14,89.34
624,85,31,5,5,15,2,84.51,57.54
625,69,28,2,82,12,14,61.61,56.11
626,29,38,64,29,5,14,77.91,73.49
627,5,43,4,38,7,18,86.53,80.56
628,85,21,77,34,8,29,74.1,42.38
